user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
project-delphi,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9024,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9024,open,2024-03-06,2024-03-06,,4838605c1e35f7fa2ab9021d7b40dc4ae7072fc0
puririshi98,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9022,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9022,closed,2024-03-05,2024-03-05,,b6cbd575c1dc5f1a58483fd320515e9e5496acb0
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9021,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9021,closed,2024-03-05,2024-03-05,2024-03-05,af0f5f44d4dfa8accd898df3e8523d06b67940b0
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9020,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9020,closed,2024-03-05,2024-03-05,2024-03-05,0d30e89d83339c6030f14f96f1278db87725bb50
JakubPietrakIntel,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9019,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9019,closed,2024-03-05,2024-03-05,2024-03-05,db9d8f542ba11629be00468bae0424c96facc1f2
semihcanturk,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9018,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9018,open,2024-03-05,2024-03-05,,f41c9362c904c9b7ada1885ce2c3d4b0aa6fe49b
AslanDing,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9016,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9016,open,2024-03-04,2024-03-04,,bd57773840a5e7816f8787b91297defcdfe0ab3e
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9009,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9009,closed,2024-03-03,2024-03-04,2024-03-04,d491f4360c15ff730ebf00cb5f6bf10eed16d932
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9008,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9008,closed,2024-03-03,2024-03-03,2024-03-03,fefa63682162bbebad62a2ba1bdefdc9da61b5e0
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9007,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9007,closed,2024-03-03,2024-03-03,2024-03-03,8a848236512ebe0c3d53bb593ed362fb56cdab8c
rusty1s,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9006,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9006,closed,2024-03-03,2024-03-03,2024-03-03,3548318795948c34c3bf180c655a8e74e811a844
denadai2,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9005,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9005,closed,2024-03-02,2024-03-03,,ee6f7c921e24ebc55d629c10a9aa17338c8251d6
mananshah99,https://api.github.com/repos/pyg-team/pytorch_geometric/pulls/9002,https://api.github.com/repos/pyg-team/pytorch_geometric/issues/9002,closed,2024-03-01,2024-03-02,2024-03-02,87cde5107d1053d1b1e50c8b5c4c1ea1e5613e76
