user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
paolobarbolini,https://api.github.com/repos/qax-os/excelize/pulls/1837,https://api.github.com/repos/qax-os/excelize/issues/1837,closed,2024-03-02,2024-03-03,2024-03-03,963a0585358ac3a583655a4db66ed126e7232787
iEvan-lhr,https://api.github.com/repos/qax-os/excelize/pulls/1834,https://api.github.com/repos/qax-os/excelize/issues/1834,closed,2024-03-01,2024-03-06,2024-03-06,4ed493819a82313907217faeecb9f8713bbc66f0
YueChenXu-Kimi,https://api.github.com/repos/qax-os/excelize/pulls/1829,https://api.github.com/repos/qax-os/excelize/issues/1829,closed,2024-02-28,2024-02-29,2024-02-29,7b4da3906df28b38b4cbe2bab4a5c362c57630fb
JackMin1314,https://api.github.com/repos/qax-os/excelize/pulls/1828,https://api.github.com/repos/qax-os/excelize/issues/1828,closed,2024-02-27,2024-03-01,2024-03-01,9d4c2e60f66b12da7760ab4bfafbe182d83c7583
mirgong,https://api.github.com/repos/qax-os/excelize/pulls/1824,https://api.github.com/repos/qax-os/excelize/issues/1824,closed,2024-02-27,2024-02-27,2024-02-27,bb603b37d0e6506922361b923617555e4262ea5e
mikeschinkel,https://api.github.com/repos/qax-os/excelize/pulls/1823,https://api.github.com/repos/qax-os/excelize/issues/1823,open,2024-02-24,2024-02-24,,14476f447b03baacd7bd240578376ec954a4d33a
edwardfward,https://api.github.com/repos/qax-os/excelize/pulls/1821,https://api.github.com/repos/qax-os/excelize/issues/1821,closed,2024-02-23,2024-02-24,2024-02-24,02b84a906cb6adc54c0616080cc334a7af05d69d
vivekkairi,https://api.github.com/repos/qax-os/excelize/pulls/1816,https://api.github.com/repos/qax-os/excelize/issues/1816,closed,2024-02-14,2024-02-15,2024-02-15,ee2ef152d939c6a5bdd703167a58ba22a866f06b
taitaking,https://api.github.com/repos/qax-os/excelize/pulls/1810,https://api.github.com/repos/qax-os/excelize/issues/1810,closed,2024-02-04,2024-02-04,2024-02-04,9cbe3b6bd085a5b45ade85ba70ef578ab31a0b0f
coolbit,https://api.github.com/repos/qax-os/excelize/pulls/1809,https://api.github.com/repos/qax-os/excelize/issues/1809,closed,2024-02-04,2024-02-04,2024-02-04,bba155e06da987f631278dba8c80545713b4a3b7
funa12,https://api.github.com/repos/qax-os/excelize/pulls/1803,https://api.github.com/repos/qax-os/excelize/issues/1803,closed,2024-02-01,2024-02-02,2024-02-02,a258e3d8580c5a4d16454bc4642d2a1704dd0ed9
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1802,https://api.github.com/repos/qax-os/excelize/issues/1802,closed,2024-02-01,2024-02-04,,5cb8caecc89419742b8f234c15287978a2b16855
xxxwang1983,https://api.github.com/repos/qax-os/excelize/pulls/1798,https://api.github.com/repos/qax-os/excelize/issues/1798,closed,2024-01-29,2024-01-30,2024-01-30,99e91e19efc562828af58fb9fde33b2e5d01f9a0
ooooooobh,https://api.github.com/repos/qax-os/excelize/pulls/1797,https://api.github.com/repos/qax-os/excelize/issues/1797,closed,2024-01-28,2024-01-29,2024-01-29,9a6855375e81067021ff0808f3b7a0c36d68afca
rememberher,https://api.github.com/repos/qax-os/excelize/pulls/1791,https://api.github.com/repos/qax-os/excelize/issues/1791,closed,2024-01-25,2024-01-25,2024-01-25,e4497c494d0150c9e5c4c58e948743dadbf219fb
L4nn15ter,https://api.github.com/repos/qax-os/excelize/pulls/1790,https://api.github.com/repos/qax-os/excelize/issues/1790,closed,2024-01-24,2024-01-24,2024-01-24,9b078980df40dc6877f7057b113b3f999f57adee
melf-xyzh,https://api.github.com/repos/qax-os/excelize/pulls/1788,https://api.github.com/repos/qax-os/excelize/issues/1788,closed,2024-01-21,2024-01-22,2024-01-22,5399572353aa8da7cb37603b6bcdd09ec020ede1
327674413,https://api.github.com/repos/qax-os/excelize/pulls/1787,https://api.github.com/repos/qax-os/excelize/issues/1787,closed,2024-01-20,2024-01-20,2024-01-20,4eb3486682366a2df3ab1391b995b4285e493854
3zmx,https://api.github.com/repos/qax-os/excelize/pulls/1784,https://api.github.com/repos/qax-os/excelize/issues/1784,closed,2024-01-18,2024-01-18,2024-01-18,50e23df865354c7ebc6f34424ef3359f4528afe0
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1772,https://api.github.com/repos/qax-os/excelize/issues/1772,closed,2024-01-01,2024-01-09,,bf60b0b36fd373522eb3516019a30920ce6ece96
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1771,https://api.github.com/repos/qax-os/excelize/issues/1771,closed,2024-01-01,2024-01-10,,eaefbbed6c005e9f05391c630c5fd2bb1d8f7d94
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1763,https://api.github.com/repos/qax-os/excelize/issues/1763,closed,2023-12-18,2023-12-19,,2a45c482b87ad93f0f467fbe14d2fc7ee1538184
oneweek20169902,https://api.github.com/repos/qax-os/excelize/pulls/1759,https://api.github.com/repos/qax-os/excelize/issues/1759,closed,2023-12-15,2023-12-15,2023-12-15,00d62590f4791013aca4a27f4d2f1ddc8546a09a
yuegu520,https://api.github.com/repos/qax-os/excelize/pulls/1755,https://api.github.com/repos/qax-os/excelize/issues/1755,closed,2023-12-13,2023-12-13,2023-12-13,dfaf418f340f260c5005e8343135cd6af60b8e58
CooolNv,https://api.github.com/repos/qax-os/excelize/pulls/1753,https://api.github.com/repos/qax-os/excelize/issues/1753,closed,2023-12-12,2023-12-13,2023-12-13,284345e47111ddf389525ba8ce16d852261e9299
cuishuang,https://api.github.com/repos/qax-os/excelize/pulls/1747,https://api.github.com/repos/qax-os/excelize/issues/1747,closed,2023-12-07,2023-12-07,2023-12-07,77ece87e325a639dc49ce1387f0c7690f6230c26
cuishuang,https://api.github.com/repos/qax-os/excelize/pulls/1746,https://api.github.com/repos/qax-os/excelize/issues/1746,closed,2023-12-07,2023-12-09,2023-12-09,7b3dd03947bd5d4702f822b3611a09b506fb257b
yasarluo,https://api.github.com/repos/qax-os/excelize/pulls/1742,https://api.github.com/repos/qax-os/excelize/issues/1742,closed,2023-12-04,2024-01-09,,c12c65456dadd17940cbc707bb1a13c9712ca639
tianaiyouqing,https://api.github.com/repos/qax-os/excelize/pulls/1736,https://api.github.com/repos/qax-os/excelize/issues/1736,closed,2023-12-01,2023-12-02,2023-12-02,18a160c5be82f6515f7dd117a47bf58dd3466aaf
user65536,https://api.github.com/repos/qax-os/excelize/pulls/1735,https://api.github.com/repos/qax-os/excelize/issues/1735,closed,2023-11-30,2023-11-30,2023-11-30,a16182e004e75cf3ace23c11039395ea7542f2a3
bramvbilsen,https://api.github.com/repos/qax-os/excelize/pulls/1733,https://api.github.com/repos/qax-os/excelize/issues/1733,closed,2023-11-28,2023-11-28,2023-11-28,866e7fd9e1d09e79b9ff345f240e10a72ed9f310
zcgly,https://api.github.com/repos/qax-os/excelize/pulls/1728,https://api.github.com/repos/qax-os/excelize/issues/1728,closed,2023-11-24,2023-11-24,2023-11-24,bce2789c112b6ab9beb86327170e1bd64ed29740
ZhangXiao1024,https://api.github.com/repos/qax-os/excelize/pulls/1725,https://api.github.com/repos/qax-os/excelize/issues/1725,closed,2023-11-21,2023-11-21,2023-11-21,6251d493b3eb18d9ad4bac519ce26bba0d679e9a
parkoo,https://api.github.com/repos/qax-os/excelize/pulls/1724,https://api.github.com/repos/qax-os/excelize/issues/1724,closed,2023-11-20,2023-11-20,2023-11-20,55e4d4b2c305a6c43178c19a630e54ba7b2c5446
TajangSec,https://api.github.com/repos/qax-os/excelize/pulls/1721,https://api.github.com/repos/qax-os/excelize/issues/1721,closed,2023-11-15,2023-11-16,2023-11-16,57faaf253afb5d6b59b53c2322e9ae42dc3633b4
15535382838,https://api.github.com/repos/qax-os/excelize/pulls/1720,https://api.github.com/repos/qax-os/excelize/issues/1720,closed,2023-11-15,2023-11-15,2023-11-15,3bdc2c5fc705dce5f1a87bcc1a9e43fc347b50e5
chree188,https://api.github.com/repos/qax-os/excelize/pulls/1719,https://api.github.com/repos/qax-os/excelize/issues/1719,closed,2023-11-15,2023-11-15,,c18c6fbe28f5133ef702a3c915ae07970e449267
yangliyl,https://api.github.com/repos/qax-os/excelize/pulls/1718,https://api.github.com/repos/qax-os/excelize/issues/1718,closed,2023-11-13,2023-11-14,2023-11-14,5e247de805ab544075e969a228c7f2bcd2a97c16
ByteFlyCoding,https://api.github.com/repos/qax-os/excelize/pulls/1717,https://api.github.com/repos/qax-os/excelize/issues/1717,closed,2023-11-09,2023-11-10,2023-11-10,e014a8bb239a1d3f2e0360635a47591e8cfac225
gennesseaux,https://api.github.com/repos/qax-os/excelize/pulls/1715,https://api.github.com/repos/qax-os/excelize/issues/1715,open,2023-11-07,2023-11-07,,46d87ae025468e260b3c34359aedadf71c934182
lpxxn,https://api.github.com/repos/qax-os/excelize/pulls/1714,https://api.github.com/repos/qax-os/excelize/issues/1714,closed,2023-11-07,2023-11-08,2023-11-08,134865d9d2e99be0cdb71a1f4a18393ac2570796
krstak,https://api.github.com/repos/qax-os/excelize/pulls/1713,https://api.github.com/repos/qax-os/excelize/issues/1713,closed,2023-11-06,2023-11-07,2023-11-07,6cc1a547abd4ed47a61536d97b47e00383faf512
phperic,https://api.github.com/repos/qax-os/excelize/pulls/1710,https://api.github.com/repos/qax-os/excelize/issues/1710,closed,2023-11-02,2023-11-04,2023-11-04,f753e560fa975f2dd671382ac07203f284ce945c
TeeRenJing,https://api.github.com/repos/qax-os/excelize/pulls/1705,https://api.github.com/repos/qax-os/excelize/issues/1705,closed,2023-10-30,2023-10-31,2023-10-31,b41a6cc3cd37c7c99bae83fa8dd1158e5e8fecc7
TeeRenJing,https://api.github.com/repos/qax-os/excelize/pulls/1702,https://api.github.com/repos/qax-os/excelize/issues/1702,closed,2023-10-25,2023-10-29,2023-10-29,cf3e0164d90d194aa5312fd2ec8fe0765caa54c8
TeeRenJing,https://api.github.com/repos/qax-os/excelize/pulls/1698,https://api.github.com/repos/qax-os/excelize/issues/1698,closed,2023-10-23,2023-10-23,2023-10-23,a8cbcfa39b7cab7e691b3c369b56e98a5a7f848e
lujin1,https://api.github.com/repos/qax-os/excelize/pulls/1692,https://api.github.com/repos/qax-os/excelize/issues/1692,closed,2023-10-17,2023-11-18,2023-11-18,6220a798fd79231bf4b3d7ef587bb2b79d276710
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1689,https://api.github.com/repos/qax-os/excelize/issues/1689,closed,2023-10-11,2023-10-12,,07ec20ad39940c30e52d18d0bb6c22a72b377f44
Juneezee,https://api.github.com/repos/qax-os/excelize/pulls/1685,https://api.github.com/repos/qax-os/excelize/issues/1685,closed,2023-10-06,2023-10-12,2023-10-12,f752f2ddf45c3a1655905e663d487a801b0057f3
abdelaziz-ouhammou,https://api.github.com/repos/qax-os/excelize/pulls/1684,https://api.github.com/repos/qax-os/excelize/issues/1684,closed,2023-10-06,2023-10-06,2023-10-06,07f2c6831a85214b2e914f274e746213e3f6d081
dependabot[bot],https://api.github.com/repos/qax-os/excelize/pulls/1676,https://api.github.com/repos/qax-os/excelize/issues/1676,closed,2023-10-01,2023-10-03,2023-10-03,ecb4f62b776aa7c5659e0752785ecf91b6a334a3
fnickels,https://api.github.com/repos/qax-os/excelize/pulls/1644,https://api.github.com/repos/qax-os/excelize/issues/1644,closed,2023-09-02,2023-09-03,2023-09-03,ff5657ba87f7fbae2c5352fb69e3f975d0e6e2e4
sides-flow,https://api.github.com/repos/qax-os/excelize/pulls/1639,https://api.github.com/repos/qax-os/excelize/issues/1639,open,2023-08-31,2024-02-04,,7745bacdadfbe04cb9ef1dc8727d18f687b12e4e
yicixin,https://api.github.com/repos/qax-os/excelize/pulls/1634,https://api.github.com/repos/qax-os/excelize/issues/1634,closed,2023-08-28,2023-10-20,2023-10-12,27f105692942db78f83295af6536f33bafdeb726
fsfsx,https://api.github.com/repos/qax-os/excelize/pulls/1630,https://api.github.com/repos/qax-os/excelize/issues/1630,closed,2023-08-25,2023-08-26,2023-08-26,4957ee9abc8b802e147480c83c1dd87d5a791a53
cnmlgbgithub,https://api.github.com/repos/qax-os/excelize/pulls/1574,https://api.github.com/repos/qax-os/excelize/issues/1574,closed,2023-07-11,2023-08-24,2023-08-24,db224523987ea14f10fbe638e10f375f6741631c
fsfsx,https://api.github.com/repos/qax-os/excelize/pulls/1573,https://api.github.com/repos/qax-os/excelize/issues/1573,closed,2023-07-09,2023-08-23,2023-08-23,cb5a8e2d1ed8d0707a411deab4437815ab22750b
lidp20,https://api.github.com/repos/qax-os/excelize/pulls/1567,https://api.github.com/repos/qax-os/excelize/issues/1567,closed,2023-07-03,2023-07-03,2023-07-03,e2c74162925c7dc7e87c8818b0b83cf4dd3dbc40
xuri,https://api.github.com/repos/qax-os/excelize/pulls/1566,https://api.github.com/repos/qax-os/excelize/issues/1566,closed,2023-07-02,2023-07-02,,a7da174665ea6e6a5ec8d7a2ff7014745bd106da
chengcxy,https://api.github.com/repos/qax-os/excelize/pulls/1561,https://api.github.com/repos/qax-os/excelize/issues/1561,closed,2023-06-14,2023-06-14,2023-06-14,9bc3fd7e9fe034be5ffc211a6aba1509d0afa032
AgeOfEmpiresII,https://api.github.com/repos/qax-os/excelize/pulls/1556,https://api.github.com/repos/qax-os/excelize/issues/1556,closed,2023-06-07,2023-06-08,2023-06-08,78c974d855e43011a4fd9febce476bc1e80d35e4
