user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2918,https://api.github.com/repos/v2fly/v2ray-core/issues/2918,open,2024-03-05,2024-03-05,,4cf4b04bd0b4ec68e32159f7f8fa2ae3faaa222c
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2917,https://api.github.com/repos/v2fly/v2ray-core/issues/2917,open,2024-03-05,2024-03-05,,77e6f60347ade1cdd773ce479e5806b633bbf6f9
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2916,https://api.github.com/repos/v2fly/v2ray-core/issues/2916,open,2024-03-04,2024-03-04,,ae1a5df35b131f68c4bf385840da0f0508946b18
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2915,https://api.github.com/repos/v2fly/v2ray-core/issues/2915,open,2024-03-04,2024-03-04,,0672a1a9362a7a209b804767202ae1561526ad8c
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2914,https://api.github.com/repos/v2fly/v2ray-core/issues/2914,open,2024-03-04,2024-03-04,,7a82a00d0334e1f7c3f5f9decb49a76369554ac9
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2913,https://api.github.com/repos/v2fly/v2ray-core/issues/2913,open,2024-03-04,2024-03-04,,9e84087f7e26fd60d108e985dca62374c6c1a178
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2908,https://api.github.com/repos/v2fly/v2ray-core/issues/2908,closed,2024-02-26,2024-03-04,,11b1dcf4f5dcf4d6072678e83f67b1cd979bb0e2
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2904,https://api.github.com/repos/v2fly/v2ray-core/issues/2904,closed,2024-02-22,2024-03-05,,e80653fa00fc151eef0e5a03531fe417f101a78c
hellodword,https://api.github.com/repos/v2fly/v2ray-core/pulls/2901,https://api.github.com/repos/v2fly/v2ray-core/issues/2901,closed,2024-02-22,2024-02-25,,6f03bc34b8df1b3990cedfb2cf6c64222e1a9944
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2899,https://api.github.com/repos/v2fly/v2ray-core/issues/2899,open,2024-02-21,2024-03-04,,986356fc3864bdaa1133ab598afc98c8972df188
hellodword,https://api.github.com/repos/v2fly/v2ray-core/pulls/2897,https://api.github.com/repos/v2fly/v2ray-core/issues/2897,closed,2024-02-21,2024-02-25,,494351565229f882b7ca1a2c220d96e0228b67d3
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2894,https://api.github.com/repos/v2fly/v2ray-core/issues/2894,open,2024-02-19,2024-02-19,,bab68853354c9d2ca8c5d99af694a2cf91d50e67
dyhkwong,https://api.github.com/repos/v2fly/v2ray-core/pulls/2886,https://api.github.com/repos/v2fly/v2ray-core/issues/2886,closed,2024-02-15,2024-02-15,,d003d24727517d5a73785efe49d60db04c5e51cb
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2885,https://api.github.com/repos/v2fly/v2ray-core/issues/2885,closed,2024-02-14,2024-02-22,,b7f5cb04b93da1438af8fb175ee42eb3c1e7ea10
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2880,https://api.github.com/repos/v2fly/v2ray-core/issues/2880,closed,2024-02-07,2024-02-26,,95de335f14487fe696d7bac12be73319858ca14a
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2879,https://api.github.com/repos/v2fly/v2ray-core/issues/2879,closed,2024-02-07,2024-03-04,,90e8dc3993a87c7dde094b4517295b9e9cfa0ec3
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2872,https://api.github.com/repos/v2fly/v2ray-core/issues/2872,closed,2024-01-29,2024-02-21,,9c69d461b1ffbb78ee4ba7942f2b731f0a5ec78b
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2871,https://api.github.com/repos/v2fly/v2ray-core/issues/2871,open,2024-01-29,2024-03-04,,3c859ca8d0f4ec1867ad28eea2f8f9341932ede9
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2868,https://api.github.com/repos/v2fly/v2ray-core/issues/2868,closed,2024-01-24,2024-02-14,,1123a7ee8d36236a64da38832292246cdd0e026f
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2866,https://api.github.com/repos/v2fly/v2ray-core/issues/2866,closed,2024-01-22,2024-01-29,,b18d0eb694fac3c5a94fb88d158b29504bd215ae
mkmark,https://api.github.com/repos/v2fly/v2ray-core/pulls/2864,https://api.github.com/repos/v2fly/v2ray-core/issues/2864,open,2024-01-22,2024-01-22,,caab2cbc62ce405e2acad0b63ad806df84c8c5f7
nlzy,https://api.github.com/repos/v2fly/v2ray-core/pulls/2862,https://api.github.com/repos/v2fly/v2ray-core/issues/2862,closed,2024-01-18,2024-01-18,,73f936251d1dcd356996628a23283994e2b0822e
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2856,https://api.github.com/repos/v2fly/v2ray-core/issues/2856,closed,2024-01-17,2024-03-04,2024-03-04,94b1f490f7b2a07dda4064a433492d96103c9044
mkmark,https://api.github.com/repos/v2fly/v2ray-core/pulls/2850,https://api.github.com/repos/v2fly/v2ray-core/issues/2850,open,2024-01-09,2024-01-11,,0ff506d5b5b013fe1299d9ce41d3f4f41dd0258f
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2849,https://api.github.com/repos/v2fly/v2ray-core/issues/2849,closed,2024-01-08,2024-02-07,,2b444141d5f834146af9c5661f24aab9b647308d
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2848,https://api.github.com/repos/v2fly/v2ray-core/issues/2848,closed,2024-01-08,2024-01-29,,3fd06da5703d4c1369a9164f80ea69f99ad60d59
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2847,https://api.github.com/repos/v2fly/v2ray-core/issues/2847,closed,2024-01-08,2024-03-04,2024-03-04,360211c5c949faf0561da716cf8ab8a46f3481b2
yin1999,https://api.github.com/repos/v2fly/v2ray-core/pulls/2844,https://api.github.com/repos/v2fly/v2ray-core/issues/2844,open,2024-01-07,2024-03-04,,823e1ee373f109e5016db4cb392d41ccbdf14f7a
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2841,https://api.github.com/repos/v2fly/v2ray-core/issues/2841,open,2024-01-04,2024-03-04,,85cf384864038f0bb0d86a6e9b9975e35f854a93
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2840,https://api.github.com/repos/v2fly/v2ray-core/issues/2840,closed,2024-01-04,2024-02-07,,5cbeb9e59e242df17aac97e257d4de3139f73574
Hakanar1,https://api.github.com/repos/v2fly/v2ray-core/pulls/2828,https://api.github.com/repos/v2fly/v2ray-core/issues/2828,closed,2023-12-25,2023-12-25,,8a54d04034f0bebcfb9e29107f8143b3ad8e3a06
dyhkwong,https://api.github.com/repos/v2fly/v2ray-core/pulls/2827,https://api.github.com/repos/v2fly/v2ray-core/issues/2827,closed,2023-12-25,2024-02-15,,cd1c04099400f87775ad3fc05f5ea2a8b462ec6f
yin1999,https://api.github.com/repos/v2fly/v2ray-core/pulls/2826,https://api.github.com/repos/v2fly/v2ray-core/issues/2826,open,2023-12-25,2023-12-25,,7f454ebf4642de273113875dccb9916cf7f7195d
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2820,https://api.github.com/repos/v2fly/v2ray-core/issues/2820,closed,2023-12-22,2024-03-05,,a98b59f936eb17937ac54fcdfc919bc5212443ef
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2818,https://api.github.com/repos/v2fly/v2ray-core/issues/2818,closed,2023-12-20,2024-02-19,,79da05627ffc472a977627ede0c151bcf424b7e6
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2817,https://api.github.com/repos/v2fly/v2ray-core/issues/2817,closed,2023-12-19,2024-01-24,,7a33188678a60a009ecd6cbbcd5166cbefbbcc2b
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2814,https://api.github.com/repos/v2fly/v2ray-core/issues/2814,closed,2023-12-18,2024-01-08,,05be04d3483245d2a50d36713ad9d2fdc861e455
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2813,https://api.github.com/repos/v2fly/v2ray-core/issues/2813,closed,2023-12-18,2024-01-08,,7b43654349708c18c637301f425106a486de6a7d
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2811,https://api.github.com/repos/v2fly/v2ray-core/issues/2811,open,2023-12-14,2023-12-14,,a0d2ac15d3016180e726c9e9b307dd98b1c0181c
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2808,https://api.github.com/repos/v2fly/v2ray-core/issues/2808,closed,2023-12-13,2024-01-17,,1a7fd4c2da09cfa617c2cbd6e9519e8900d5a6ac
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2807,https://api.github.com/repos/v2fly/v2ray-core/issues/2807,open,2023-12-13,2023-12-13,,18c2dd8403739520eb57aed6e78c252770535d40
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2806,https://api.github.com/repos/v2fly/v2ray-core/issues/2806,closed,2023-12-12,2023-12-19,,b961f7198c4aec0ead5b5e2c0dc37b8320c74098
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2801,https://api.github.com/repos/v2fly/v2ray-core/issues/2801,closed,2023-12-08,2024-01-22,,1aa59c6b4eb0943447f1f7701099f8c07b990706
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2800,https://api.github.com/repos/v2fly/v2ray-core/issues/2800,open,2023-12-07,2023-12-07,,8fa82b341b6ce21241bc700fe06d34cfd23e68ce
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2799,https://api.github.com/repos/v2fly/v2ray-core/issues/2799,open,2023-12-06,2023-12-06,,319ef5408f1a1193ce16b8f7c5d8efccf2362212
Fangliding,https://api.github.com/repos/v2fly/v2ray-core/pulls/2793,https://api.github.com/repos/v2fly/v2ray-core/issues/2793,open,2023-11-29,2023-11-29,,46efffc37b75aed28399d258e212a8169a7963a7
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2791,https://api.github.com/repos/v2fly/v2ray-core/issues/2791,closed,2023-11-27,2023-12-10,2023-12-10,5127b1635af9e789ed7a443c3a7a2e540429e24e
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2790,https://api.github.com/repos/v2fly/v2ray-core/issues/2790,closed,2023-11-27,2023-12-10,2023-12-10,a77eee56499e30f75ad48f44b26c282cf70810ed
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2789,https://api.github.com/repos/v2fly/v2ray-core/issues/2789,closed,2023-11-27,2023-12-10,2023-12-10,f1336573bac416a5dd23eb05641ce6f8bc6973a3
ghosx,https://api.github.com/repos/v2fly/v2ray-core/pulls/2786,https://api.github.com/repos/v2fly/v2ray-core/issues/2786,open,2023-11-25,2023-11-26,,676050b66f52f1585814e977fe978c88c1d1afeb
dependabot[bot],https://api.github.com/repos/v2fly/v2ray-core/pulls/2784,https://api.github.com/repos/v2fly/v2ray-core/issues/2784,closed,2023-11-24,2023-12-10,2023-12-10,e53163f264bf5ff4bcff0d2747fd3f6f544343d6
xiaokangwang,https://api.github.com/repos/v2fly/v2ray-core/pulls/2782,https://api.github.com/repos/v2fly/v2ray-core/issues/2782,closed,2023-11-24,2023-11-26,2023-11-26,4637c9e32463a20554df4bd5337a928efa58df79
xiaokangwang,https://api.github.com/repos/v2fly/v2ray-core/pulls/2778,https://api.github.com/repos/v2fly/v2ray-core/issues/2778,closed,2023-11-22,2023-11-26,2023-11-26,a07572822a10edc3ce8c4a6e775f496964833d36
ghosx,https://api.github.com/repos/v2fly/v2ray-core/pulls/2773,https://api.github.com/repos/v2fly/v2ray-core/issues/2773,closed,2023-11-22,2023-11-24,2023-11-24,57d712a4d478aaba0821b1da8bdbf0a4c5fd9efc
