user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18158,https://api.github.com/repos/webpack/webpack/issues/18158,open,2024-03-05,2024-03-06,,323b69e7e70f24c15dc29899d85b2c46893a1de1
SyMind,https://api.github.com/repos/webpack/webpack/pulls/18157,https://api.github.com/repos/webpack/webpack/issues/18157,open,2024-03-05,2024-03-05,,c12ceebec2f383a850df1acb5d6d6549a808e5b1
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18155,https://api.github.com/repos/webpack/webpack/issues/18155,closed,2024-03-04,2024-03-05,,6d0412caa5ec42974fdc1cdc33a74d2e155f7d31
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18154,https://api.github.com/repos/webpack/webpack/issues/18154,open,2024-03-04,2024-03-06,,318180c68befabb7f1b6445d64e3d8ad43c95649
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18152,https://api.github.com/repos/webpack/webpack/issues/18152,closed,2024-03-04,2024-03-05,2024-03-05,0217dc76a4f70e18ee6e99542cac47fc5c2b5f9e
Danielku15,https://api.github.com/repos/webpack/webpack/pulls/18149,https://api.github.com/repos/webpack/webpack/issues/18149,open,2024-03-02,2024-03-03,,a6e00f19c4690efc88fd939e7cd5260a27eef9f5
ahabhgk,https://api.github.com/repos/webpack/webpack/pulls/18147,https://api.github.com/repos/webpack/webpack/issues/18147,closed,2024-03-01,2024-03-06,2024-03-06,6842c9a2c9b70e760143188ffa5baa19a72799cb
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18146,https://api.github.com/repos/webpack/webpack/issues/18146,open,2024-03-01,2024-03-01,,385b8cea622094a77508ffcfeeb3c8f2d4c32445
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18140,https://api.github.com/repos/webpack/webpack/issues/18140,closed,2024-02-29,2024-03-01,,47ca066204c33319ca3b53f5dcdf9485bbe6032a
nicolo-ribaudo,https://api.github.com/repos/webpack/webpack/pulls/18139,https://api.github.com/repos/webpack/webpack/issues/18139,open,2024-02-28,2024-03-04,,1ef439ad9f63517dce0e3cb8a1bc7a66f44e4314
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18138,https://api.github.com/repos/webpack/webpack/issues/18138,closed,2024-02-28,2024-02-29,2024-02-29,4fb4890dae7516c41c1592073845ce8a36fae8ec
gzzhanghao,https://api.github.com/repos/webpack/webpack/pulls/18134,https://api.github.com/repos/webpack/webpack/issues/18134,open,2024-02-28,2024-02-28,,32f83579e7da1645b1e84caf6761b45befc74b8c
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18132,https://api.github.com/repos/webpack/webpack/issues/18132,open,2024-02-28,2024-02-28,,526c604c813aeb73df8fb5ce69bc91ffb00c776a
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18131,https://api.github.com/repos/webpack/webpack/issues/18131,closed,2024-02-28,2024-02-29,,4b0dd75d14c59b932222dd3d639ae2b2a56e9aa6
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18130,https://api.github.com/repos/webpack/webpack/issues/18130,closed,2024-02-28,2024-02-28,2024-02-28,3c1a3c54eb970f614f14624f0ebb65e1616b0c7a
Danielku15,https://api.github.com/repos/webpack/webpack/pulls/18128,https://api.github.com/repos/webpack/webpack/issues/18128,open,2024-02-27,2024-02-27,,b25f46bfba4ecdd63ed6f2529e0584ff493587f5
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18126,https://api.github.com/repos/webpack/webpack/issues/18126,closed,2024-02-27,2024-02-28,2024-02-28,e6b75fa2cd2ab2e6bd4857f6467eb6a405e3746b
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18125,https://api.github.com/repos/webpack/webpack/issues/18125,closed,2024-02-27,2024-02-28,,3e01318602d4756e6f292326a687cb55bde83d07
alexander-akait,https://api.github.com/repos/webpack/webpack/pulls/18124,https://api.github.com/repos/webpack/webpack/issues/18124,closed,2024-02-27,2024-02-27,2024-02-27,4a4031637405dabec8604d36e19ced24e92bd6b2
IWANABETHATGUY,https://api.github.com/repos/webpack/webpack/pulls/18123,https://api.github.com/repos/webpack/webpack/issues/18123,open,2024-02-27,2024-02-27,,55ea3435352858d883c06b9c89a0c23b8c2a9531
tthijm,https://api.github.com/repos/webpack/webpack/pulls/18121,https://api.github.com/repos/webpack/webpack/issues/18121,open,2024-02-27,2024-02-27,,8e320c62bc053ec63927d2f15ee9c4fe0204408b
dependabot[bot],https://api.github.com/repos/webpack/webpack/pulls/18118,https://api.github.com/repos/webpack/webpack/issues/18118,closed,2024-02-26,2024-02-28,,32b81bd9b7131b671c7460f3c7b90f058dd667bc
hai-x,https://api.github.com/repos/webpack/webpack/pulls/18110,https://api.github.com/repos/webpack/webpack/issues/18110,open,2024-02-22,2024-02-22,,08cf196b22058defec2f55739ee048e15c09b04e
