user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
tisilent,https://api.github.com/repos/xtermjs/xterm.js/pulls/4984,https://api.github.com/repos/xtermjs/xterm.js/issues/4984,open,2024-03-06,2024-03-06,,e2657768ef091bb42ecdd07d564402582423c870
xdavidwu,https://api.github.com/repos/xtermjs/xterm.js/pulls/4979,https://api.github.com/repos/xtermjs/xterm.js/issues/4979,open,2024-03-04,2024-03-04,,3949dc8e4c1ff1f0627ea19f7ea9a25915aec761
dstein64,https://api.github.com/repos/xtermjs/xterm.js/pulls/4977,https://api.github.com/repos/xtermjs/xterm.js/issues/4977,closed,2024-03-02,2024-03-03,2024-03-03,1da0db435f93879a60b9badbb663852ff3223063
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4976,https://api.github.com/repos/xtermjs/xterm.js/issues/4976,closed,2024-03-01,2024-03-01,2024-03-01,9da5f1401fc018f69185bdc8071269be8d280c6c
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4975,https://api.github.com/repos/xtermjs/xterm.js/issues/4975,closed,2024-03-01,2024-03-01,2024-03-01,9a512d1abd6cb321f48eb4ee9b179acbc9b106c2
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4974,https://api.github.com/repos/xtermjs/xterm.js/issues/4974,closed,2024-03-01,2024-03-01,2024-03-01,cff944fe8a848751d51eca1bcb0f009f8f828cc2
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4973,https://api.github.com/repos/xtermjs/xterm.js/issues/4973,closed,2024-02-29,2024-02-29,2024-02-29,fb867a914a97a62c97972d950320099930f05f3f
gonzolively,https://api.github.com/repos/xtermjs/xterm.js/pulls/4970,https://api.github.com/repos/xtermjs/xterm.js/issues/4970,closed,2024-02-28,2024-02-28,,f2a152e1a63987f7e9cf790119895dc9a0f15934
jerch,https://api.github.com/repos/xtermjs/xterm.js/pulls/4965,https://api.github.com/repos/xtermjs/xterm.js/issues/4965,closed,2024-02-22,2024-03-01,2024-03-01,37ecb9a6b553bc29feae8b439a4095285b4ccb7e
unional,https://api.github.com/repos/xtermjs/xterm.js/pulls/4963,https://api.github.com/repos/xtermjs/xterm.js/issues/4963,open,2024-02-17,2024-02-21,,bbfde1c2c156c34fc15f186d3842e21a108084be
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4954,https://api.github.com/repos/xtermjs/xterm.js/issues/4954,closed,2024-02-02,2024-02-02,2024-02-02,fb54bb0b6c9ab642e5fb4d53bd797bc2ae1eeb0b
arencoskun,https://api.github.com/repos/xtermjs/xterm.js/pulls/4953,https://api.github.com/repos/xtermjs/xterm.js/issues/4953,closed,2024-02-01,2024-02-02,2024-02-02,6a281bd90ed205579952e1018bf30a119c922bee
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4950,https://api.github.com/repos/xtermjs/xterm.js/issues/4950,closed,2024-01-30,2024-01-30,2024-01-30,8e015ebf872001352c8f382364f6d58048b7800b
octoclonius,https://api.github.com/repos/xtermjs/xterm.js/pulls/4940,https://api.github.com/repos/xtermjs/xterm.js/issues/4940,open,2024-01-13,2024-03-04,,54444f4d7da480017fe0b200b43a09d685a23ce0
dependabot[bot],https://api.github.com/repos/xtermjs/xterm.js/pulls/4939,https://api.github.com/repos/xtermjs/xterm.js/issues/4939,open,2024-01-11,2024-03-01,,cee960b16321458fe65d5b6ce32a64424333f8df
szymonkaliski,https://api.github.com/repos/xtermjs/xterm.js/pulls/4937,https://api.github.com/repos/xtermjs/xterm.js/issues/4937,closed,2024-01-05,2024-01-11,2024-01-11,99df13b085aecb051f1373c5b7f8e819c4f41442
SimonSiefke,https://api.github.com/repos/xtermjs/xterm.js/pulls/4936,https://api.github.com/repos/xtermjs/xterm.js/issues/4936,open,2024-01-04,2024-01-21,,14279cf1af4f03a4ba2a6722353343e0631f541b
tisilent,https://api.github.com/repos/xtermjs/xterm.js/pulls/4933,https://api.github.com/repos/xtermjs/xterm.js/issues/4933,open,2024-01-01,2024-01-01,,2e3ff97ca5babf9325f6994244877955094fd97e
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4931,https://api.github.com/repos/xtermjs/xterm.js/issues/4931,closed,2023-12-30,2023-12-30,2023-12-30,1940bbec75e481c34812dc644d7b4178c048fbb7
PerBothner,https://api.github.com/repos/xtermjs/xterm.js/pulls/4930,https://api.github.com/repos/xtermjs/xterm.js/issues/4930,closed,2023-12-30,2023-12-30,2023-12-30,b97baa7ff193721d0ccc094367001903fe0f48f9
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4929,https://api.github.com/repos/xtermjs/xterm.js/issues/4929,closed,2023-12-29,2023-12-29,2023-12-29,1b4f0606ca94af1749e5dd875946a1963b99a29b
PerBothner,https://api.github.com/repos/xtermjs/xterm.js/pulls/4928,https://api.github.com/repos/xtermjs/xterm.js/issues/4928,open,2023-12-29,2024-02-29,,2f20b7f2ca9cd64c25ac816416dde5202e6f0ee4
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4927,https://api.github.com/repos/xtermjs/xterm.js/issues/4927,closed,2023-12-28,2023-12-28,2023-12-28,08e67a3a0ba83764e0390ba36c5ff7550bad5057
turrsis,https://api.github.com/repos/xtermjs/xterm.js/pulls/4925,https://api.github.com/repos/xtermjs/xterm.js/issues/4925,open,2023-12-26,2023-12-26,,bcbbd5ca7ededf929a638b79130a148f17162fd5
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4924,https://api.github.com/repos/xtermjs/xterm.js/issues/4924,closed,2023-12-23,2023-12-23,2023-12-23,6e351dd4ac23235c587dbf4af4cac737965cb7cd
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4921,https://api.github.com/repos/xtermjs/xterm.js/issues/4921,closed,2023-12-20,2023-12-20,2023-12-20,b3737d6ff0821b08ee791c6d261e35a3cf5cd317
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4920,https://api.github.com/repos/xtermjs/xterm.js/issues/4920,closed,2023-12-19,2023-12-19,2023-12-19,341d9f05976908bd26e35f456d059939ca3d1ce5
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4919,https://api.github.com/repos/xtermjs/xterm.js/issues/4919,closed,2023-12-19,2023-12-19,2023-12-19,805823df7a2d801b34f9e8c19ca99f7f82e601a7
tisilent,https://api.github.com/repos/xtermjs/xterm.js/pulls/4915,https://api.github.com/repos/xtermjs/xterm.js/issues/4915,closed,2023-12-14,2023-12-29,2023-12-29,3c4d567be95cb2895cc84e495516dd8d5ea02d44
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4913,https://api.github.com/repos/xtermjs/xterm.js/issues/4913,closed,2023-12-12,2023-12-12,2023-12-12,1f15c47a438ba4ecf3ab62da52b7415c93f0b273
jeanp413,https://api.github.com/repos/xtermjs/xterm.js/pulls/4912,https://api.github.com/repos/xtermjs/xterm.js/issues/4912,closed,2023-12-12,2023-12-15,2023-12-15,0904078bf457b42b4b13fdd7a366755082e83e22
Tyriar,https://api.github.com/repos/xtermjs/xterm.js/pulls/4910,https://api.github.com/repos/xtermjs/xterm.js/issues/4910,closed,2023-12-08,2023-12-08,2023-12-08,b4226bc0f51dceaa388ba4f4025967f07d0d509f
tisilent,https://api.github.com/repos/xtermjs/xterm.js/pulls/4891,https://api.github.com/repos/xtermjs/xterm.js/issues/4891,open,2023-11-22,2023-11-22,,9ecc2b88692ffa6c4c1ed9b1de0ebe0b3815dd58
tisilent,https://api.github.com/repos/xtermjs/xterm.js/pulls/4880,https://api.github.com/repos/xtermjs/xterm.js/issues/4880,open,2023-11-11,2023-12-08,,e02a3a989b8ae325163d27bb06a48bdd6d3141d8
JasonXJ,https://api.github.com/repos/xtermjs/xterm.js/pulls/4879,https://api.github.com/repos/xtermjs/xterm.js/issues/4879,open,2023-11-11,2023-11-11,,efb2438a9b318085fa1254635e7c2fea612f3e58
