created_at,pull_requests
2019-11-22,5
2019-11-24,10
2019-11-25,18
2019-11-26,10
2019-11-28,6
2019-11-30,2
2019-12-08,1
2019-12-10,1
2019-12-13,1
2019-12-16,2
2019-12-18,1
2019-12-21,1
2019-12-23,1
2019-12-25,1
2019-12-31,3
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-09,1
2020-01-12,1
2020-05-14,1
2020-07-17,1
2020-07-23,1
2020-10-03,1
2020-10-09,1
2020-10-15,1
2020-10-17,1
2020-10-18,4
2020-10-19,2
2020-10-20,2
2020-10-23,2
2020-10-27,1
2020-10-29,1
2020-10-30,1
2020-11-17,1
2020-11-18,1
2020-11-20,1
2020-11-24,1
2020-12-03,1
2020-12-07,1
2020-12-08,1
2020-12-09,1
2020-12-16,2
2020-12-23,1
2021-01-15,1
2021-01-19,1
2021-01-31,1
2021-02-01,1
2021-02-03,1
2021-02-16,1
2021-03-01,1
2021-03-02,1
2021-03-09,4
2021-03-27,1
2021-03-28,1
2021-04-29,1
2021-04-30,1
2021-05-18,1
2021-06-04,1
2021-08-14,1
2021-09-22,1
2021-10-02,1
2021-10-22,1
2021-11-22,1
2022-01-31,1
2022-03-20,1
2022-04-14,1
2022-05-16,1
2022-05-26,2
2022-05-27,1
2022-05-28,1
2022-07-08,2
2022-07-12,1
2022-07-15,1
2022-07-16,1
2022-07-29,1
2022-08-11,1
2022-09-03,1
2022-09-15,1
2022-09-29,1
2022-10-06,1
2022-10-09,1
2022-10-24,1
2022-10-25,10
2022-10-27,3
2022-11-08,1
2022-11-10,1
2022-11-12,1
2022-11-16,1
2022-11-18,1
2022-12-03,1
2022-12-05,1
2022-12-07,1
2022-12-19,1
2023-01-03,2
2023-01-05,2
2023-01-06,1
2023-01-19,1
2023-01-20,2
2023-01-24,5
2023-01-26,1
2023-02-06,1
2023-02-09,2
2023-02-24,1
2023-03-03,1
2023-03-06,2
2023-03-09,1
2023-03-10,1
2023-03-16,1
2023-04-05,1
2023-04-07,1
2023-04-12,1
2023-05-05,1
2023-05-09,2
2023-05-13,1
2023-05-20,1
2023-05-23,2
2023-05-25,1
2023-05-26,2
2023-05-31,1
2023-06-01,1
2023-06-05,1
2023-06-07,1
2023-06-13,2
2023-06-28,1
2023-07-13,1
2023-08-24,1
2023-11-16,1
2023-12-10,1
2023-12-11,1
2024-02-09,1
2024-02-13,11
2024-02-14,4
2024-02-29,1
2024-03-04,2
2024-03-05,2
2024-03-06,1
