created_at,pull_requests
2014-01-02,1
2014-01-03,1
2014-01-06,1
2014-01-14,1
2014-01-15,1
2014-01-16,10
2014-01-17,2
2014-01-18,1
2014-01-19,1
2014-01-20,2
2014-01-21,1
2014-01-22,2
2014-01-23,2
2014-01-27,2
2014-01-28,2
2014-01-29,2
2014-01-30,2
2014-01-31,1
2014-02-01,1
2014-02-04,2
2014-02-05,4
2014-02-06,1
2014-02-07,1
2014-02-10,1
2014-02-12,1
2014-02-13,1
2014-02-18,1
2014-02-20,1
2014-02-21,1
2014-02-23,1
2014-02-26,2
2014-03-01,2
2014-03-03,7
2014-03-04,6
2014-03-05,2
2014-03-06,1
2014-03-09,1
2014-03-10,1
2014-03-12,1
2014-03-13,1
2014-03-23,1
2014-03-25,3
2014-03-26,1
2014-03-28,1
2014-04-04,2
2014-04-06,1
2014-04-08,1
2014-04-10,1
2014-04-14,1
2014-04-16,1
2014-04-29,2
2014-05-01,2
2014-05-02,1
2014-05-03,1
2014-05-08,3
2014-05-14,1
2014-05-22,1
2014-05-27,2
2014-05-29,1
2014-06-07,1
2014-06-10,1
2014-06-11,3
2014-06-12,1
2014-06-18,3
2014-06-19,1
2014-06-20,1
2014-06-21,1
2014-06-25,4
2014-06-26,1
2014-07-01,2
2014-07-02,3
2014-07-03,1
2014-07-05,1
2014-07-06,1
2014-07-07,1
2014-07-08,1
2014-07-09,1
2014-07-10,3
2014-07-11,7
2014-07-12,3
2014-07-13,1
2014-07-14,3
2014-07-15,1
2014-07-18,3
2014-07-20,1
2014-07-21,2
2014-07-22,3
2014-07-23,1
2014-07-24,2
2014-07-25,1
2014-07-27,1
2014-07-28,3
2014-07-29,2
2014-07-30,1
2014-08-04,1
2014-08-05,1
2014-08-06,5
2014-08-07,7
2014-08-08,2
2014-08-10,1
2014-08-11,2
2014-08-12,3
2014-08-14,1
2014-08-15,1
2014-08-17,2
2014-08-18,4
2014-08-24,4
2014-08-25,1
2014-08-26,1
2014-08-29,1
2014-08-30,2
2014-08-31,1
2014-09-01,1
2014-09-02,1
2014-09-04,1
2014-09-05,2
2014-09-06,2
2014-09-08,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,2
2014-09-17,1
2014-09-18,1
2014-09-23,1
2014-09-24,4
2014-09-26,2
2014-09-30,2
2014-10-01,5
2014-10-03,3
