created_at,pull_requests
2016-01-27,1
2016-02-03,1
2016-02-05,1
2016-02-26,1
2016-02-28,1
2016-02-29,1
2016-03-17,1
2016-03-22,1
2016-03-24,2
2016-03-25,1
2016-04-05,4
2016-04-06,1
2016-04-13,1
2016-05-03,1
2016-05-08,1
2016-05-17,1
2016-06-07,1
2016-06-13,1
2016-06-14,1
2016-06-24,2
2016-06-26,1
2016-07-04,1
2016-07-09,2
2016-07-11,2
2016-07-17,1
2016-07-20,1
2016-07-22,1
2016-07-25,1
2016-07-29,1
2016-07-30,1
2016-08-11,2
2016-08-12,2
2016-08-13,1
2016-08-14,3
2016-08-15,2
2016-08-22,1
2016-08-23,3
2016-08-24,2
2016-08-29,1
2016-09-12,1
2016-11-07,1
2016-12-18,3
2016-12-19,1
2016-12-20,2
2016-12-21,2
2016-12-24,1
2016-12-27,2
2016-12-30,1
2017-01-05,1
2017-01-08,1
2017-01-12,1
2017-01-13,3
2017-01-17,1
2017-02-24,2
2017-03-07,1
2017-04-13,1
2017-05-06,1
2017-05-14,1
2017-05-18,4
2017-05-19,1
2017-05-20,1
2017-05-22,1
2017-05-24,2
2017-05-26,1
2017-05-30,1
2017-06-01,1
2017-06-02,2
2017-06-03,1
2017-06-11,1
2017-06-13,1
2017-06-19,2
2017-06-21,2
2017-06-24,1
2017-07-04,1
2017-07-14,1
2017-07-16,2
2017-09-04,1
2017-09-05,1
2017-09-06,2
2017-09-11,1
2017-09-24,1
2017-09-26,2
2017-10-20,1
2017-10-24,1
2017-11-01,1
2017-11-10,1
2017-11-28,1
2017-12-04,2
2017-12-12,1
2017-12-14,2
2017-12-21,1
2017-12-22,1
2017-12-26,1
2018-01-08,2
2018-01-17,2
2018-01-18,3
2018-01-23,2
2018-01-24,1
2018-01-29,2
2018-02-27,1
2018-03-11,1
2018-03-21,2
2018-04-04,4
2018-04-09,1
2018-04-11,1
2018-04-22,1
2018-04-23,2
2018-04-27,1
2018-04-28,2
2018-05-02,2
2018-05-04,1
2018-05-05,1
2018-05-06,1
2018-05-07,1
2018-05-08,1
2018-05-11,1
2018-05-13,1
2018-05-14,1
2018-05-16,2
2018-05-19,1
2018-05-20,3
2018-05-26,1
2018-05-31,2
2018-06-06,1
2018-06-08,1
2018-06-14,1
2018-08-03,2
2018-08-06,2
2018-08-08,1
2018-08-10,1
2018-08-12,2
2018-09-04,1
2018-09-09,2
2018-09-10,1
2018-09-27,2
2018-10-19,1
2018-10-24,1
2018-11-06,1
2018-11-07,1
2018-11-08,1
2018-11-16,2
2018-11-19,1
2018-11-21,1
2018-11-27,2
2018-11-28,1
2018-11-29,1
2018-12-07,1
2018-12-09,1
2018-12-11,1
2018-12-13,1
2018-12-15,1
2018-12-18,1
2019-01-15,6
2019-01-16,4
2019-01-17,1
2019-01-26,2
2019-01-30,2
2019-01-31,1
2019-02-11,3
2019-02-12,6
2019-02-14,1
2019-03-02,1
2019-03-05,1
2019-03-11,2
2019-03-12,2
2019-03-15,2
2019-03-17,1
2019-03-21,1
2019-03-25,2
2019-03-26,1
2019-03-27,1
2019-03-30,1
2019-04-10,2
2019-04-21,1
2019-04-24,1
2019-04-25,2
2019-05-10,1
2019-05-30,2
2019-05-31,1
2019-06-01,2
2019-06-11,1
2019-06-17,1
2019-06-28,1
2019-07-09,1
2019-07-10,1
2019-07-12,1
2019-07-14,2
2019-07-19,1
2019-07-30,1
2019-08-01,1
2019-08-06,1
2019-08-08,1
2019-08-09,2
2019-08-10,1
2019-08-12,1
2019-08-13,1
2019-08-14,2
2019-08-15,1
2019-08-16,1
2019-08-19,2
2019-08-20,4
2019-08-21,1
2019-08-24,1
2019-08-26,1
2019-08-29,2
2019-08-30,1
2019-08-31,2
2019-09-04,1
2019-10-01,1
2019-10-11,1
2019-10-12,1
2019-10-13,1
2019-10-15,2
