created_at,pull_requests
2018-05-04,2
2018-06-28,2
2019-03-02,1
2019-03-11,1
2019-03-31,1
2019-04-04,3
2019-04-05,1
2019-04-06,1
2019-04-08,1
2019-04-09,5
2019-04-10,5
2019-04-11,1
2019-04-12,1
2019-04-16,1
2019-04-19,1
2019-04-22,1
2019-04-24,1
2019-04-26,1
2019-04-29,1
2019-05-07,1
2019-06-03,1
2019-06-06,1
2019-06-10,6
2019-06-11,3
2019-06-12,1
2019-06-13,4
2019-06-14,1
2019-06-15,3
2019-06-17,3
2019-06-18,1
2019-06-19,2
2019-06-20,2
2019-06-23,2
2019-06-24,1
2019-06-25,1
2019-07-01,1
2019-07-03,1
2019-07-04,2
2019-07-08,1
2019-07-09,2
2019-07-11,2
2019-07-12,1
2019-07-13,2
2019-07-17,1
2019-07-19,2
2019-07-31,1
2019-08-10,1
2019-08-12,1
2019-08-27,2
2019-09-04,2
2019-09-05,1
2019-09-06,2
2019-09-08,1
2019-09-10,1
2019-09-11,1
2019-09-16,1
2019-09-24,1
2019-09-26,1
2019-09-29,2
2019-10-08,1
2019-10-28,1
2019-11-05,1
2019-12-20,1
2019-12-24,1
2019-12-29,2
2020-01-06,1
2020-01-07,1
2020-01-16,1
2020-01-21,1
2020-01-22,1
2020-01-25,1
2020-02-19,1
2020-02-20,1
2020-03-02,1
2020-03-10,1
2020-03-11,1
2020-03-16,1
2020-03-17,1
2020-03-19,3
2020-03-28,1
2020-03-29,1
2020-03-31,1
2020-04-05,1
2020-04-24,3
2020-04-27,1
2020-05-29,1
2020-06-03,1
2020-06-09,1
2020-06-10,1
2020-06-13,1
2020-06-16,2
2020-06-21,1
2020-06-22,3
2020-06-28,2
2020-07-04,1
2020-07-17,3
2020-07-18,1
2020-07-19,2
2020-07-21,1
2020-07-22,2
2020-07-23,2
2020-07-24,1
2020-07-25,3
2020-07-29,1
2020-07-30,1
2020-07-31,1
2020-08-04,1
2020-08-07,1
2020-08-14,1
2020-08-20,1
2020-08-21,1
2020-08-24,1
2020-08-28,2
2020-09-07,1
2020-09-11,1
2020-09-16,1
2020-09-17,1
2020-09-24,1
2020-09-26,1
2020-10-01,1
2020-10-15,1
2020-10-19,1
2020-10-23,1
2020-10-27,1
2020-11-05,5
2020-11-06,1
2020-11-09,1
2020-11-14,1
2020-11-18,1
2020-11-26,1
2020-11-28,2
2020-12-02,1
2020-12-05,1
2020-12-08,1
2020-12-10,1
2020-12-12,1
2020-12-15,1
2020-12-21,1
2020-12-24,1
2020-12-25,2
2020-12-28,1
2020-12-29,1
2020-12-30,1
2020-12-31,1
2021-01-05,1
2021-01-12,1
2021-01-16,1
2021-01-17,1
2021-01-19,1
2021-01-28,1
2021-01-30,1
2021-01-31,2
2021-02-01,1
