created_at,pull_requests
2012-04-23,3
2012-04-26,1
2012-04-27,1
2012-05-10,1
2012-05-15,1
2012-05-29,2
2012-06-07,1
2012-06-15,1
2012-06-20,1
2012-06-28,3
2012-07-07,1
2012-07-16,1
2012-08-13,1
2012-09-02,1
2012-09-08,1
2012-10-03,1
2012-10-09,1
2012-10-12,1
2012-10-16,1
2012-10-22,1
2012-11-03,1
2012-11-05,1
2012-11-09,2
2012-11-17,1
2012-11-19,1
2012-11-30,1
2012-12-03,1
2012-12-04,1
2012-12-12,1
2012-12-18,1
2013-01-04,1
2013-01-26,1
2013-02-08,1
2013-02-24,1
2013-02-26,1
2013-02-27,1
2013-03-03,1
2013-04-07,1
2013-04-09,1
2013-04-23,1
2013-04-24,1
2013-04-26,1
2013-05-10,1
2013-05-11,1
2013-06-03,1
2013-06-16,1
2013-07-03,1
2013-07-06,1
2013-07-15,1
2013-07-20,1
2013-08-03,1
2013-08-29,1
2013-09-19,1
2013-10-14,1
2013-10-15,1
2013-10-20,2
2013-10-23,1
2013-10-26,1
2013-10-28,1
2013-10-30,1
2013-11-03,2
2013-11-06,1
2013-11-13,1
2013-11-22,1
2013-11-27,1
2013-12-01,3
2013-12-02,1
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-11,1
2013-12-13,1
2013-12-14,1
2013-12-16,1
2013-12-19,2
2013-12-21,1
2014-01-11,1
2014-01-13,1
2014-01-14,1
2014-01-16,2
2014-01-22,1
2014-01-29,2
2014-02-09,1
2014-02-13,1
2014-02-17,1
2014-02-22,1
2014-03-01,1
2014-03-10,1
2014-03-21,1
2014-03-25,3
2014-03-31,1
2014-04-06,1
2014-04-09,1
2014-04-13,1
2014-04-19,1
2014-04-24,1
2014-04-29,1
2014-05-06,2
2014-05-07,1
2014-05-09,1
2014-05-10,1
2014-05-12,2
2014-05-15,1
2014-05-23,1
2014-05-28,1
2014-05-31,1
2014-06-01,1
2014-06-05,1
2014-06-10,1
2014-06-12,1
2014-06-13,1
2014-06-24,1
2014-06-25,1
2014-06-27,1
2014-06-30,1
2014-07-03,1
2014-07-08,1
2014-07-09,2
2014-07-11,2
2014-07-13,2
2014-07-14,3
2014-07-15,2
2014-07-16,2
2014-07-18,2
2014-08-12,1
2014-08-21,4
2014-08-22,1
2014-08-24,1
2014-09-01,1
2014-09-03,1
2014-09-19,1
2014-09-29,2
2014-10-03,1
