user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
NicolasBonduel,https://api.github.com/repos/anvilresearch/connect/pulls/375,https://api.github.com/repos/anvilresearch/connect/issues/375,open,2018-10-02,2018-10-02,,542f914364831ce83689ccfb4e471c0735917515
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/374,https://api.github.com/repos/anvilresearch/connect/issues/374,closed,2018-06-07,2018-10-26,2018-10-26,4dc195fe00a4d83300bee2822edcb431a81e18b1
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/373,https://api.github.com/repos/anvilresearch/connect/issues/373,closed,2018-04-26,2020-04-21,,526009311a141709427057204b14b268fcf008ff
tomkersten,https://api.github.com/repos/anvilresearch/connect/pulls/367,https://api.github.com/repos/anvilresearch/connect/issues/367,closed,2017-10-09,2018-09-26,,5dc6fe8a900c72138fae1de5f63c82072d9a9953
LegallyGeek,https://api.github.com/repos/anvilresearch/connect/pulls/365,https://api.github.com/repos/anvilresearch/connect/issues/365,closed,2017-08-25,2017-08-25,2017-08-25,41fa111b17362f74091e049bca0ad1e6d767ea48
cavyio,https://api.github.com/repos/anvilresearch/connect/pulls/360,https://api.github.com/repos/anvilresearch/connect/issues/360,open,2017-03-30,2017-03-30,,6be562e7ac30c57e631f6517af589713ca4c3173
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/356,https://api.github.com/repos/anvilresearch/connect/issues/356,closed,2016-10-27,2020-04-21,,1a77c156b742222c96c9ca21260d3ac76e218f44
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/355,https://api.github.com/repos/anvilresearch/connect/issues/355,closed,2016-10-27,2020-04-21,,c36c101015c41a23b85a23dff20e915a736c7669
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/354,https://api.github.com/repos/anvilresearch/connect/issues/354,closed,2016-10-19,2016-10-19,2016-10-19,9ed00d53283cd1ac0df1e653caf06cc6e5464073
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/353,https://api.github.com/repos/anvilresearch/connect/issues/353,closed,2016-10-17,2016-10-19,,04b7a5b344113c698be1192a8b1b86e1c793199a
camfou,https://api.github.com/repos/anvilresearch/connect/pulls/352,https://api.github.com/repos/anvilresearch/connect/issues/352,closed,2016-09-20,2016-10-17,2016-10-16,46b118c554b0a603cc531a88ff6f5842071e6c45
amokrushin,https://api.github.com/repos/anvilresearch/connect/pulls/350,https://api.github.com/repos/anvilresearch/connect/issues/350,closed,2016-09-11,2016-09-16,2016-09-16,747b625395e7232ec1c43a6fcdac241e2af6dc24
john-banks,https://api.github.com/repos/anvilresearch/connect/pulls/349,https://api.github.com/repos/anvilresearch/connect/issues/349,open,2016-08-17,2016-08-17,,e48b43b329098c07557d64a86fa2b0abfe6d8cd6
hedleysmith,https://api.github.com/repos/anvilresearch/connect/pulls/348,https://api.github.com/repos/anvilresearch/connect/issues/348,closed,2016-08-01,2016-10-19,2016-10-19,832c36423c26ec4dd1e459c66afd877d32accc76
