user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
NeonArray,https://api.github.com/repos/clonn/slack-node-sdk/pulls/46,https://api.github.com/repos/clonn/slack-node-sdk/issues/46,open,2017-12-08,2017-12-08,,8655bcd1e51a7d8b787e35365e1d171d949b8ee2
abetomo,https://api.github.com/repos/clonn/slack-node-sdk/pulls/45,https://api.github.com/repos/clonn/slack-node-sdk/issues/45,closed,2017-12-04,2017-12-05,,add6d5555c4b6914bd8a1d34f3138652cb9aaf83
abetomo,https://api.github.com/repos/clonn/slack-node-sdk/pulls/44,https://api.github.com/repos/clonn/slack-node-sdk/issues/44,closed,2017-11-16,2017-12-04,,f44c9827b0a9c42b77ebdfc2f9b7cbc9bb3d2c70
pdtyreus,https://api.github.com/repos/clonn/slack-node-sdk/pulls/41,https://api.github.com/repos/clonn/slack-node-sdk/issues/41,closed,2016-09-06,2016-09-07,2016-09-07,5f684c66acf4469b778114eea3714740bcd99033
bells17,https://api.github.com/repos/clonn/slack-node-sdk/pulls/40,https://api.github.com/repos/clonn/slack-node-sdk/issues/40,closed,2016-08-25,2020-04-08,,5ea0adaa9c20d3e612d8bb1bc8b5c99f950a6f4b
simonwillcock,https://api.github.com/repos/clonn/slack-node-sdk/pulls/34,https://api.github.com/repos/clonn/slack-node-sdk/issues/34,closed,2016-02-02,2016-02-15,,c2c0562a5f37b9a3baecdc0d7125d7d5b4261cd7
kevinburkeshyp,https://api.github.com/repos/clonn/slack-node-sdk/pulls/32,https://api.github.com/repos/clonn/slack-node-sdk/issues/32,closed,2015-12-15,2015-12-15,2015-12-15,3dc3d8b58f4db13bedead3f16f4129a89439c9d0
kevinburkeshyp,https://api.github.com/repos/clonn/slack-node-sdk/pulls/31,https://api.github.com/repos/clonn/slack-node-sdk/issues/31,closed,2015-12-10,2015-12-10,2015-12-10,48a992c0a86b8ccea8be79da5b406431a718f2d6
panbanda,https://api.github.com/repos/clonn/slack-node-sdk/pulls/30,https://api.github.com/repos/clonn/slack-node-sdk/issues/30,closed,2015-11-17,2016-02-15,,e39b313e892e4ad42241cc06a008b0ebc1ce3ed7
guyklainer,https://api.github.com/repos/clonn/slack-node-sdk/pulls/29,https://api.github.com/repos/clonn/slack-node-sdk/issues/29,closed,2015-11-16,2016-02-15,,5c49fe060ff893dc4ae17c6fed676c07a8442392
miiila,https://api.github.com/repos/clonn/slack-node-sdk/pulls/27,https://api.github.com/repos/clonn/slack-node-sdk/issues/27,closed,2015-09-21,2016-02-15,,2121944d1a944898f13517b458c48c3cb2a53490
kevinburkeshyp,https://api.github.com/repos/clonn/slack-node-sdk/pulls/21,https://api.github.com/repos/clonn/slack-node-sdk/issues/21,closed,2015-06-30,2015-07-13,2015-07-13,cff9eb9f8f23bce46547a9440e78afd9c680a76c
juanpabloaj,https://api.github.com/repos/clonn/slack-node-sdk/pulls/18,https://api.github.com/repos/clonn/slack-node-sdk/issues/18,closed,2015-06-11,2015-06-12,2015-06-11,b5acf601004e3bb406fe4746e3ef281fb50d0dda
timjrobinson,https://api.github.com/repos/clonn/slack-node-sdk/pulls/11,https://api.github.com/repos/clonn/slack-node-sdk/issues/11,closed,2015-03-16,2015-05-11,2015-05-10,b8f707255f230c83cab59e54f02d769b1abfb632
kumarharsh,https://api.github.com/repos/clonn/slack-node-sdk/pulls/8,https://api.github.com/repos/clonn/slack-node-sdk/issues/8,closed,2015-02-19,2015-02-19,2015-02-19,2b789e10b5536e5b1f1549ee095449d1c410f281
kumarharsh,https://api.github.com/repos/clonn/slack-node-sdk/pulls/7,https://api.github.com/repos/clonn/slack-node-sdk/issues/7,closed,2015-02-14,2015-02-19,2015-02-19,74fd3a08dddec2875a1c596cd84b8b283a8de01b
hanabokuro,https://api.github.com/repos/clonn/slack-node-sdk/pulls/6,https://api.github.com/repos/clonn/slack-node-sdk/issues/6,closed,2015-01-13,2015-01-20,2015-01-20,75c3227544e5588e4f5c5bcbe9bf8685cb29b2e0
juanpabloaj,https://api.github.com/repos/clonn/slack-node-sdk/pulls/5,https://api.github.com/repos/clonn/slack-node-sdk/issues/5,closed,2014-11-29,2014-12-15,2014-12-15,37bdf5b596db862c48deb6cfda2f98ca9673cb11
juanpabloaj,https://api.github.com/repos/clonn/slack-node-sdk/pulls/4,https://api.github.com/repos/clonn/slack-node-sdk/issues/4,closed,2014-11-29,2014-12-15,2014-12-15,b2985058dbb9bf68cb04a50fce4fc2abf4cd93b7
kmsheng,https://api.github.com/repos/clonn/slack-node-sdk/pulls/2,https://api.github.com/repos/clonn/slack-node-sdk/issues/2,closed,2014-10-03,2014-10-03,2014-10-03,445503b6082d26a4471e3a1005738f5263fbd9d3
meyskens,https://api.github.com/repos/clonn/slack-node-sdk/pulls/1,https://api.github.com/repos/clonn/slack-node-sdk/issues/1,closed,2014-07-16,2014-07-23,2014-07-23,563ad41ecf580bac24a37b38322ecd815b9ab374
