user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/357,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/357,closed,2024-01-31,2024-02-12,2024-02-12,0535f3451a62d99fddeb3548659b353177f32ba4
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/355,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/355,closed,2023-12-08,2024-02-12,2024-02-12,9346e59423ac1ced7f821868e126f5de0b427d56
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/354,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/354,open,2023-12-08,2024-03-03,,88f93cf85f79068fe64992e3c580c5065fe9a743
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/353,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/353,closed,2023-11-29,2024-02-12,2024-02-12,0b196caed8a0186dd70ea46f4a816793555444ae
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/352,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/352,closed,2023-11-29,2024-02-12,2024-02-12,4acaaa4b4ca17750e1b7c3a9e5bcdbce0d538b8a
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/350,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/350,closed,2023-10-19,2023-11-10,2023-11-10,229838f0447042b249bcd09441327057a568a7d4
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/349,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/349,closed,2023-10-09,2023-10-09,2023-10-09,afba5690b092b099a5ef35412a77325726890f46
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/348,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/348,closed,2023-09-14,2023-09-15,,4cd5902f825488cfd91665522eec9f766d6c0ecd
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/347,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/347,closed,2023-09-04,2023-10-09,2023-10-09,c7b2977a0e30d725f30c326dfa9409f226098e5d
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/346,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/346,closed,2023-08-22,2023-11-05,2023-11-05,b70914979e7f54e455adc88e19cc5d6db4f0a63c
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/345,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/345,closed,2023-08-17,2023-10-09,2023-10-09,7d9a5f7e6618b78962dc339fc49ab40f1b64aacd
hitarth-khatri,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/343,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/343,closed,2023-05-24,2023-10-30,,0b19a8f441579e283b36d9e0a93f6f3b07c0eb77
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/342,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/342,closed,2023-04-17,2023-10-24,,415dd03daa2d7e40a2e1577d42bfde63e7b0fbcb
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/341,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/341,closed,2023-04-17,2023-07-24,2023-07-24,6839160e99786486fd5984e973927b6be8b9e930
Neillbar,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/339,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/339,closed,2023-03-30,2023-07-09,,463451582d30f7f3cacd315b078de742e040c901
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/338,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/338,closed,2023-03-23,2023-03-24,2023-03-24,8dfcbae1bbeeb097336bb6d09dade080e86152c4
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/337,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/337,closed,2023-03-14,2023-03-15,2023-03-15,54dd8fa1e8a43b96485078f2c6662155b8bb86d4
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/336,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/336,closed,2023-03-14,2023-03-15,2023-03-15,794caf05b648a5ec1fabd3e582bc281472ed65d1
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/335,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/335,closed,2023-03-14,2023-03-15,2023-03-15,3ce48f4bfc8fd8ce84bcdb9ccc8cc0ad22f79fdd
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/334,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/334,closed,2023-03-14,2023-03-15,2023-03-15,66e75d16bd2ff6def488eac7e36b009992014405
renovate[bot],https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/pulls/333,https://api.github.com/repos/dooboolab-community/flutter_calendar_carousel/issues/333,closed,2023-03-14,2023-03-15,2023-03-15,903439267ecc581ea46dcd2723f4123803ffc488
