user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/264,https://api.github.com/repos/jama5262/jiffy/issues/264,closed,2024-02-21,2024-02-21,,e97faa4d6634acbd1b60f09c734a2a3ce3b4b936
BenderBlog,https://api.github.com/repos/jama5262/jiffy/pulls/263,https://api.github.com/repos/jama5262/jiffy/issues/263,open,2024-01-22,2024-01-22,,fc23d262cc8f3dde8d2d7acac86f680f3ce3afef
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/262,https://api.github.com/repos/jama5262/jiffy/issues/262,closed,2023-12-21,2023-12-21,2023-12-21,bd758c859ef134366c6f54a1bac27c14ee7e4201
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/261,https://api.github.com/repos/jama5262/jiffy/issues/261,closed,2023-12-21,2023-12-21,2023-12-21,841ea5eb7b81c26cec0b3b790f88aa1515608fb6
Thientran2910,https://api.github.com/repos/jama5262/jiffy/pulls/259,https://api.github.com/repos/jama5262/jiffy/issues/259,closed,2023-12-14,2023-12-21,2023-12-19,f8e985cd3dc5e14c73efde776cae51d2413b1515
dependabot[bot],https://api.github.com/repos/jama5262/jiffy/pulls/258,https://api.github.com/repos/jama5262/jiffy/issues/258,closed,2023-12-11,2023-12-19,,6b4ef5ddba7db9d3a878908d704eb28a66e54276
dependabot[bot],https://api.github.com/repos/jama5262/jiffy/pulls/253,https://api.github.com/repos/jama5262/jiffy/issues/253,closed,2023-10-23,2023-12-19,2023-12-19,b9faab804ad1c62b459730fe8ff1e6d12044d54d
K9i-0,https://api.github.com/repos/jama5262/jiffy/pulls/249,https://api.github.com/repos/jama5262/jiffy/issues/249,closed,2023-09-07,2023-09-08,2023-09-08,dcf680fe81beec3466ecf0e78777f4e3b4fc043d
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/246,https://api.github.com/repos/jama5262/jiffy/issues/246,closed,2023-06-11,2023-09-27,2023-06-11,41746137eb21bbc48d36170bafbbab1022dde5d7
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/244,https://api.github.com/repos/jama5262/jiffy/issues/244,closed,2023-06-11,2023-06-11,2023-06-11,d56b8d1ff8b309e77f4d715e8441d6995a35d0d2
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/240,https://api.github.com/repos/jama5262/jiffy/issues/240,closed,2023-06-03,2023-06-03,2023-06-03,00c0f02d9146e4130a1cebd843512b793f57328c
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/239,https://api.github.com/repos/jama5262/jiffy/issues/239,closed,2023-06-02,2023-06-02,2023-06-02,07d7b387043ee3e24efb77c4ec7039842afc0533
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/238,https://api.github.com/repos/jama5262/jiffy/issues/238,closed,2023-06-02,2023-06-02,2023-06-02,3593a29d7f8dffb0b262b9209d1783bd7e8ff2d8
Kuntheasoung,https://api.github.com/repos/jama5262/jiffy/pulls/235,https://api.github.com/repos/jama5262/jiffy/issues/235,closed,2023-05-30,2023-06-02,2023-06-02,c458e5bb11b2eb84631616da8eb52d29cf87743a
Kuntheasoung,https://api.github.com/repos/jama5262/jiffy/pulls/234,https://api.github.com/repos/jama5262/jiffy/issues/234,closed,2023-05-17,2023-06-02,2023-06-02,ca5ae1365ac0bd038c06c94c418c79d25cbf0740
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/233,https://api.github.com/repos/jama5262/jiffy/issues/233,closed,2023-05-13,2023-06-02,2023-06-02,fe8f37ff643f17ad95975f2f9a87d69ad0572d0a
tomaschyly,https://api.github.com/repos/jama5262/jiffy/pulls/230,https://api.github.com/repos/jama5262/jiffy/issues/230,closed,2023-05-02,2023-06-11,2023-06-11,5b3edb9be4ed7b91a9e92908da9fb09d4098fab1
bilalsammour,https://api.github.com/repos/jama5262/jiffy/pulls/229,https://api.github.com/repos/jama5262/jiffy/issues/229,closed,2023-04-24,2023-05-13,,5af3d64e67cf6fa3f1da198449990dac35b1955b
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/219,https://api.github.com/repos/jama5262/jiffy/issues/219,closed,2023-03-09,2023-03-09,2023-03-09,c23690f3f85c5b1e13de39ead6a809f596b53143
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/218,https://api.github.com/repos/jama5262/jiffy/issues/218,closed,2023-03-09,2023-03-09,2023-03-09,f17c6f3beeadd12d97c2d9e24ce68682f021a88a
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/217,https://api.github.com/repos/jama5262/jiffy/issues/217,closed,2023-03-09,2023-03-09,2023-03-09,1d597359c0b716324bfbf1f0d52ca77346fc831b
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/215,https://api.github.com/repos/jama5262/jiffy/issues/215,closed,2023-03-08,2023-03-08,2023-03-08,073a5f733be7e14ad620d3ae6336e0d41c9e852a
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/214,https://api.github.com/repos/jama5262/jiffy/issues/214,closed,2023-03-08,2023-03-08,2023-03-08,4c2f2ff2b072f6449b841bb89e67c5fd7c416122
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/213,https://api.github.com/repos/jama5262/jiffy/issues/213,closed,2023-03-08,2023-03-08,,6f5b115e6669980c2b12cca2c2fdad00e88ac5b3
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/212,https://api.github.com/repos/jama5262/jiffy/issues/212,closed,2023-03-08,2023-03-09,2023-03-08,2795028883787d9e4563d47dd2d986091bb73c31
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/211,https://api.github.com/repos/jama5262/jiffy/issues/211,closed,2023-03-08,2023-03-08,2023-03-08,8bf5879bfcfb91e60d49a14c069249223acf2f00
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/210,https://api.github.com/repos/jama5262/jiffy/issues/210,closed,2023-03-08,2023-03-08,2023-03-08,9db79c57747a736e55aad1d76de39a0c75b32852
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/209,https://api.github.com/repos/jama5262/jiffy/issues/209,closed,2023-03-08,2023-03-08,2023-03-08,eae97d53a0abd995dd2479f8487548ac2e1a05df
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/208,https://api.github.com/repos/jama5262/jiffy/issues/208,closed,2023-03-04,2023-03-04,2023-03-04,01f62bce37d73ff86ee5d879f8ec522ff7954c78
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/206,https://api.github.com/repos/jama5262/jiffy/issues/206,closed,2023-03-04,2023-03-04,2023-03-04,c0a5fa6583cfdb673996592b06cf5d452f3eae4f
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/204,https://api.github.com/repos/jama5262/jiffy/issues/204,closed,2023-03-02,2023-03-02,2023-03-02,1c500644a2f2a133c6d8440352c97f082548a24d
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/200,https://api.github.com/repos/jama5262/jiffy/issues/200,closed,2023-02-26,2023-03-02,2023-03-02,2f9851372cbed3f550f9c6a06113920ba4d33017
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/198,https://api.github.com/repos/jama5262/jiffy/issues/198,closed,2023-02-25,2023-02-25,2023-02-25,2f01cd2c46c4c6c3080a19a6a1cabb8339f0eb28
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/196,https://api.github.com/repos/jama5262/jiffy/issues/196,closed,2023-02-25,2023-02-25,2023-02-25,b309a4aefba995b78beee98fb57eafda9d089079
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/194,https://api.github.com/repos/jama5262/jiffy/issues/194,closed,2023-02-24,2023-02-24,2023-02-24,55665c2293cbab7cfb038896dd2fd4c8d0f690a2
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/193,https://api.github.com/repos/jama5262/jiffy/issues/193,closed,2023-02-22,2023-02-22,2023-02-22,2d5a4b336cb3a062cc840b18b1c31fb9f3e68698
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/191,https://api.github.com/repos/jama5262/jiffy/issues/191,closed,2023-02-18,2023-03-02,2023-02-18,ce20c0c3d58a6b38891465e150cf25c2fcbc37d9
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/189,https://api.github.com/repos/jama5262/jiffy/issues/189,closed,2023-02-18,2023-02-18,2023-02-18,9aa7ca9f464dfe868c99c6868146e5da47d25d84
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/186,https://api.github.com/repos/jama5262/jiffy/issues/186,closed,2023-02-15,2023-02-15,2023-02-15,cc88b2de7f905056d088bf9d860638d1b03e4587
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/184,https://api.github.com/repos/jama5262/jiffy/issues/184,closed,2023-02-14,2023-02-14,2023-02-14,d23e033879150fc279defc9effa77fcb69e168d1
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/183,https://api.github.com/repos/jama5262/jiffy/issues/183,closed,2023-02-04,2023-02-04,2023-02-04,79062fed29b8c88d26a2a2f959e84f9c8f33e298
jama5262,https://api.github.com/repos/jama5262/jiffy/pulls/181,https://api.github.com/repos/jama5262/jiffy/issues/181,closed,2023-01-21,2023-01-21,2023-01-21,b52800ce684504ea676c4aa73d08eba641f6ebb0
UrazbaevRasulD,https://api.github.com/repos/jama5262/jiffy/pulls/180,https://api.github.com/repos/jama5262/jiffy/issues/180,closed,2023-01-12,2023-03-09,,9cdd8cf8b7f057999f83b511117d78770fb66e7a
skylvsme,https://api.github.com/repos/jama5262/jiffy/pulls/178,https://api.github.com/repos/jama5262/jiffy/issues/178,closed,2023-01-05,2023-03-11,,7393c242fb67342a492d33593a648c3633e0f3b8
