user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
yeikel16,https://api.github.com/repos/joanpablo/reactive_forms/pulls/442,https://api.github.com/repos/joanpablo/reactive_forms/issues/442,open,2024-02-22,2024-02-22,,416bbcef64862850de75c32e076994744edb91b8
remonke,https://api.github.com/repos/joanpablo/reactive_forms/pulls/431,https://api.github.com/repos/joanpablo/reactive_forms/issues/431,open,2023-12-20,2024-02-08,,42110ef1cf327f2524c3c3736f69dc19dd58e32c
Ch4rl3B,https://api.github.com/repos/joanpablo/reactive_forms/pulls/426,https://api.github.com/repos/joanpablo/reactive_forms/issues/426,open,2023-11-29,2024-02-24,,44b0e7b7503b91a64d33cf26bff430b86200ec45
victorcatn,https://api.github.com/repos/joanpablo/reactive_forms/pulls/416,https://api.github.com/repos/joanpablo/reactive_forms/issues/416,closed,2023-10-03,2023-10-20,,8c2c9f4e9d68deb6b23777ac7bb3e8f9c6a07e8f
pumano,https://api.github.com/repos/joanpablo/reactive_forms/pulls/409,https://api.github.com/repos/joanpablo/reactive_forms/issues/409,closed,2023-08-13,2023-08-13,2023-08-13,59bf100df6a9809adfc5652e4878496d192442f7
Dionnie123,https://api.github.com/repos/joanpablo/reactive_forms/pulls/405,https://api.github.com/repos/joanpablo/reactive_forms/issues/405,closed,2023-07-22,2023-08-13,,1a107e62c5a26a1f8fa0cf2562770adfe5ccdedb
julek-kal,https://api.github.com/repos/joanpablo/reactive_forms/pulls/400,https://api.github.com/repos/joanpablo/reactive_forms/issues/400,closed,2023-07-11,2023-07-16,2023-07-16,bb1f66bbbbc24f4d535a6624e70b2214df8fee8d
ipcjs,https://api.github.com/repos/joanpablo/reactive_forms/pulls/396,https://api.github.com/repos/joanpablo/reactive_forms/issues/396,closed,2023-06-30,2023-11-15,2023-07-07,a60cd906d18f40cb3a0542e42f245a0de9f3da8f
victorcatn,https://api.github.com/repos/joanpablo/reactive_forms/pulls/395,https://api.github.com/repos/joanpablo/reactive_forms/issues/395,closed,2023-06-30,2023-07-16,2023-07-16,fb9281e4da98018c508454800c515911ceeb546c
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/394,https://api.github.com/repos/joanpablo/reactive_forms/issues/394,closed,2023-06-26,2023-07-16,2023-07-16,61e7a109ab473fbe0ab2d70510ce7c376efe26ad
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/393,https://api.github.com/repos/joanpablo/reactive_forms/issues/393,closed,2023-06-25,2023-06-26,,9ba5871bb7f19c3ae1a303d3bcbeb06ac3285e97
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/392,https://api.github.com/repos/joanpablo/reactive_forms/issues/392,closed,2023-06-24,2023-06-25,2023-06-25,7dea22c944f230554d4c1225497a88491b260546
Inventrohyder,https://api.github.com/repos/joanpablo/reactive_forms/pulls/389,https://api.github.com/repos/joanpablo/reactive_forms/issues/389,closed,2023-06-22,2023-06-26,2023-06-25,e6d03ea0885c47eb35cbcfa7233cb42c4639333d
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/385,https://api.github.com/repos/joanpablo/reactive_forms/issues/385,closed,2023-06-11,2023-06-24,,a5881a2ec4ff87b6b65a40aeb28d4dcba70fdcd3
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/384,https://api.github.com/repos/joanpablo/reactive_forms/issues/384,closed,2023-06-11,2023-06-11,,ce3f1478abe711209a878f6413be2f0e49b82e71
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/381,https://api.github.com/repos/joanpablo/reactive_forms/issues/381,closed,2023-05-26,2023-06-11,2023-06-10,5fd5f34e57dfb6bd606eb32c643c5da0c363fe00
laogao,https://api.github.com/repos/joanpablo/reactive_forms/pulls/380,https://api.github.com/repos/joanpablo/reactive_forms/issues/380,open,2023-05-11,2023-05-26,,4f87469bbc07203acb02580708f1f0c0e0914ad4
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/379,https://api.github.com/repos/joanpablo/reactive_forms/issues/379,closed,2023-05-09,2023-05-26,2023-05-25,2f7dba44afffa857c8caf14a4161537cc01c6f98
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/378,https://api.github.com/repos/joanpablo/reactive_forms/issues/378,closed,2023-05-09,2023-05-11,,bbb6bd956c3fb8bd4758745fed69486a22630d82
francipvb,https://api.github.com/repos/joanpablo/reactive_forms/pulls/376,https://api.github.com/repos/joanpablo/reactive_forms/issues/376,closed,2023-05-03,2023-05-26,,2d11c26387ad1c171249b3ca0eab27187ba61ef3
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/359,https://api.github.com/repos/joanpablo/reactive_forms/issues/359,closed,2023-03-02,2023-03-02,2023-03-02,94111a2e798708e1fefb70858c4fd16fa6278fcc
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/354,https://api.github.com/repos/joanpablo/reactive_forms/issues/354,closed,2023-02-08,2023-04-04,,b229fbeb3f5d29c66d1f0f0eaf4528406847a144
limenote135,https://api.github.com/repos/joanpablo/reactive_forms/pulls/352,https://api.github.com/repos/joanpablo/reactive_forms/issues/352,closed,2023-01-05,2023-01-23,2023-01-23,a0e8a720ebdaeab45cefd76cc3df744ac8b52a98
mohn93,https://api.github.com/repos/joanpablo/reactive_forms/pulls/341,https://api.github.com/repos/joanpablo/reactive_forms/issues/341,closed,2022-11-20,2023-03-02,2023-03-02,46d8d86e4dd7f61aec010febf3ba57645edea2db
sumitsharansatsangi,https://api.github.com/repos/joanpablo/reactive_forms/pulls/332,https://api.github.com/repos/joanpablo/reactive_forms/issues/332,closed,2022-10-04,2023-07-16,,c6655f957974dca515e1919f229290bd4eaec1db
deandreamatias,https://api.github.com/repos/joanpablo/reactive_forms/pulls/329,https://api.github.com/repos/joanpablo/reactive_forms/issues/329,open,2022-09-17,2023-03-02,,b69c7574f501b26a13df130db3c386b7a38c1350
deandreamatias,https://api.github.com/repos/joanpablo/reactive_forms/pulls/328,https://api.github.com/repos/joanpablo/reactive_forms/issues/328,closed,2022-09-17,2022-11-26,2022-11-26,beed170f59e2f222e62f34ea24ff0bc33749c3b4
deandreamatias,https://api.github.com/repos/joanpablo/reactive_forms/pulls/327,https://api.github.com/repos/joanpablo/reactive_forms/issues/327,open,2022-09-17,2022-09-17,,254d5817940eae4a7a3da60f629917fa77a4218f
AniGhalach,https://api.github.com/repos/joanpablo/reactive_forms/pulls/314,https://api.github.com/repos/joanpablo/reactive_forms/issues/314,closed,2022-07-14,2022-07-14,,83844298692312ea9d15c3d303f96459caae3232
ipcjs,https://api.github.com/repos/joanpablo/reactive_forms/pulls/309,https://api.github.com/repos/joanpablo/reactive_forms/issues/309,closed,2022-06-27,2023-07-22,,0e02413475103e9c949e29b12cad790deb438805
harsimranmaan,https://api.github.com/repos/joanpablo/reactive_forms/pulls/304,https://api.github.com/repos/joanpablo/reactive_forms/issues/304,closed,2022-06-20,2022-07-15,,ebc91842d474c7be38661fd5854053e89215fad2
joutvhu,https://api.github.com/repos/joanpablo/reactive_forms/pulls/302,https://api.github.com/repos/joanpablo/reactive_forms/issues/302,closed,2022-06-11,2022-06-12,,5696313868dbc71ce1f33ab363383eab1d92a87a
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/299,https://api.github.com/repos/joanpablo/reactive_forms/issues/299,closed,2022-06-05,2022-06-20,,12994e3b22b6a9b9e529347f9ddb4b85f154ea78
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/297,https://api.github.com/repos/joanpablo/reactive_forms/issues/297,closed,2022-06-04,2022-06-20,,38285836d7a3cef8ded7ddc1d1377d8932a4eef2
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/296,https://api.github.com/repos/joanpablo/reactive_forms/issues/296,closed,2022-06-04,2022-06-06,2022-06-06,23caf13deb3d5e79c1780bfdaf396524530daad0
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/295,https://api.github.com/repos/joanpablo/reactive_forms/issues/295,closed,2022-06-04,2022-06-06,2022-06-06,c06ce9e36b47206a27efbd6eab3578af27ad9f40
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/290,https://api.github.com/repos/joanpablo/reactive_forms/issues/290,closed,2022-05-23,2022-07-12,,e4a29ac7a5565d5330958e1748296d0067413b72
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/285,https://api.github.com/repos/joanpablo/reactive_forms/issues/285,closed,2022-05-19,2022-05-20,2022-05-20,37d4009f10e56a3b081e8d9e24969af5d8130fc4
mr7ssam,https://api.github.com/repos/joanpablo/reactive_forms/pulls/283,https://api.github.com/repos/joanpablo/reactive_forms/issues/283,open,2022-05-04,2023-05-30,,228d44a0335b19c1caeb095d4f20f10b4e34ebd3
jasonlaw,https://api.github.com/repos/joanpablo/reactive_forms/pulls/276,https://api.github.com/repos/joanpablo/reactive_forms/issues/276,closed,2022-03-04,2022-07-15,,88cc994dae548e94b95c687159afc1c70ff6c87b
jiankian,https://api.github.com/repos/joanpablo/reactive_forms/pulls/267,https://api.github.com/repos/joanpablo/reactive_forms/issues/267,closed,2022-02-13,2022-04-11,,6dbd793cdc553dd077a4bcb9f635e3771ca0d320
Jtplouffe,https://api.github.com/repos/joanpablo/reactive_forms/pulls/260,https://api.github.com/repos/joanpablo/reactive_forms/issues/260,closed,2022-01-06,2022-05-20,2022-05-20,ef9745f92102bd0f91f1b61f29e5848f64715efa
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/259,https://api.github.com/repos/joanpablo/reactive_forms/issues/259,closed,2021-12-26,2022-05-02,2022-05-02,b38f339fccbbf51853566085f8b9efa9ffa616ce
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/258,https://api.github.com/repos/joanpablo/reactive_forms/issues/258,closed,2021-12-25,2021-12-27,,bc4eea7fa15c87128e55de24c03b76b41f0403a0
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/256,https://api.github.com/repos/joanpablo/reactive_forms/issues/256,closed,2021-12-23,2022-04-11,2022-04-11,cf337a06ab4bc59d5bfe0b76ad93c0a7d5b0ef52
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/255,https://api.github.com/repos/joanpablo/reactive_forms/issues/255,closed,2021-12-23,2022-04-11,2022-04-11,9311a8e637b4ea7c1c4fd3ac20e49dcd04663391
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/254,https://api.github.com/repos/joanpablo/reactive_forms/issues/254,closed,2021-12-23,2022-04-11,2022-04-11,668982e4a3bf93493e31dac0b15d60d36ac4c9ff
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/253,https://api.github.com/repos/joanpablo/reactive_forms/issues/253,closed,2021-12-22,2021-12-27,,3162bb3b414d16cb29d5b0b143fa9503a1c58ca9
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/252,https://api.github.com/repos/joanpablo/reactive_forms/issues/252,closed,2021-12-22,2022-04-11,2022-04-11,09f63d5cf7d31aae52446d0f38889d1edbda021d
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/251,https://api.github.com/repos/joanpablo/reactive_forms/issues/251,closed,2021-12-22,2022-04-11,2022-04-11,46b2d11c108d82e57ac03ca4c4e1a1220ae07f0e
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/250,https://api.github.com/repos/joanpablo/reactive_forms/issues/250,closed,2021-12-22,2022-04-11,2022-04-11,3755bdbb63c7997f6531d82c548a12b0248c930f
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/247,https://api.github.com/repos/joanpablo/reactive_forms/issues/247,closed,2021-12-09,2021-12-19,2021-12-19,4c58dcad422ecd7f54bdf5eef437eae75f03b8ea
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/245,https://api.github.com/repos/joanpablo/reactive_forms/issues/245,closed,2021-12-03,2021-12-03,2021-12-03,ada8a3be55402d3e60842fe44838617dffcd9fdb
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/244,https://api.github.com/repos/joanpablo/reactive_forms/issues/244,closed,2021-12-03,2021-12-03,2021-12-03,5a69c4ff1398d832bbe0e49c2ad5cfbb2f7c2c6c
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/239,https://api.github.com/repos/joanpablo/reactive_forms/issues/239,closed,2021-11-18,2021-11-21,2021-11-21,0577fba266977150f1266f9eebb879391485ca2c
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/236,https://api.github.com/repos/joanpablo/reactive_forms/issues/236,closed,2021-11-12,2021-12-27,,2921573cfdab32c286bec9c63becac64da266e59
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/235,https://api.github.com/repos/joanpablo/reactive_forms/issues/235,closed,2021-11-10,2021-11-21,2021-11-21,ac7c9981e5f3798f310034db975fbb11d2609e37
bulwinkel,https://api.github.com/repos/joanpablo/reactive_forms/pulls/232,https://api.github.com/repos/joanpablo/reactive_forms/issues/232,closed,2021-11-03,2022-05-24,,34cd4f330d09ca950fc2c3af4a812a13a4f2745b
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/228,https://api.github.com/repos/joanpablo/reactive_forms/issues/228,closed,2021-10-28,2021-10-29,2021-10-29,424c1ebd7ec5024ac59c63f039df530b7c905b2d
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/213,https://api.github.com/repos/joanpablo/reactive_forms/issues/213,closed,2021-09-10,2021-12-19,,439fef3b551aa86a599c9d8940304c186ce42102
vasilich6107,https://api.github.com/repos/joanpablo/reactive_forms/pulls/197,https://api.github.com/repos/joanpablo/reactive_forms/issues/197,closed,2021-08-03,2021-08-07,2021-08-07,e6a8012cf26ed52c1ec44b8bf4ad0d6c554a73d3
