user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
OutdatedGuy,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/906,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/906,open,2023-12-20,2024-01-10,,c804919f1c07ac54875fddd9927f11e51c3884fd
657KB,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/890,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/890,closed,2023-11-07,2023-12-18,2023-12-17,422093e69eabd5403b16e62ca57ebd029aeabdc0
fdwl,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/873,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/873,closed,2023-10-09,2023-12-16,,
wrteam-vimal,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/870,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/870,closed,2023-10-09,2023-12-15,,e05afbe541fe74c15615d152c2df3097ddcb7501
gnunicorn,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/859,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/859,closed,2023-09-28,2023-12-01,,d4a95087098c404564574fdc86e1d491194469d4
ndusart,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/804,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/804,closed,2023-06-14,2023-08-08,2023-08-07,e3b748b625b82d2a8a9069d5f3164125c4808370
ElmarakbyDev,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/792,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/792,closed,2023-05-29,2023-05-29,,288ea5a41bc52bd7cdb41c6246adee1b8a9070d0
mbfakourii,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/786,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/786,closed,2023-05-23,2023-06-27,,bbacaa017f77bbc47e4c3c48b29140d0e6f3f3fc
rafaelsetragni,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/777,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/777,closed,2023-05-13,2023-05-13,2023-05-13,f737526c4a0d7c9449ae2a20e2316e92586d987d
rafaelsetragni,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/776,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/776,closed,2023-05-13,2023-05-13,2023-05-13,6e7f2daddc3a39f325749c002ab0b8d78a7fa04e
guyluz11,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/769,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/769,closed,2023-05-05,2023-05-06,,f2e058ed77f82dd3e8154d3aa3341f7e903ebc81
rafaelsetragni,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/768,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/768,closed,2023-05-05,2023-05-07,2023-05-05,f9995a872a932b5736ccde473daadf05e6c69426
rafaelsetragni,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/767,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/767,closed,2023-05-05,2023-05-05,2023-05-05,bb763d0b06bb2c49c2143e9b006277d3f5f2e3f6
guyluz11,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/763,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/763,closed,2023-04-27,2023-05-08,,d6439ace4ab458dc67417583df1e731050f3d8ec
samerkh,https://api.github.com/repos/rafaelsetragni/awesome_notifications/pulls/758,https://api.github.com/repos/rafaelsetragni/awesome_notifications/issues/758,closed,2023-04-15,2023-05-15,,3c3c9f7513efff3f6c50eb2ce475df694398c60d
