created_at,pull_requests
2021-01-18,1
2021-02-01,1
2021-03-16,1
2021-03-24,1
2021-03-31,1
2021-04-04,2
2021-04-05,1
2021-04-06,3
2021-04-07,2
2021-04-10,1
2021-04-12,1
2021-04-13,1
2021-04-14,1
2021-04-21,2
2021-06-05,1
2021-06-12,1
2021-06-15,1
2021-07-29,3
2021-07-30,2
2021-07-31,2
2021-08-01,1
2021-08-04,1
2021-08-08,1
2021-08-28,1
2021-09-02,1
2021-09-04,1
2021-09-18,1
2021-09-21,1
2021-09-22,1
2021-09-23,2
2021-09-26,1
2021-10-06,1
2021-10-28,1
2021-12-17,1
2022-01-25,1
2022-02-09,1
2022-02-18,1
2022-02-25,1
2022-03-17,1
2022-03-25,1
2022-05-26,1
2022-06-12,1
2022-06-13,1
2022-07-18,1
2022-07-20,1
2022-08-03,2
2022-08-13,1
2022-08-18,1
2022-08-21,1
2022-08-22,1
2022-08-25,1
2022-08-26,3
2022-09-13,6
2022-09-14,2
2022-09-15,2
2022-09-20,1
2022-09-27,2
2022-10-15,1
2022-10-21,1
2022-11-23,1
2023-01-16,1
2023-01-26,1
2023-02-01,1
2023-02-10,1
2023-02-12,1
2023-04-15,1
2023-05-13,1
2023-08-03,1
2023-12-12,1
2024-02-18,1
2024-02-22,1
