created_at,pull_requests
2014-06-04,1
2014-06-19,1
2014-09-04,1
2014-09-05,2
2014-11-30,1
2015-01-05,1
2015-02-05,1
2015-02-13,1
2015-02-24,1
2015-03-27,1
2015-04-06,1
2015-04-07,1
2015-04-08,2
2015-04-21,1
2015-04-23,1
2015-04-24,2
2015-04-28,1
2015-04-29,1
2015-05-29,1
2015-06-21,1
2015-06-28,2
2015-06-30,6
2015-07-06,1
2015-07-20,1
2015-07-29,3
2015-07-30,1
2015-08-07,1
2015-08-09,1
2015-08-11,1
2015-08-14,2
2015-08-16,1
2015-08-17,3
2015-08-18,2
2015-08-21,1
2015-08-23,4
2015-08-24,2
2015-08-27,3
2015-08-29,1
2015-08-30,1
2015-09-01,2
2015-09-02,3
2015-09-03,4
2015-09-04,1
2015-09-05,2
2015-09-06,4
2015-09-12,1
2015-09-13,1
2015-09-14,2
2015-09-17,3
2015-09-18,3
2015-09-19,1
2015-09-21,1
2015-09-22,1
2015-09-25,2
2015-10-05,1
2015-10-07,1
2015-10-09,1
2015-10-10,1
2015-10-13,3
2015-10-14,1
2015-10-17,1
2015-10-18,3
2015-10-19,1
2015-10-20,2
2015-10-21,1
2015-10-24,1
2015-10-26,1
2015-10-29,1
2015-10-30,1
2015-11-03,1
2015-11-09,1
2015-11-28,1
2015-12-15,2
2015-12-22,3
2015-12-23,1
2015-12-24,1
2016-02-11,1
2016-03-02,1
2016-03-03,1
2016-03-10,1
2016-03-21,1
2016-03-24,1
2016-04-05,1
2016-04-07,2
2016-05-12,1
2016-05-25,1
2016-05-26,1
2016-06-07,1
2016-06-14,1
2016-06-23,1
2016-07-23,1
2016-08-01,2
2016-08-17,1
2016-09-11,1
2016-09-20,1
2016-10-17,1
2016-10-19,1
2016-10-27,2
2017-03-30,1
2017-08-25,1
2017-10-09,1
2018-04-26,1
2018-06-07,1
2018-10-02,1
