created_at,pull_requests
2013-09-11,1
2013-09-12,1
2013-09-19,1
2013-09-23,1
2013-09-25,1
2013-10-23,2
2013-11-21,1
2013-12-16,1
2013-12-18,1
2014-02-20,1
2014-02-27,2
2014-02-28,1
2014-03-01,1
2014-03-02,3
2014-03-04,2
2014-03-05,1
2014-03-09,2
2014-03-11,1
2014-03-13,1
2014-03-17,1
2014-03-18,1
2014-03-25,1
2014-03-28,1
2014-04-02,1
2014-04-17,1
2014-04-28,1
2014-05-02,1
2014-05-28,1
2014-05-31,2
2014-06-01,3
2014-06-10,1
2014-07-02,1
2014-07-05,1
2014-07-25,1
2014-08-16,1
2014-08-20,1
2014-09-17,1
2014-09-30,2
2014-10-11,1
2014-10-20,1
2014-10-27,1
2014-11-03,1
2014-11-11,2
2014-11-21,1
2014-12-23,1
2015-01-06,2
2015-01-07,1
2015-01-08,2
2015-01-09,2
2015-01-12,2
2015-01-21,2
2015-01-29,1
2015-01-30,1
2015-02-05,2
2015-02-06,4
2015-03-02,1
2015-03-03,1
2015-03-05,1
2015-03-11,1
2015-03-13,1
2015-03-22,1
2015-03-25,1
2015-03-27,1
2015-04-02,3
2015-04-03,2
2015-04-04,1
2015-04-14,1
2015-04-15,2
2015-04-16,1
2015-04-22,2
2015-04-25,2
2015-04-28,1
2015-04-29,2
2015-04-30,1
2015-05-05,1
2015-05-06,1
2015-05-07,1
2015-05-09,1
2015-05-19,2
2015-05-20,1
2015-05-21,1
2015-05-26,1
2015-05-27,1
2015-06-01,1
2015-06-04,1
2015-06-09,1
2015-06-10,2
2015-06-11,1
2015-06-25,1
2015-06-29,1
2015-07-01,2
2015-07-03,1
2015-07-05,1
2015-07-06,2
2015-07-07,2
2015-07-10,1
2015-07-15,1
2015-07-18,1
2015-07-29,1
2015-07-31,2
2015-08-07,2
2015-08-14,1
2015-08-17,1
2015-08-19,1
2015-08-24,1
2015-09-05,1
2015-09-20,2
2015-09-21,2
2015-09-23,1
2015-09-25,1
2015-09-29,2
2015-10-03,2
2015-10-04,1
2015-10-05,1
2015-10-08,1
2015-10-09,2
2015-10-17,2
2015-10-25,1
2015-10-31,1
2015-11-09,1
2015-11-15,1
2015-11-26,1
2015-12-23,2
2016-01-05,1
2016-01-07,1
2016-02-11,1
2016-02-21,1
2016-03-03,1
2016-03-13,3
2016-03-17,1
2016-03-22,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-20,1
2016-04-21,1
2016-04-28,1
2016-05-11,1
2016-05-15,1
2016-05-16,1
2016-05-21,1
2016-05-30,1
2016-06-01,1
2016-06-21,1
2016-06-23,1
2016-06-24,1
2016-06-25,1
2016-06-30,1
2016-07-06,1
2016-07-09,1
2016-07-23,1
2016-07-26,1
2016-07-29,1
2016-08-10,1
2016-08-17,1
2016-08-21,1
2016-09-06,1
2016-09-12,1
2016-09-14,2
2016-09-16,1
2016-09-20,1
2016-09-21,1
2016-09-23,2
2016-10-07,1
2016-10-12,1
2016-10-14,1
2016-10-23,1
2016-10-28,1
2016-11-10,1
2016-12-07,2
2016-12-08,2
2016-12-09,2
2016-12-13,1
2016-12-16,2
2016-12-22,1
2016-12-26,1
2017-01-12,1
2017-01-20,1
2017-01-23,1
2017-02-16,1
2017-02-23,1
2017-02-25,1
2017-02-27,1
2017-03-10,1
2017-03-15,1
2017-03-28,1
2017-04-26,1
2017-05-15,1
2017-05-17,1
2017-05-24,1
2017-06-01,1
2017-06-29,1
2017-07-10,1
2017-07-14,2
2017-08-04,3
2017-08-06,1
2017-08-07,2
2017-08-11,1
2017-08-15,1
2017-08-16,1
2017-09-06,1
2017-09-07,1
2017-09-08,1
2017-09-14,1
2017-09-16,1
2017-09-20,1
2017-09-25,1
2017-10-03,1
2017-10-04,1
2017-10-06,2
2017-10-10,1
2017-10-17,1
2017-10-28,1
2017-10-29,1
2017-10-31,1
2017-11-28,1
2017-12-08,1
2017-12-11,4
2017-12-27,1
2017-12-29,1
2018-01-03,3
2018-01-08,1
2018-01-12,1
2018-01-19,1
2018-01-24,1
2018-01-28,1
2018-02-12,1
2018-02-22,1
2018-03-04,1
2018-04-02,1
2018-04-24,1
2018-05-04,1
2018-07-02,1
2018-07-10,1
2018-08-18,1
2018-09-08,1
2018-09-25,1
2018-10-02,1
2018-10-10,1
2018-10-18,1
2018-10-25,1
2018-11-03,1
2018-11-20,1
2018-11-27,1
2018-12-03,1
2019-01-23,2
2019-01-24,1
2019-01-31,2
2019-02-01,2
2019-02-14,1
2019-02-18,1
2019-02-21,3
2019-02-27,1
2019-04-08,1
2019-04-10,1
2019-05-02,1
2019-05-09,1
2019-05-24,1
2019-10-28,1
2020-02-20,1
2020-03-06,1
2020-03-15,1
2020-03-26,2
2020-04-28,1
2020-07-21,1
2020-08-28,1
2020-09-04,1
2020-09-23,1
2020-09-30,1
2020-12-31,2
2021-02-08,1
2021-02-12,1
2021-02-26,1
2021-03-30,1
2021-04-07,1
2021-04-26,1
2021-05-09,1
2021-08-10,1
2021-10-03,1
2021-12-02,1
2022-01-15,2
2022-01-29,1
2022-02-08,1
2022-04-13,1
2022-09-26,1
2022-11-01,1
2022-12-08,1
