created_at,pull_requests
2018-09-13,1
2018-09-28,1
2018-10-06,1
2018-11-10,1
2018-11-11,2
2018-11-15,1
2018-11-18,1
2018-12-03,1
2018-12-05,1
2018-12-13,1
2018-12-14,1
2018-12-16,2
2018-12-18,1
2018-12-20,2
2018-12-25,1
2018-12-27,1
2019-01-02,1
2019-01-04,1
2019-01-09,1
2019-01-21,1
2019-01-29,1
2019-02-14,1
2019-02-19,1
2019-02-20,1
2019-02-27,1
2019-03-09,1
2019-03-11,1
2019-03-19,1
2019-03-29,1
2019-04-18,1
2019-05-20,1
2019-06-19,1
2019-07-08,1
2019-07-27,1
2019-07-30,1
2019-09-10,1
2019-09-14,2
2019-09-16,1
2019-09-17,2
2019-09-22,1
2019-09-23,1
2019-10-12,2
2019-10-14,2
2019-10-15,1
2019-11-01,2
2019-11-03,1
2019-11-05,2
2019-11-07,1
2019-11-08,1
2019-11-13,1
2019-11-14,1
2019-11-25,1
2019-12-05,1
2020-02-13,1
2020-06-13,1
2020-06-24,2
2020-07-13,1
2020-07-15,1
2020-08-06,1
2020-08-07,1
2020-08-14,1
2020-08-20,1
2020-10-04,1
2020-10-15,1
2020-10-26,1
2020-12-13,1
2020-12-14,1
2020-12-17,1
2021-01-14,1
2021-03-06,1
2021-03-14,1
2021-04-07,1
2021-07-27,1
2021-08-03,1
2021-09-03,1
2021-09-13,1
2021-11-14,2
2022-05-13,1
2022-06-23,1
2022-06-25,1
2022-07-01,2
2022-07-07,1
2023-03-11,1
2023-03-14,12
2023-03-23,1
2023-03-30,1
2023-04-17,2
2023-05-24,1
2023-08-17,1
2023-08-22,1
2023-09-04,1
2023-09-14,1
2023-10-09,1
2023-10-19,1
2023-11-29,2
2023-12-08,2
2024-01-31,1
