created_at,pull_requests
2019-01-23,1
2019-01-27,1
2019-02-21,1
2019-02-25,1
2019-02-26,1
2019-03-02,1
2019-05-18,1
2019-05-24,1
2019-05-29,1
2019-07-13,1
2019-08-04,1
2019-08-08,1
2019-08-22,1
2019-08-26,2
2019-09-27,1
2019-10-31,1
2019-11-17,1
2019-11-20,1
2019-11-24,1
2019-12-09,1
2020-01-08,1
2020-01-19,1
2020-02-10,3
2020-05-05,2
2020-05-29,2
2020-07-10,1
2020-07-25,2
2020-08-23,1
2020-09-08,1
2020-09-09,1
2020-09-17,1
2020-09-27,1
2020-09-29,1
2020-12-19,1
2020-12-23,1
2021-01-13,2
2021-02-06,1
2021-02-08,1
2021-02-17,2
2021-02-18,1
2021-02-21,1
2021-02-22,1
2021-05-19,1
2021-05-20,1
2021-06-14,4
2021-09-22,1
2022-01-28,1
2022-03-01,1
2022-03-13,1
2022-04-05,1
2022-05-25,1
2022-07-28,1
2022-08-03,1
2022-08-18,1
2022-08-19,3
2022-10-08,1
2022-10-10,1
2022-10-17,1
2023-06-02,1
2023-07-11,1
2023-10-14,1
2023-10-26,1
2023-12-11,1
