created_at,pull_requests
2012-09-04,1
2012-10-09,1
2012-10-10,1
2013-03-28,1
2013-03-29,1
2013-04-10,1
2013-04-16,1
2013-04-21,1
2013-04-27,1
2013-05-01,1
2013-05-13,1
2013-07-05,1
2013-07-08,1
2013-07-17,1
2013-07-18,1
2013-09-20,1
2013-11-25,1
2014-05-23,1
2014-05-26,1
2014-07-16,1
2014-07-18,2
2014-10-08,1
2015-01-15,1
2015-01-25,1
2015-01-26,1
2015-04-17,2
2015-05-13,1
2015-05-14,1
2015-05-21,1
2015-08-08,1
2015-11-22,1
2015-12-10,1
2016-01-04,1
2016-05-16,1
2016-07-02,1
2016-07-21,1
2016-11-19,1
2016-12-09,1
2017-03-09,1
2017-04-05,1
2017-10-02,2
2019-04-22,1
2020-06-28,1
2020-07-17,1
2020-09-11,1
2021-03-30,1
2021-05-10,1
2022-02-12,1
2022-04-09,1
2022-07-07,1
2022-12-09,1
2022-12-30,1
