created_at,pull_requests
2013-10-31,1
2014-08-29,2
2014-10-18,1
2015-08-30,1
2015-09-19,1
2015-10-22,3
2015-10-23,1
2015-10-27,2
2015-11-09,1
2015-11-12,1
2015-11-13,1
2015-11-16,1
2015-11-21,1
2016-01-04,1
2016-01-05,1
2016-01-26,1
2016-01-28,1
2016-02-04,1
2016-02-12,1
2016-02-15,1
2016-02-16,2
2016-02-19,1
2016-02-21,1
2016-03-03,1
2016-03-04,5
2016-03-12,1
2016-03-17,1
2016-03-21,1
2016-03-23,1
2016-04-02,1
2016-04-05,1
2016-05-02,1
2016-05-03,4
2016-05-04,5
2016-06-02,1
2016-06-26,1
2016-07-18,1
2016-07-19,1
2016-08-18,1
2016-09-25,1
2016-10-19,1
2017-02-14,1
2017-05-12,2
2017-06-20,1
2017-06-23,1
2017-09-28,1
2017-10-02,1
2017-10-31,1
2017-12-21,1
2018-02-06,1
2018-05-07,1
2018-08-11,7
2018-08-15,1
2018-09-05,2
2018-09-07,1
2018-09-10,1
2018-09-11,1
2018-10-15,1
2018-10-22,1
2018-10-24,1
2018-10-26,1
2018-11-02,1
2018-11-07,1
2018-11-15,1
2018-11-19,1
2018-11-26,1
2018-12-03,1
2018-12-12,1
2018-12-13,1
2018-12-18,1
2018-12-24,1
2018-12-28,1
2019-02-25,1
2019-03-17,1
2019-03-19,1
2019-03-22,1
2019-03-25,1
2019-04-02,1
2019-04-04,1
2019-04-10,1
2019-04-11,1
2019-04-16,1
2019-04-25,1
2019-05-24,2
2019-06-06,1
2019-06-17,1
2019-06-24,1
2019-07-12,1
2019-07-15,2
2019-07-26,1
2019-08-01,1
2019-08-07,1
2019-08-12,1
2019-08-14,1
2019-08-21,1
2019-08-28,1
2019-09-23,1
2019-10-11,1
2019-10-17,1
2019-10-21,1
2019-10-22,1
2019-11-18,1
2019-11-21,1
2019-11-27,1
2020-01-02,1
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-02-11,1
2020-03-19,3
2020-03-20,1
2020-04-07,2
2020-04-15,3
2020-04-22,1
2020-04-24,1
2020-04-28,1
2020-05-01,1
2020-05-28,2
2020-06-02,1
2020-06-22,1
2020-07-06,1
2020-07-08,1
2020-07-20,1
2020-07-23,1
2020-07-28,1
2020-08-12,1
2020-08-13,1
2020-08-19,1
2020-09-05,1
2020-09-10,6
2020-09-15,1
2020-09-17,1
2020-09-28,1
2020-10-05,1
2020-10-21,2
2020-10-30,1
2020-11-02,1
2020-11-03,1
2020-11-30,1
2020-12-10,1
2020-12-14,1
2021-01-21,1
2021-01-25,1
2021-02-15,1
2021-03-18,1
2021-03-19,1
2021-03-20,1
2021-03-26,1
2021-03-30,1
2021-03-31,1
2021-04-12,1
2021-04-23,1
2021-05-09,1
2021-05-12,1
2021-05-14,1
2021-05-25,1
2021-05-28,1
2021-06-02,1
2021-06-03,1
2021-06-14,1
2021-06-29,1
2021-07-02,1
2021-08-12,1
2021-08-23,1
2021-10-08,1
2021-10-14,1
2021-10-21,1
2021-10-25,1
2021-10-26,1
2021-11-02,2
2021-11-08,1
2021-11-17,1
2021-12-02,1
2022-01-03,1
2022-01-10,1
2022-01-13,3
2022-01-21,1
2022-01-25,1
2022-02-01,1
2022-02-03,1
2022-02-07,2
2022-02-10,1
2022-02-11,1
2022-02-22,1
2022-03-01,1
2022-03-10,1
2022-03-21,1
2022-03-28,1
2022-03-30,1
2022-04-04,1
2022-04-11,1
2022-04-12,2
2022-04-13,2
2022-04-18,2
2022-04-20,2
2022-05-10,1
2022-05-11,1
2022-05-13,2
2022-06-10,1
2022-06-14,1
2022-06-16,1
2022-06-22,1
2022-07-25,1
2022-09-05,1
2022-09-20,1
2022-10-31,1
2022-11-09,1
2022-11-22,1
2022-12-02,1
2022-12-07,1
2023-01-27,1
2023-01-30,1
2023-02-01,1
2023-03-16,1
2023-04-21,1
2023-04-24,1
2023-05-01,1
2023-05-03,1
2023-05-15,1
2023-06-06,1
2023-06-12,1
2023-07-24,1
2023-08-10,1
2023-08-25,1
2023-10-16,1
2023-10-19,1
2024-01-09,1
2024-02-09,1
2024-02-26,1
2024-03-04,1
