created_at,pull_requests
2014-01-08,1
2014-03-16,1
2014-03-17,2
2014-03-24,1
2014-03-25,1
2014-03-26,1
2014-03-27,1
2014-03-31,1
2014-04-01,1
2014-04-11,1
2014-04-22,1
2014-04-25,1
2014-06-05,2
2014-06-13,2
2014-06-17,1
2014-08-06,1
2014-08-07,1
2014-08-11,3
2014-08-12,1
2014-11-10,1
2014-11-11,2
2014-11-18,1
2015-01-06,1
2015-01-09,2
2015-01-23,1
2015-02-05,1
2015-02-13,2
2015-02-15,2
2015-02-17,1
2015-03-08,2
2015-03-12,1
2015-03-15,1
2015-03-28,2
2015-04-28,1
2015-05-04,2
2015-05-05,1
2015-05-24,2
2015-06-05,1
2015-06-07,2
2015-06-09,1
2015-06-11,1
2015-06-27,1
2015-09-25,1
2015-09-29,1
2015-10-21,1
2015-10-31,1
2015-11-25,1
2015-12-02,1
2015-12-10,1
2015-12-11,2
2015-12-20,1
2015-12-23,1
2016-01-07,1
2016-01-12,3
2016-01-13,1
2016-01-14,1
2016-01-15,1
2016-01-19,1
2016-01-26,1
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-02-01,1
2016-02-02,1
2016-02-03,1
2016-02-07,1
2016-02-08,3
2016-02-10,1
2016-02-12,1
2016-02-16,1
2016-02-17,2
2016-02-21,1
2016-02-22,1
2016-03-02,2
2016-03-05,2
2016-03-25,1
2016-03-31,1
2016-04-04,2
2016-04-05,2
2016-04-06,1
2016-04-08,1
2016-04-11,1
2016-04-13,1
2016-04-14,1
2016-05-02,2
2016-05-04,1
2016-05-18,1
2016-05-23,4
2016-05-24,1
2016-05-25,1
2016-06-03,1
2016-06-13,1
2016-06-14,2
2016-06-15,1
2016-06-16,1
2016-06-19,1
2016-06-20,1
2016-06-21,1
2016-06-22,1
2016-06-23,1
2016-06-28,1
2016-07-03,1
2016-07-12,2
2016-07-14,1
2016-08-01,1
2016-08-04,1
2016-08-08,1
2016-08-11,1
2016-08-12,1
2016-08-13,1
2016-09-01,1
2016-09-06,1
2016-09-07,2
2016-09-18,1
2016-09-24,1
2016-09-27,1
2016-09-29,1
2016-09-30,2
2016-10-03,1
2016-10-07,1
2016-10-10,1
2016-10-11,1
2016-10-20,1
2016-10-25,1
2016-10-31,1
2016-11-01,2
2016-11-02,2
2016-11-03,2
2016-11-04,1
2016-11-05,1
2016-11-06,2
2016-11-11,1
2016-11-12,1
2016-11-13,2
2016-11-14,1
2016-11-15,2
2016-11-16,2
2016-11-17,3
2016-12-03,1
2016-12-05,2
2016-12-10,1
2016-12-13,1
2016-12-20,1
2017-01-07,1
2017-01-23,1
2017-01-25,1
2017-01-26,1
2017-01-30,2
2017-02-04,1
2017-02-07,1
2017-02-10,1
2017-02-14,1
2017-02-19,1
2017-02-22,1
2017-02-23,1
2017-02-24,1
2017-02-28,2
2017-03-01,3
2017-03-02,1
2017-03-08,1
2017-03-10,2
2017-03-13,1
2017-03-14,1
2017-03-15,1
2017-03-22,1
2017-03-24,1
2017-03-28,1
2017-03-30,2
2017-04-01,1
2017-04-04,1
2017-04-12,1
2017-04-15,2
2017-04-20,1
2017-04-25,1
2017-04-29,1
2017-05-02,1
2017-05-06,2
2017-05-07,1
2017-05-08,3
2017-05-10,1
2017-05-11,1
2017-05-14,1
2017-05-15,1
2017-05-16,2
2017-05-18,1
2017-05-19,1
2017-05-20,1
2017-05-23,1
2017-05-26,1
2017-05-27,1
2017-05-29,1
2017-05-31,2
2018-02-12,2
2019-01-15,1
2019-04-23,1
2019-11-06,6
2019-12-28,1
2020-04-05,1
2020-09-04,3
2020-09-05,1
2020-11-25,1
2020-12-04,1
2020-12-11,1
2021-03-03,1
2021-03-30,1
2021-05-07,1
2021-08-04,1
2021-08-11,1
2022-01-15,1
2022-02-10,1
2022-06-23,1
2022-12-06,1
