created_at,pull_requests
2019-01-26,3
2019-01-31,3
2019-02-01,2
2019-02-02,1
2019-02-05,1
2019-02-07,4
2019-02-08,3
2019-02-10,3
2019-02-11,3
2019-02-14,1
2019-02-15,3
2019-02-16,3
2019-02-17,1
2019-02-20,1
2019-02-23,1
2019-02-24,1
2019-02-27,4
2019-03-01,7
2019-03-03,2
2019-03-04,2
2019-03-06,2
2019-03-09,5
2019-03-10,2
2019-03-11,1
2019-03-12,1
2019-03-27,1
2019-03-28,1
2019-03-29,1
2019-03-30,1
2019-04-01,1
2019-04-02,1
2019-04-03,3
2019-04-04,1
2019-04-06,2
2019-04-08,1
2019-04-14,4
2019-04-29,3
2019-05-04,2
2019-05-05,1
2019-05-13,2
2019-05-17,3
2019-05-19,1
2019-05-24,1
2019-06-16,1
2019-06-17,2
2019-06-23,2
2019-07-01,1
2019-07-05,1
2019-08-20,1
2019-08-25,1
2019-08-27,2
2019-08-28,1
2019-09-01,1
2019-09-02,1
2019-09-11,2
2019-09-14,1
2019-09-17,1
2019-09-25,1
2019-10-03,1
2019-10-04,1
2019-10-06,1
2019-10-08,1
2019-10-25,1
2019-11-04,1
2019-11-07,2
2020-01-17,1
2020-01-19,1
2020-01-21,2
2020-01-24,7
2020-01-25,5
2020-01-26,2
2020-01-31,1
2020-02-01,1
2020-02-13,1
2020-02-15,1
2020-02-21,2
2020-02-23,1
2020-02-28,1
2020-03-07,1
2020-03-08,1
2020-03-11,1
2020-03-13,2
2020-03-14,2
2020-03-15,3
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-28,3
2020-04-03,3
2020-04-06,1
2020-04-10,2
2020-04-17,1
2020-04-19,1
2020-04-21,1
2020-05-01,1
2020-05-05,2
2020-05-08,2
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-15,3
2020-05-16,1
2020-05-23,3
2020-05-24,1
2020-05-26,1
2020-05-27,3
2020-06-01,1
2020-06-02,1
2020-06-03,1
2020-06-14,1
2020-06-15,1
2020-06-24,1
2020-07-20,2
2020-07-25,1
2020-10-11,1
2020-10-14,1
2020-10-15,2
2020-10-16,3
2020-10-18,2
2020-10-20,1
2020-11-20,4
2020-11-21,2
2020-11-22,1
2020-12-09,3
2020-12-19,2
2020-12-20,2
2020-12-21,2
2020-12-22,1
2020-12-23,3
2020-12-26,1
2021-01-01,3
2021-01-02,2
2021-01-05,2
2021-01-07,1
2021-01-17,2
2021-01-21,1
2021-01-22,1
2021-02-26,1
2021-02-27,2
2021-03-04,1
2021-03-08,1
2021-03-14,1
2021-03-17,2
2021-03-18,1
2021-03-20,1
2021-03-27,2
2021-04-09,1
2021-04-14,2
2021-04-18,2
2021-04-20,1
2021-04-22,1
2021-04-23,1
2021-04-27,3
2021-05-01,3
2021-05-02,1
2021-05-19,1
2021-06-07,1
2021-09-12,3
2021-09-14,1
2021-10-13,1
2022-01-18,1
2022-01-19,1
2022-02-07,1
2022-05-29,1
2022-06-11,1
2022-06-15,1
2022-06-16,1
2022-06-17,1
2022-06-23,1
2022-06-28,1
2022-07-19,1
2022-07-27,1
2022-08-04,1
2022-08-14,1
2022-08-17,1
2022-11-09,1
2022-11-28,1
2022-12-22,1
2022-12-23,1
2022-12-24,1
2023-01-27,1
2023-02-11,1
2023-02-12,1
2023-03-04,1
2023-05-11,1
2023-07-03,1
2023-09-19,1
2023-10-30,1
2024-02-27,1
2024-02-29,1
