created_at,pull_requests
2022-06-03,1
2022-06-04,1
2022-06-07,1
2022-06-08,1
2022-06-19,1
2022-06-25,1
2022-07-14,2
2022-07-15,1
2022-07-17,1
2022-07-19,1
2022-08-01,1
2022-08-06,1
2022-09-23,1
2022-09-26,1
2022-10-24,2
2023-02-01,1
2023-04-01,1
2023-04-02,1
2023-04-04,3
2023-04-05,3
2023-04-09,1
2023-04-10,2
2023-04-11,2
2023-04-17,1
2023-04-18,1
2023-04-26,1
2023-05-05,1
2023-05-23,1
2023-05-24,1
2023-05-27,1
2023-07-25,3
2023-08-01,3
2023-08-02,1
2023-08-04,1
2023-08-08,2
2023-08-09,1
2023-08-10,1
2023-08-24,1
2023-08-26,1
2023-08-28,2
2023-09-11,2
2023-09-18,1
2023-09-27,2
2023-10-04,1
2023-10-17,1
2023-10-31,1
2023-11-01,1
2023-11-08,1
2023-11-10,1
2023-11-14,1
2023-11-19,1
2023-11-27,1
2024-01-06,2
2024-01-08,1
2024-01-11,1
2024-01-13,1
2024-01-14,3
2024-01-18,1
2024-01-21,1
2024-01-22,2
2024-01-24,1
2024-01-31,1
2024-02-07,1
2024-02-08,2
2024-02-11,1
2024-02-18,1
