created_at,pull_requests
2018-01-24,1
2019-02-08,1
2019-02-11,1
2019-02-26,1
2019-03-07,1
2019-03-11,1
2019-07-17,1
2019-07-18,2
2019-07-28,3
2019-08-26,2
2019-09-25,1
2019-09-30,1
2019-10-04,1
2019-10-28,1
2019-10-31,1
2019-12-06,1
2019-12-25,1
2019-12-26,1
2019-12-30,1
2020-01-06,1
2020-01-28,1
2020-02-09,1
2020-02-14,4
2020-02-15,1
2020-02-20,2
2020-02-27,1
2020-02-28,1
2020-03-01,1
2020-03-05,1
2020-03-26,1
2020-03-29,2
2020-03-31,2
2020-04-27,1
2020-05-11,1
2020-05-13,2
2020-05-22,1
2020-06-07,2
2020-06-10,1
2020-06-19,1
2020-07-02,1
2020-07-05,1
2020-07-07,2
2020-07-15,1
2020-08-06,1
2020-08-20,1
2020-09-25,1
2020-11-11,1
2020-12-17,2
2021-01-28,1
2021-03-03,1
2021-04-10,2
2021-04-12,1
2021-04-25,1
2021-05-23,1
2021-05-25,1
2021-05-31,1
2021-06-01,4
2021-06-02,1
2021-06-07,1
2021-06-15,1
2021-07-26,1
2021-08-05,1
2021-09-13,1
2021-09-19,1
2021-09-26,1
2021-10-06,1
2021-10-11,1
2021-11-28,1
2021-12-09,1
2022-01-21,1
2022-01-31,1
2022-02-26,1
2022-03-27,1
2022-06-11,1
2022-08-24,1
2022-08-27,1
2022-08-28,1
2022-09-21,1
2022-09-28,1
2022-10-10,1
2022-10-11,1
2022-10-16,1
2022-12-24,2
2023-01-10,1
2023-01-13,2
2023-01-15,2
2023-01-17,1
2023-03-06,1
2023-03-10,1
2023-03-11,1
2023-03-12,1
2023-03-15,2
2023-03-16,1
2023-03-17,1
2023-04-20,2
2023-05-25,1
2023-06-04,1
2023-06-12,1
2023-06-18,1
2023-06-19,1
2023-07-21,2
2023-09-14,1
2023-11-16,1
