user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
keziah480,https://api.github.com/repos/AlmasB/FXGL/pulls/1359,https://api.github.com/repos/AlmasB/FXGL/issues/1359,open,2024-03-03,2024-03-03,,a37ae4c9a73875e99e836afb1e3e0e42cf488fbc
DaleHuntGB,https://api.github.com/repos/AlmasB/FXGL/pulls/1356,https://api.github.com/repos/AlmasB/FXGL/issues/1356,open,2024-02-27,2024-02-27,,58ed2aaa97a401c1537ac0c9d959e0b520c7fe12
BeckFW,https://api.github.com/repos/AlmasB/FXGL/pulls/1345,https://api.github.com/repos/AlmasB/FXGL/issues/1345,open,2024-02-20,2024-02-21,,d8b8f4600059d7183b0e279990a5c31d645a8601
alexmoore04,https://api.github.com/repos/AlmasB/FXGL/pulls/1342,https://api.github.com/repos/AlmasB/FXGL/issues/1342,open,2024-02-12,2024-02-26,,6fccc5e0105ea3709f25f6f4e4bcf897ab31f0ed
BeckFW,https://api.github.com/repos/AlmasB/FXGL/pulls/1340,https://api.github.com/repos/AlmasB/FXGL/issues/1340,closed,2024-02-12,2024-02-20,2024-02-20,6c0033075817a600510e9348f4782c6a6b83a56d
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1339,https://api.github.com/repos/AlmasB/FXGL/issues/1339,closed,2024-01-31,2024-02-20,2024-02-20,641b614a11a4e537ea20a7ea3ae352cfd20436ac
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1338,https://api.github.com/repos/AlmasB/FXGL/issues/1338,closed,2024-01-31,2024-01-31,2024-01-31,bb604633ef91764156132f456c2726e3abc9cdaf
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1337,https://api.github.com/repos/AlmasB/FXGL/issues/1337,closed,2024-01-31,2024-01-31,,3c56f5347d6a4985908b1d627f2f6434d8e87b30
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1334,https://api.github.com/repos/AlmasB/FXGL/issues/1334,closed,2024-01-19,2024-01-31,,e8cbdb32f2a0ae86ec6ba9e41b1686352839c037
nullrawr,https://api.github.com/repos/AlmasB/FXGL/pulls/1329,https://api.github.com/repos/AlmasB/FXGL/issues/1329,closed,2024-01-04,2024-01-04,2024-01-04,c8e69dfb82dd891f6594a5b71bd2e6f0b4ffbb2c
nullrawr,https://api.github.com/repos/AlmasB/FXGL/pulls/1328,https://api.github.com/repos/AlmasB/FXGL/issues/1328,closed,2024-01-03,2024-01-03,2024-01-03,b709aeabd4caa23213338fa3242acb97aa289851
AlmasB,https://api.github.com/repos/AlmasB/FXGL/pulls/1327,https://api.github.com/repos/AlmasB/FXGL/issues/1327,closed,2023-12-28,2023-12-28,2023-12-28,8a33dff561f14e874ae40365cd501d790693f238
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1319,https://api.github.com/repos/AlmasB/FXGL/issues/1319,open,2023-11-06,2024-01-12,,d3beb36f5b1a1dcfad0fcb33dd74bc313f114cdb
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1311,https://api.github.com/repos/AlmasB/FXGL/issues/1311,open,2023-10-24,2023-10-24,,b5b8c7857f1346210615e4dd1b34e708a3afd0de
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1305,https://api.github.com/repos/AlmasB/FXGL/issues/1305,closed,2023-10-11,2024-02-01,2024-02-01,4c2b4224b40dcfdeb4e28284c3b6942979cb6dc8
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1303,https://api.github.com/repos/AlmasB/FXGL/issues/1303,closed,2023-10-11,2024-01-07,2024-01-07,a8f184e7c3f251924811c421edd2eab164fe9947
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1301,https://api.github.com/repos/AlmasB/FXGL/issues/1301,closed,2023-10-10,2023-11-01,,815673c8415a34402ebce8448eee9ed076719541
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1300,https://api.github.com/repos/AlmasB/FXGL/issues/1300,closed,2023-10-10,2023-10-10,,5103318bc08b3a8bee4e411275f454cebbfe2230
DeathPhoenix22,https://api.github.com/repos/AlmasB/FXGL/pulls/1298,https://api.github.com/repos/AlmasB/FXGL/issues/1298,open,2023-10-10,2024-02-03,,5281847e0de2eb36b731ef25ee1f015604fbb1c3
SimonVerhoeven,https://api.github.com/repos/AlmasB/FXGL/pulls/1296,https://api.github.com/repos/AlmasB/FXGL/issues/1296,closed,2023-10-07,2023-12-28,2023-12-28,b8bd6113b967a8444f3d9b093ed0430679c08676
SimonVerhoeven,https://api.github.com/repos/AlmasB/FXGL/pulls/1295,https://api.github.com/repos/AlmasB/FXGL/issues/1295,closed,2023-10-07,2023-12-28,2023-12-28,c373f3e06fa6a98374ec250e447c6040d59f72d9
chengenzhao,https://api.github.com/repos/AlmasB/FXGL/pulls/1287,https://api.github.com/repos/AlmasB/FXGL/issues/1287,open,2023-08-08,2024-01-06,,351befcb7a05dd474fd47296c4f786eb770cfe51
wonderfulLand,https://api.github.com/repos/AlmasB/FXGL/pulls/1286,https://api.github.com/repos/AlmasB/FXGL/issues/1286,closed,2023-08-04,2023-12-28,2023-12-28,f3b52e3780f06364dc66a75d81ab7d454ca43eed
AlmasB,https://api.github.com/repos/AlmasB/FXGL/pulls/1260,https://api.github.com/repos/AlmasB/FXGL/issues/1260,closed,2023-03-30,2023-03-30,2023-03-30,19ede9a8dba7aeb6666b45ea7c62f5a356521506
Mageconvict,https://api.github.com/repos/AlmasB/FXGL/pulls/1258,https://api.github.com/repos/AlmasB/FXGL/issues/1258,closed,2023-03-28,2023-03-28,2023-03-28,74cfdb50a9c6dad3fb4f74ba3ccdb36719fc7854
H-jj-R,https://api.github.com/repos/AlmasB/FXGL/pulls/1257,https://api.github.com/repos/AlmasB/FXGL/issues/1257,closed,2023-03-28,2023-03-28,2023-03-28,875f5ffd9436f9221da9541ba29ab658aca4694e
chengenzhao,https://api.github.com/repos/AlmasB/FXGL/pulls/1244,https://api.github.com/repos/AlmasB/FXGL/issues/1244,closed,2023-03-05,2023-08-08,,548c46383c3d104740eaf1154236cda500980b27
Harvalove,https://api.github.com/repos/AlmasB/FXGL/pulls/1241,https://api.github.com/repos/AlmasB/FXGL/issues/1241,closed,2023-02-28,2023-03-30,2023-03-30,0aa088ea667d4bd3cbf66566d7e563914ac78840
Harvalove,https://api.github.com/repos/AlmasB/FXGL/pulls/1232,https://api.github.com/repos/AlmasB/FXGL/issues/1232,closed,2023-02-23,2023-03-30,,403e6bf3202ca6b8f05ae882574a068341e70225
