user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
uhthomas,https://api.github.com/repos/AnalogJ/scrutiny/pulls/586,https://api.github.com/repos/AnalogJ/scrutiny/issues/586,open,2024-02-26,2024-02-26,,592df807b4911d9893b9ecc8c079e72fe513e656
uhthomas,https://api.github.com/repos/AnalogJ/scrutiny/pulls/585,https://api.github.com/repos/AnalogJ/scrutiny/issues/585,open,2024-02-26,2024-02-26,,3042ed2e6c65ffad1253cdb3060c6800e4088165
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/578,https://api.github.com/repos/AnalogJ/scrutiny/issues/578,open,2024-02-20,2024-02-20,,4a099c1350fe88dc22b43154926c5cc0c1dcd2ff
DrFrankensteinUK,https://api.github.com/repos/AnalogJ/scrutiny/pulls/577,https://api.github.com/repos/AnalogJ/scrutiny/issues/577,closed,2024-02-17,2024-02-24,2024-02-24,19bd59dc27308902d3a43b32dbe56c1eaf08f36e
uhthomas,https://api.github.com/repos/AnalogJ/scrutiny/pulls/569,https://api.github.com/repos/AnalogJ/scrutiny/issues/569,closed,2024-01-23,2024-02-24,2024-02-24,44275c66ca21632910843553778b440b3d591755
PrplHaz4,https://api.github.com/repos/AnalogJ/scrutiny/pulls/566,https://api.github.com/repos/AnalogJ/scrutiny/issues/566,closed,2024-01-15,2024-01-23,2024-01-23,2dcb6cd6b6bcbe1f0799e11ad25b5e79afa34c9e
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/564,https://api.github.com/repos/AnalogJ/scrutiny/issues/564,closed,2024-01-10,2024-01-23,,8d1b09cc0464e7631aa3e1cdf49bfd4fe7944e0f
ibizaman,https://api.github.com/repos/AnalogJ/scrutiny/pulls/559,https://api.github.com/repos/AnalogJ/scrutiny/issues/559,closed,2023-12-19,2023-12-26,2023-12-26,d54a0abc8c1cc6edadca7e8810b1b1b1917a7902
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/558,https://api.github.com/repos/AnalogJ/scrutiny/issues/558,closed,2023-12-18,2024-01-23,,7ff955676d14461a07535601b63fc21351b80ca9
mcarbonne,https://api.github.com/repos/AnalogJ/scrutiny/pulls/557,https://api.github.com/repos/AnalogJ/scrutiny/issues/557,open,2023-12-18,2024-02-04,,d376be07b44b2b1b138dcdfd44b8cab023a29c38
aivus,https://api.github.com/repos/AnalogJ/scrutiny/pulls/551,https://api.github.com/repos/AnalogJ/scrutiny/issues/551,open,2023-12-03,2024-01-23,,4cf5f0e4326bde43ffde74d4eccfef0caf1c6369
kaysond,https://api.github.com/repos/AnalogJ/scrutiny/pulls/547,https://api.github.com/repos/AnalogJ/scrutiny/issues/547,closed,2023-11-27,2024-02-24,2024-02-24,3ea223fa8e3b0835f61130abbb7345f4bd359ce6
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/535,https://api.github.com/repos/AnalogJ/scrutiny/issues/535,closed,2023-10-25,2024-01-23,,ef1d68c8e1c4533448a649a85147dadbd7ae9c74
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/530,https://api.github.com/repos/AnalogJ/scrutiny/issues/530,closed,2023-10-19,2024-01-23,,9e036253a25dbe23ad35dded041e821389f60f0a
KaeTuuN,https://api.github.com/repos/AnalogJ/scrutiny/pulls/529,https://api.github.com/repos/AnalogJ/scrutiny/issues/529,closed,2023-10-18,2024-01-23,2024-01-23,240178d742a5fe84b5b61952897a855f9425b790
AnalogJ,https://api.github.com/repos/AnalogJ/scrutiny/pulls/528,https://api.github.com/repos/AnalogJ/scrutiny/issues/528,open,2023-10-17,2023-10-17,,1e8a198810d7bafa4fae14e5148a856dcf8032ad
kaysond,https://api.github.com/repos/AnalogJ/scrutiny/pulls/527,https://api.github.com/repos/AnalogJ/scrutiny/issues/527,closed,2023-10-15,2023-10-23,2023-10-17,ab7fd107e792a94f48d3c5bf1bc11f784ddb0cbd
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/525,https://api.github.com/repos/AnalogJ/scrutiny/issues/525,closed,2023-10-11,2023-10-17,,de540e948f1968f8459d1e331dc41024f6f42d8c
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/524,https://api.github.com/repos/AnalogJ/scrutiny/issues/524,closed,2023-10-07,2023-10-17,,ce437185eb1bfa4ed0c91fa3b2ef88c46aaf50b7
kaysond,https://api.github.com/repos/AnalogJ/scrutiny/pulls/520,https://api.github.com/repos/AnalogJ/scrutiny/issues/520,closed,2023-09-29,2023-10-17,2023-10-17,5e876085873216fbbe03719a9fd8794dd9710592
SlavikCA,https://api.github.com/repos/AnalogJ/scrutiny/pulls/519,https://api.github.com/repos/AnalogJ/scrutiny/issues/519,closed,2023-09-27,2023-09-27,2023-09-27,4b1d9dc2d3f5388440a6746c3bdce2b8e2bee91e
kaysond,https://api.github.com/repos/AnalogJ/scrutiny/pulls/512,https://api.github.com/repos/AnalogJ/scrutiny/issues/512,closed,2023-09-03,2023-09-06,2023-09-06,2f01e8c8e0ad663924aecd55a1979fa3a8c17c04
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/487,https://api.github.com/repos/AnalogJ/scrutiny/issues/487,closed,2023-06-01,2023-09-06,,2d8736ebed707d7f1fa2c27c9c719ed6965e4ae7
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/484,https://api.github.com/repos/AnalogJ/scrutiny/issues/484,closed,2023-05-24,2023-09-06,,34d21c06500c90f55e555ce41ceed4ef8965627d
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/483,https://api.github.com/repos/AnalogJ/scrutiny/issues/483,closed,2023-05-05,2023-06-01,,8412445914002ddbc86d4e7ff5f30f6e169288ba
AnalogJ,https://api.github.com/repos/AnalogJ/scrutiny/pulls/474,https://api.github.com/repos/AnalogJ/scrutiny/issues/474,closed,2023-04-08,2023-04-08,2023-04-08,d73907d357b46d245067bd9cb0095265d268e76e
adamantike,https://api.github.com/repos/AnalogJ/scrutiny/pulls/472,https://api.github.com/repos/AnalogJ/scrutiny/issues/472,closed,2023-04-06,2023-04-07,2023-04-07,d76cdca4a5b844d0e470151a22a8e9a79cff3015
adamantike,https://api.github.com/repos/AnalogJ/scrutiny/pulls/471,https://api.github.com/repos/AnalogJ/scrutiny/issues/471,closed,2023-04-06,2023-04-07,2023-04-07,b34ed607b71c02568647f2f4c32b5be1c195cef5
AnalogJ,https://api.github.com/repos/AnalogJ/scrutiny/pulls/470,https://api.github.com/repos/AnalogJ/scrutiny/issues/470,closed,2023-04-06,2023-04-06,2023-04-06,4192ac719e43f66f4ab9ef1e579b483462ef6aed
AnalogJ,https://api.github.com/repos/AnalogJ/scrutiny/pulls/469,https://api.github.com/repos/AnalogJ/scrutiny/issues/469,closed,2023-04-06,2023-04-06,2023-04-06,539c94595fa0dafcc30fcdcf7ed6cb24c8683f4e
AnalogJ,https://api.github.com/repos/AnalogJ/scrutiny/pulls/468,https://api.github.com/repos/AnalogJ/scrutiny/issues/468,closed,2023-04-06,2023-04-06,2023-04-06,dea362361e0d0c5cbd1a6445f77ae1a03a3752ff
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/455,https://api.github.com/repos/AnalogJ/scrutiny/issues/455,closed,2023-03-07,2023-04-06,,922a3e100c71196d6159905aa0110efc77de84d1
dependabot[bot],https://api.github.com/repos/AnalogJ/scrutiny/pulls/454,https://api.github.com/repos/AnalogJ/scrutiny/issues/454,closed,2023-03-06,2023-04-06,,074df0356250d4d2a9f39a5806bc930d47a3d707
