user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/99,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/99,closed,2023-07-05,2023-07-06,2023-07-05,68658618c0d7f1351654fb872242c0d2479108c5
dplewis,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/97,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/97,closed,2023-03-31,2023-07-06,,6c4652236313ade5249da59f4b359b8d02f9985a
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/94,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/94,closed,2019-09-28,2019-10-03,2019-10-03,24fcb2d57a1df5c4ab8a48a925213b2c0b68dc78
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/93,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/93,closed,2019-09-28,2019-09-28,2019-09-28,d8c07eee2045a13f34330c0a4664053b5176e3f0
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/92,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/92,closed,2019-09-28,2019-09-28,2019-09-28,b94089722f9dfe1dda28f0a9f6216b4490154353
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/91,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/91,closed,2019-09-28,2019-09-28,2019-09-28,f50e21e7954ab5bc13ae094ab70e6ddb683a787c
antoinelamy,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/90,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/90,closed,2019-09-26,2019-09-28,,3a535bd646bceb61ec2289c8fceb2b6e734e184a
HeEAaD,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/87,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/87,closed,2019-05-23,2019-08-25,2019-08-25,cd143941897728a0fe17e70c912442380b0caffb
HeEAaD,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/86,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/86,closed,2019-05-23,2019-05-23,,b3cbeae4edde361d02ea0e69fb5bd62847b03594
bpisano-luna,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/85,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/85,closed,2019-05-20,2019-09-28,,3aa356fe1f4434c52e2b00f76cf9c01a67d83b7e
SBrockmann,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/84,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/84,open,2019-05-07,2021-08-30,,44134d07376d9a1731fa3e9b22f94a30c6f00a1b
ermik,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/83,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/83,closed,2019-05-05,2019-08-25,2019-08-25,b1371bef11f022c62737e1f0c94c698e014f891f
SebastianSingle99,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/82,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/82,closed,2019-04-17,2019-09-28,,108110aa4a7681705f9c609e0c5ba68dfe3de0a0
johncodeos,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/80,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/80,closed,2019-03-31,2019-09-28,,f5fb868c8621d5bd53880da793563ed166664123
facebook-github-bot,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/79,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/79,closed,2019-03-27,2019-08-25,2019-08-25,d63621ac50313faac046da3079b770ff2c90a129
hcanzonetta,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/75,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/75,closed,2018-08-29,2018-08-29,2018-08-29,8208d462d53b43a851b0f4741898c49f77c951db
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/74,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/74,closed,2018-07-19,2018-07-19,2018-07-19,e7811181243e9dfa9462ec3048cd5957519fa26f
sebleclerc,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/71,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/71,closed,2018-04-11,2018-07-19,2018-05-11,5d06920a90dd618505346f20fd93fd994a9466f6
flovilmart,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/69,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/69,closed,2018-02-14,2018-02-14,,
islamovic,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/68,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/68,closed,2018-02-08,2018-02-08,,aba7e22481b3e040919972f1228a4b898d0a310a
txaiwieser,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/65,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/65,closed,2017-10-01,2019-01-04,,19a301d20e30a0dd72b27197fcb36d440a36e377
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/64,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/64,closed,2017-10-01,2018-07-19,2017-10-04,e9baa72d04521c3b25ef4fa6fef12b340953ee02
akwilliamson,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/62,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/62,closed,2017-09-22,2017-10-04,,42f964711161c44223b801ce2220963c3aa3d5d1
sebleclerc,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/58,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/58,closed,2017-05-03,2018-07-19,2017-05-03,7e5e9732a608ed002e2f49ff7412ddde8cbf9142
sjorsvb,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/56,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/56,closed,2017-04-01,2017-09-22,2017-09-22,a65ee11e65175f443bd77dd6f2f7f285e8babc09
pddkhanh,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/49,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/49,closed,2017-01-11,2018-09-26,,23d49b3296ce7f941634f3fbb948a2a70ea0504a
sapzildj,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/48,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/48,closed,2016-12-20,2016-12-20,2016-12-20,056a069f3b722e95b66311cff839cffcfb8c1c87
andrejs-mamontovs,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/47,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/47,closed,2016-11-30,2016-12-01,,e4d7c89cb6d41668a9d49ff88fa9f8c66a4dd64b
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/42,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/42,closed,2016-09-19,2016-09-20,2016-09-20,bbcbab61e3fd11239c6c9a51460db20be26dc9c7
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/41,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/41,closed,2016-09-16,2016-09-16,2016-09-16,55e64503137282c3c7a58811a04ca808ada671c7
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/40,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/40,closed,2016-09-16,2016-09-16,2016-09-16,363217051f8a25e20f1500382650d9b7f79aadda
ceyhun,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/37,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/37,closed,2016-08-29,2016-09-16,2016-08-29,ec8edb06780afa2f0949d4129c7e6de1cf126291
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/34,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/34,closed,2016-07-25,2016-07-25,2016-07-25,e1afa91c2fdee24ef1c1e041e1ef14558ce60b6f
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/32,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/32,closed,2016-07-12,2016-07-12,2016-07-12,f184e5dab0478d74b56658b120427e2428a22d46
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/30,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/30,closed,2016-06-18,2016-07-25,2016-06-27,d8f0551d93a122fb7bfb2678a6b429ba7a11889b
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/29,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/29,closed,2016-06-18,2016-06-27,2016-06-27,4434f57ef7f6ab35f498895dc226b1b486df7c88
nlutsenko,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/27,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/27,closed,2016-06-13,2016-07-25,2016-06-14,c7a85a32c267744b346c384695ea36abb4b8ed85
richardjrossiii,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/26,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/26,closed,2016-06-01,2016-06-01,,5e1d88277c2684d07a3fded1f579542585cad3d2
richardjrossiii,https://api.github.com/repos/BoltsFramework/Bolts-Swift/pulls/25,https://api.github.com/repos/BoltsFramework/Bolts-Swift/issues/25,closed,2016-06-01,2016-06-01,2016-06-01,45a065d0d7d45231b11e03128264a13b48bea12a
