user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
tony-yan-yu,https://api.github.com/repos/IFTTT/FastttCamera/pulls/82,https://api.github.com/repos/IFTTT/FastttCamera/issues/82,closed,2021-06-30,2021-07-06,2021-07-06,104cdf2f1642800c5452e4c09a92cf9856d088ce
QuentinArnault,https://api.github.com/repos/IFTTT/FastttCamera/pulls/79,https://api.github.com/repos/IFTTT/FastttCamera/issues/79,open,2017-11-26,2023-10-11,,16401b23cd97a61b3fb2922aac3c3299d228e7fc
anderscarling,https://api.github.com/repos/IFTTT/FastttCamera/pulls/75,https://api.github.com/repos/IFTTT/FastttCamera/issues/75,open,2017-04-18,2023-10-11,,9c3cec71186fec072d7e45ec537ff664c0569e44
liamdon,https://api.github.com/repos/IFTTT/FastttCamera/pulls/73,https://api.github.com/repos/IFTTT/FastttCamera/issues/73,open,2017-02-24,2023-10-11,,e079980164c309f87fb42c90925d9bbdf041a633
NightlyNexus,https://api.github.com/repos/IFTTT/FastttCamera/pulls/70,https://api.github.com/repos/IFTTT/FastttCamera/issues/70,closed,2017-01-19,2017-03-21,,3bd7a6f8b8662616a63993dcee88ed61d52ac5f6
mr-v,https://api.github.com/repos/IFTTT/FastttCamera/pulls/69,https://api.github.com/repos/IFTTT/FastttCamera/issues/69,open,2016-12-08,2023-10-11,,b7620e59aa628f26d695e7e357c546e9555cc8dd
rico237,https://api.github.com/repos/IFTTT/FastttCamera/pulls/67,https://api.github.com/repos/IFTTT/FastttCamera/issues/67,closed,2016-11-29,2023-10-11,,0521118cdd02445af85f6d0f292cb517660cfd27
pleasantlight,https://api.github.com/repos/IFTTT/FastttCamera/pulls/65,https://api.github.com/repos/IFTTT/FastttCamera/issues/65,open,2016-11-10,2023-10-11,,509ea9e8c59a46301fd06f8577ddd8ed83a5c23e
xaphod,https://api.github.com/repos/IFTTT/FastttCamera/pulls/63,https://api.github.com/repos/IFTTT/FastttCamera/issues/63,open,2016-11-08,2023-10-11,,2f51b8f05df4696fb15bb50da6ad2d102d8774ee
maross,https://api.github.com/repos/IFTTT/FastttCamera/pulls/60,https://api.github.com/repos/IFTTT/FastttCamera/issues/60,open,2016-09-14,2023-10-11,,a3e9b8a641f1e891605be513dfd768b28c123d82
haydenholligan,https://api.github.com/repos/IFTTT/FastttCamera/pulls/59,https://api.github.com/repos/IFTTT/FastttCamera/issues/59,closed,2016-09-08,2023-10-11,,10c31d1acba030b6ccfed20887c4fad27e28ce0b
plu,https://api.github.com/repos/IFTTT/FastttCamera/pulls/56,https://api.github.com/repos/IFTTT/FastttCamera/issues/56,closed,2016-06-10,2017-01-13,,f200df2e27936df5fdeb3606a7ac27a9ca1936d1
