user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
pepoirot,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/687,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/687,open,2023-07-16,2023-07-16,,82568b957ec3e0210e34c3b7ea5f238365b96549
pepoirot,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/686,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/686,open,2023-07-08,2023-07-30,,d234572a03c4f01373e589abf7b5227d66a4ce2c
pepoirot,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/685,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/685,closed,2023-07-08,2023-07-22,,23ff107520b8d3dde6ca23afa917aa8cbe78a3e2
Leonidas-from-XIV,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/681,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/681,closed,2023-05-25,2023-05-26,2023-05-25,3b97ae5494dbfb7bb62486582f0f9ca4b94e3b7f
Leonidas-from-XIV,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/680,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/680,closed,2023-05-25,2023-05-25,2023-05-25,1de4688e762061cdbd5b3e108819aea5c1aaf560
markwhitfeld,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/674,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/674,closed,2023-04-26,2023-05-26,,4ebe2d0679308bef6d4592e7d2b0324bb9bfa2da
AHarman,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/643,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/643,open,2022-04-18,2022-12-23,,3c0052b16e3dd426ec71bd96ad1e5990c6e671d7
AHarman,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/642,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/642,open,2022-04-17,2022-04-17,,df385eed7d4ece3c04690de0511f7c8a4116545c
wisesimpson,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/635,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/635,closed,2022-01-12,2022-01-12,2022-01-12,f412a128b6d68c93d0cea44289484e5102b557f4
SaravanaS1358,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/632,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/632,closed,2021-09-16,2023-03-02,,1112167b6b45c8bc7e1eccc93b57d99a42b223d4
jansule,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/625,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/625,open,2021-08-16,2021-08-16,,ce730e9bd3c6a627e72edadc6e35b3b2107f29bb
szakharchenko,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/620,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/620,open,2021-08-05,2021-08-05,,16df68ca4dcb390aaf4c20f3e9240d466e9ccc2f
autopulated,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/603,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/603,closed,2021-03-02,2023-04-09,2023-04-09,50a492aef9729b8b9b291c5cb2746ec7dc1369db
fnimick,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/598,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/598,closed,2021-01-12,2022-09-02,2022-03-26,7bc3c5d74cf66429dfb804626f3099a17dea1691
a2br,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/597,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/597,closed,2020-12-28,2021-01-04,,e2af482b5772af821fea9a6ba5bb8836618e7982
bigbri64,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/596,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/596,closed,2020-12-20,2021-08-31,,3123335cc6e835f3b382ab2f608bfae368f73933
fkirc,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/589,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/589,open,2020-10-21,2020-11-04,,cd35a9fd7251d2fbae535ed96c555b631c46b6d2
jhorbulyk,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/565,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/565,open,2020-04-08,2020-12-05,,438b4be130ed648f8c15635c162b2e85d4fdc408
francescofavatella,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/563,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/563,open,2020-04-04,2020-04-04,,8210ff643753a0fb9f8e94d43799c4cb79b5638f
Omega-Ariston,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/562,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/562,closed,2020-03-23,2020-03-27,2020-03-27,0d717852434131746d4efe147eecfcc1ebb7f4a8
Omega-Ariston,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/559,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/559,open,2020-02-26,2020-02-26,,43ffde58d6e50815fca065b7db6cf7e351867297
Omega-Ariston,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/556,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/556,closed,2020-02-19,2020-03-27,2020-03-27,198063c4d5e051e3c58349a05354b255ef8bd63c
jbpin,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/551,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/551,open,2020-01-13,2020-02-12,,d09eacab80e8da75fc3f1459c9ad310abd304fba
knoxcard2,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/549,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/549,open,2020-01-07,2023-05-25,,da3df581cd936eaad0812f06ccb5e9d13c412622
Raynos,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/546,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/546,closed,2019-12-19,2019-12-19,2019-12-19,bb266cf778a54e800fdace5c02d60f546e72c753
coolaj86,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/540,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/540,closed,2019-10-30,2019-12-19,,7b66ca4fa223d2e7a1f3e34029dc9197ecb076a0
Leonidas-from-XIV,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/531,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/531,closed,2019-09-03,2019-09-03,2019-09-03,7a6d39f5a19748806db3d2bbc5924dea7a17d4e0
Leonidas-from-XIV,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/pulls/528,https://api.github.com/repos/Leonidas-from-XIV/node-xml2js/issues/528,closed,2019-09-02,2019-09-02,2019-09-02,b47e3dc61829dbccd3b646d624eb24670a8d4adc
