user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
rasuldev,https://api.github.com/repos/Lyokone/flutterlocation/pulls/930,https://api.github.com/repos/Lyokone/flutterlocation/issues/930,open,2024-02-26,2024-02-26,,c14ba0728a73335c6f0aacf08a19a2bf58b7503f
enix223,https://api.github.com/repos/Lyokone/flutterlocation/pulls/925,https://api.github.com/repos/Lyokone/flutterlocation/issues/925,open,2024-01-25,2024-01-25,,bf048d050dc683ddb505f5b8ea5cfa50f44ba557
delltrak,https://api.github.com/repos/Lyokone/flutterlocation/pulls/902,https://api.github.com/repos/Lyokone/flutterlocation/issues/902,closed,2023-09-25,2023-11-25,,45996677d1cac6d082d8bfb8f4f1450ed2178b3f
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/901,https://api.github.com/repos/Lyokone/flutterlocation/issues/901,closed,2023-09-24,2023-09-24,2023-09-24,7cc54d74a5b53f8c6465ca0e4e5171b39fa49f8d
delltrak,https://api.github.com/repos/Lyokone/flutterlocation/pulls/893,https://api.github.com/repos/Lyokone/flutterlocation/issues/893,closed,2023-08-30,2023-09-24,,776d4195052614ce6a80aeb14d5df5684f8dfabf
akshaynjarangal,https://api.github.com/repos/Lyokone/flutterlocation/pulls/890,https://api.github.com/repos/Lyokone/flutterlocation/issues/890,closed,2023-08-24,2023-09-19,2023-09-19,6d9f482724d99322eb71e327b4555985efdf654d
wtwsky,https://api.github.com/repos/Lyokone/flutterlocation/pulls/889,https://api.github.com/repos/Lyokone/flutterlocation/issues/889,open,2023-08-23,2023-11-25,,3f9d40cbcc43db4331fbeeaf1f6dd001754bd1ef
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/884,https://api.github.com/repos/Lyokone/flutterlocation/issues/884,closed,2023-08-11,2023-08-11,2023-08-11,9c96830f997215d5e9794ff182cfac8c9ceac045
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/883,https://api.github.com/repos/Lyokone/flutterlocation/issues/883,closed,2023-08-11,2023-08-11,2023-08-11,cbb79e79fc0d67eee05f54d3a1a3e7a03b17cd05
deandreamatias-worldline,https://api.github.com/repos/Lyokone/flutterlocation/pulls/882,https://api.github.com/repos/Lyokone/flutterlocation/issues/882,closed,2023-08-10,2023-08-11,2023-08-11,ab52f331016b9e0135b6962481b3706ed3349d03
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/881,https://api.github.com/repos/Lyokone/flutterlocation/issues/881,closed,2023-08-09,2023-08-11,2023-08-11,5c3c1c875599da513f3a8a58ff4e76d706430f92
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/880,https://api.github.com/repos/Lyokone/flutterlocation/issues/880,closed,2023-08-09,2023-08-09,2023-08-09,484e460a1ffb45deb9d56f33f0da8523290db1d8
LorenzSchueler,https://api.github.com/repos/Lyokone/flutterlocation/pulls/877,https://api.github.com/repos/Lyokone/flutterlocation/issues/877,closed,2023-08-06,2023-08-10,2023-08-09,bc17b4b1067019d5379683e8974b36759c2d4f85
tyler-jewell,https://api.github.com/repos/Lyokone/flutterlocation/pulls/876,https://api.github.com/repos/Lyokone/flutterlocation/issues/876,closed,2023-08-05,2023-08-11,2023-08-11,3bcb77ac377ba54ac3b8448a4e254bc654fc4fc0
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/874,https://api.github.com/repos/Lyokone/flutterlocation/issues/874,closed,2023-08-04,2023-08-04,2023-08-04,1f0a2d0217e75fb501ca9dde262438bee5a22865
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/873,https://api.github.com/repos/Lyokone/flutterlocation/issues/873,closed,2023-08-04,2023-08-04,2023-08-04,7a00be8a6ac204628eb5417f798cbc420d79de5f
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/872,https://api.github.com/repos/Lyokone/flutterlocation/issues/872,closed,2023-08-04,2023-08-04,2023-08-04,374b8ba958ce929e0ffc4e20ca68c69202ccaa87
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/871,https://api.github.com/repos/Lyokone/flutterlocation/issues/871,closed,2023-08-04,2023-08-04,2023-08-04,5c8038c6e09787cd2b5c5e00e1abc0308a0a5e7b
fabiolindemberg,https://api.github.com/repos/Lyokone/flutterlocation/pulls/868,https://api.github.com/repos/Lyokone/flutterlocation/issues/868,closed,2023-08-03,2023-08-03,,2cbf1ad139a2767d77e4c02af2a353a76d3a018b
Prince2347X,https://api.github.com/repos/Lyokone/flutterlocation/pulls/862,https://api.github.com/repos/Lyokone/flutterlocation/issues/862,closed,2023-07-23,2023-08-04,2023-08-04,eef35c55e7902d84a0b74511b48b4d013f52e21a
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/861,https://api.github.com/repos/Lyokone/flutterlocation/issues/861,closed,2023-07-23,2023-07-23,2023-07-23,27be22ef271a8e393e8a5a8a17edb6e0a99083ed
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/860,https://api.github.com/repos/Lyokone/flutterlocation/issues/860,closed,2023-07-23,2023-07-23,2023-07-23,cf477953c00b7d7accc0942dc5f9ed65fa0118e3
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/859,https://api.github.com/repos/Lyokone/flutterlocation/issues/859,closed,2023-07-23,2023-07-23,2023-07-23,7e7f607cc27030ef713536e472d1eecae6d49f95
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/853,https://api.github.com/repos/Lyokone/flutterlocation/issues/853,closed,2023-07-10,2023-07-23,2023-07-23,a338744ecbec0747eebd5ce1a110cae840df0dc3
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/852,https://api.github.com/repos/Lyokone/flutterlocation/issues/852,closed,2023-07-10,2023-07-10,2023-07-10,a623e2d76c9b1d62df85e941f4718295782a4f45
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/851,https://api.github.com/repos/Lyokone/flutterlocation/issues/851,closed,2023-07-10,2023-07-10,2023-07-10,5388e8413c7f3cf31accb8a3db295c38c61622fa
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/850,https://api.github.com/repos/Lyokone/flutterlocation/issues/850,closed,2023-07-10,2023-07-10,2023-07-10,b62282953704ff2595c7d175a9949c925b1a7683
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/849,https://api.github.com/repos/Lyokone/flutterlocation/issues/849,closed,2023-07-10,2023-07-10,2023-07-10,dacf1777519c696091d2186b9d80e4add01e1076
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/848,https://api.github.com/repos/Lyokone/flutterlocation/issues/848,closed,2023-07-10,2023-07-10,2023-07-10,d63c2640b8b9174a1c24fe0f6c4196d494a1b75e
bartekpacia,https://api.github.com/repos/Lyokone/flutterlocation/pulls/847,https://api.github.com/repos/Lyokone/flutterlocation/issues/847,closed,2023-07-09,2023-07-10,2023-07-10,516508659582945163abd4761ac465c4296e815b
