user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
bhnaphade,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2546,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2546,open,2024-03-05,2024-03-06,,1f7c2a505c583bf5aa04c4cc305b211da2fe6771
tamaskleizer,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2545,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2545,open,2024-03-05,2024-03-05,,4affc1c2bba2318a5fc7ee2de796d237530b1c88
KircMax,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2543,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2543,open,2024-03-01,2024-03-01,,eb1687aa3f80ddf820d5573c26c258e85f0f3068
mrsuciu,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2540,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2540,open,2024-02-28,2024-03-06,,5e6e597fb3796f5c947dc78088c75e2b25186011
opcfoundation-org,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2539,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2539,open,2024-02-28,2024-02-28,,f396989e6f6a8b7094a2b5f1406490ba840462b3
dependabot[bot],https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2537,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2537,closed,2024-02-26,2024-02-26,2024-02-26,1541723d4a48451030f722d02ba27b8e2c8c1244
dependabot[bot],https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2536,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2536,closed,2024-02-26,2024-02-26,2024-02-26,a64c5a99cb9bcc593aa3c6805932a6e577c5aa22
dependabot[bot],https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2535,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2535,open,2024-02-26,2024-02-27,,41203188b6da9f85869264182cda20cacfe8563d
dependabot[bot],https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2534,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2534,closed,2024-02-26,2024-02-26,2024-02-26,0a427401bd3fb0201f60af935ac16fa6edb32cae
bhnaphade,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2533,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2533,closed,2024-02-23,2024-02-26,2024-02-26,0fd58b43f254fbae7d18aeebb8fb6dbc02d54f42
mregen,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2532,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2532,closed,2024-02-20,2024-02-20,2024-02-20,4a66cc338509fd71ec830cbca56a797432a7a190
mregen,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2531,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2531,closed,2024-02-20,2024-02-28,2024-02-28,988be41a87c4a3d7b865e8314d33409eca347d63
mregen,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2530,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2530,closed,2024-02-20,2024-02-26,2024-02-26,52bf4ae3f39b8a10b5593994a8d5547207624670
romanett,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/pulls/2528,https://api.github.com/repos/OPCFoundation/UA-.NETStandard/issues/2528,closed,2024-02-18,2024-02-28,2024-02-22,6d85d8007b62ad7da9771dfe00840fbfbf0b5d7e
