user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/PureLayout/PureLayout/pulls/265,https://api.github.com/repos/PureLayout/PureLayout/issues/265,open,2023-03-16,2023-03-16,,fc16d25e3b2119d7afa550786c742039f048e3a3
dependabot[bot],https://api.github.com/repos/PureLayout/PureLayout/pulls/264,https://api.github.com/repos/PureLayout/PureLayout/issues/264,closed,2023-02-01,2023-03-16,,5b53ceed092076da1ca92ac465d0d5b04ed12184
dependabot[bot],https://api.github.com/repos/PureLayout/PureLayout/pulls/263,https://api.github.com/repos/PureLayout/PureLayout/issues/263,closed,2023-01-20,2023-02-01,,ff07399b80027684f9095efc6f38bae8bda00d02
Therzok,https://api.github.com/repos/PureLayout/PureLayout/pulls/261,https://api.github.com/repos/PureLayout/PureLayout/issues/261,closed,2022-08-30,2022-12-20,2022-12-18,8849cc9918c4d72c072cd4dd3827c2c1025697ab
dependabot[bot],https://api.github.com/repos/PureLayout/PureLayout/pulls/260,https://api.github.com/repos/PureLayout/PureLayout/issues/260,open,2022-07-22,2022-07-22,,7d0c201f3ca424181eeb60596505bb3acc968799
vladislav-eero,https://api.github.com/repos/PureLayout/PureLayout/pulls/259,https://api.github.com/repos/PureLayout/PureLayout/issues/259,closed,2022-02-21,2022-05-10,2022-05-10,f88012e606baae91eb32fc0448d4f34e7f0d7d98
davehenke,https://api.github.com/repos/PureLayout/PureLayout/pulls/257,https://api.github.com/repos/PureLayout/PureLayout/issues/257,closed,2021-04-27,2021-05-03,2021-05-03,5561683c96dc49b023c1299bfe4f6fbeed5f8199
toohotz,https://api.github.com/repos/PureLayout/PureLayout/pulls/254,https://api.github.com/repos/PureLayout/PureLayout/issues/254,closed,2021-03-02,2021-03-19,2021-03-18,3d76c78acde62bf4e817edc470086a2bb4157dcb
dolzhenko-tony,https://api.github.com/repos/PureLayout/PureLayout/pulls/253,https://api.github.com/repos/PureLayout/PureLayout/issues/253,closed,2020-12-21,2021-01-12,2021-01-06,58565c5ca0f71882198baeb409d676e84f88eab5
pronebird,https://api.github.com/repos/PureLayout/PureLayout/pulls/252,https://api.github.com/repos/PureLayout/PureLayout/issues/252,closed,2020-11-15,2021-04-08,2021-03-21,ff8c2351287e2c07e617826bcdbfbc236bdda214
dependabot[bot],https://api.github.com/repos/PureLayout/PureLayout/pulls/249,https://api.github.com/repos/PureLayout/PureLayout/issues/249,closed,2020-05-26,2023-01-20,,fef02d290b4415f0ac013606fd74f88d3f0cc7ec
dolzhenko-tony,https://api.github.com/repos/PureLayout/PureLayout/pulls/248,https://api.github.com/repos/PureLayout/PureLayout/issues/248,closed,2020-04-23,2020-04-25,2020-04-25,bc5321b6488e0cfd751dd8e7523a39f275b01c51
