user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2916,https://api.github.com/repos/SFML/SFML/issues/2916,closed,2024-03-04,2024-03-04,2024-03-04,d7fb1bf0f643e1cb66b93d9fab50e54941a6e90c
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2915,https://api.github.com/repos/SFML/SFML/issues/2915,closed,2024-02-26,2024-02-27,2024-02-27,4967a4c28fe72179eb31eb6371f09db0c84bc887
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2914,https://api.github.com/repos/SFML/SFML/issues/2914,closed,2024-02-26,2024-02-26,2024-02-26,aa3d0b7ba5ea260ccdd8ef758df1a356f2d321d1
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2912,https://api.github.com/repos/SFML/SFML/issues/2912,closed,2024-02-20,2024-02-20,2024-02-20,3d4815ef656ed2dc69672b7921a6710e02e48200
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2911,https://api.github.com/repos/SFML/SFML/issues/2911,closed,2024-02-20,2024-02-20,2024-02-20,2a48b34386033eb8e986dd0da456b2a78eec3338
dogunbound,https://api.github.com/repos/SFML/SFML/pulls/2910,https://api.github.com/repos/SFML/SFML/issues/2910,closed,2024-02-19,2024-02-19,2024-02-19,691292b23ad0faf9a1be3405554716f583ab7918
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2909,https://api.github.com/repos/SFML/SFML/issues/2909,closed,2024-02-15,2024-02-16,2024-02-16,32a5440bb8079e808e5ed8d95908831f9615bb39
eXpl0it3r,https://api.github.com/repos/SFML/SFML/pulls/2908,https://api.github.com/repos/SFML/SFML/issues/2908,closed,2024-02-15,2024-02-17,2024-02-17,e50f7b9759b8a61ea045353436a43b39ccbe5067
ChrisThrasher,https://api.github.com/repos/SFML/SFML/pulls/2907,https://api.github.com/repos/SFML/SFML/issues/2907,closed,2024-02-15,2024-02-15,2024-02-15,1e6eaa5d91f74d060c48ee2918642326cda5d348
elijahfhopp,https://api.github.com/repos/SFML/SFML/pulls/2905,https://api.github.com/repos/SFML/SFML/issues/2905,closed,2024-02-13,2024-02-13,2024-02-13,f2b736461115ac1cb4bd91e9b9b3ec115e7a0aec
vittorioromeo,https://api.github.com/repos/SFML/SFML/pulls/2904,https://api.github.com/repos/SFML/SFML/issues/2904,closed,2024-02-09,2024-02-14,2024-02-09,7402e969c97689cbb72d25a67200479ebbd3cf2f
vittorioromeo,https://api.github.com/repos/SFML/SFML/pulls/2903,https://api.github.com/repos/SFML/SFML/issues/2903,closed,2024-02-08,2024-02-09,2024-02-09,f3d5762a17687a23b2c1e50d18b8902364b751a4
