user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dimitraka,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6450,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6450,closed,2024-03-04,2024-03-04,2024-03-04,72ca8400923cbafe20fc38418040c955f0c4892c
JiakunYan,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6449,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6449,open,2024-03-03,2024-03-03,,4448e08dc0868be2f1f8af77a0f11332781ad57e
vrnimje,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6448,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6448,open,2024-02-27,2024-03-06,,a45339f5eef23db2f4a963677eb9a10b4fe82978
srinivasyadav18,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6447,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6447,closed,2024-02-26,2024-03-03,2024-03-03,4b8aaddb2d813a003100bc4af92ff72b62916fbb
JiakunYan,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6445,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6445,closed,2024-02-23,2024-02-23,2024-02-23,40eef48f5b941f400164f79c2c2eefbeb35db49e
akheir,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6444,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6444,open,2024-02-22,2024-03-06,,d37710a2a299fa3009cb253f1d0fe8c07679cf75
khuck,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6442,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6442,closed,2024-02-22,2024-02-23,2024-02-23,933c106dd4c4212495e1313a5a9e29a7957d3c5e
dimitraka,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6441,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6441,closed,2024-02-22,2024-02-23,2024-02-23,b80aac17ecd999fea14468f481bf3dde7697d99c
hkaiser,https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6439,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6439,closed,2024-02-16,2024-02-28,2024-02-28,47693bf3155e21c83b8ea9a5b403e4f36a0e8c72
dependabot[bot],https://api.github.com/repos/STEllAR-GROUP/hpx/pulls/6438,https://api.github.com/repos/STEllAR-GROUP/hpx/issues/6438,closed,2024-02-07,2024-02-07,2024-02-07,17bdd0d04b7d06be59e017cdcb125b1078d31c81
