user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
phamconganh,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1395,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1395,open,2023-11-30,2024-03-06,,cfac8733eef9f89cb6eb57c640a2e8f2c505b9dc
GabrielAraujo,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1390,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1390,open,2023-11-06,2023-11-16,,ea0f55891b006a47f3e8aee040223bbf1253b5f6
phamconganh,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1379,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1379,open,2023-09-25,2023-09-25,,501778d7b40938f12ee8e8db57eacfb7e73ffffa
cgzdevelopments,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1374,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1374,closed,2023-09-18,2023-09-18,,dcc9315d861e77eb0decdad093bd964b5533b5a9
Mixslav,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1373,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1373,open,2023-09-13,2023-09-13,,87fee712c7c55226417be9133ee59db4cd2ff8f9
TheCarpetMerchant,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1359,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1359,open,2023-08-15,2023-10-03,,df952a6e58d2b315e282e65c15a6e9d5b4fdcaee
swiftymf,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1355,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1355,open,2023-08-09,2024-01-16,,0f76456c1f77f1584d1509bc26a53497394e2c8b
swiftymf,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1349,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1349,closed,2023-07-28,2023-08-09,,5322dfc018107444e0db3a431445b1a466a7e29a
mcmah309,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1345,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1345,closed,2023-07-20,2023-08-10,,103f9ef46e668c5758c36a82df3e3e7d2b61e46d
ndusart,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1344,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1344,open,2023-07-19,2023-08-14,,c91d153da8ca5b0180c3c519df1fdbdcc248d5d5
kaiquegazola,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1336,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1336,open,2023-07-04,2023-07-04,,31ce28bc7ccd3a3793bbe16436fcc4c4e39b2d3d
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1306,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1306,open,2023-06-07,2023-12-18,,2a7f3bcc6e11d26498059f6d47e921750cd8b472
zhourengui,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1304,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1304,closed,2023-06-05,2023-06-05,2023-06-05,79ec194fa6690e5caba58f5eca04e6748394bb6b
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1302,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1302,closed,2023-05-31,2023-05-31,2023-05-31,a55d3df925e39c77f4e63c91a4411bb72ff39a77
krille-chan,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1293,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1293,closed,2023-05-26,2023-06-02,,f28c3d048bbdaff58213f01546fb3db3e9a1d7f2
nico-famedly,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1281,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1281,closed,2023-05-22,2023-05-23,2023-05-23,496d1aa8e655891d2f597c5e4d7e92057801d815
arjanmels,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1278,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1278,closed,2023-05-20,2023-05-25,2023-05-23,6350f02354b7de601ce294123717e2051be97eee
arjanmels,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1276,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1276,closed,2023-05-19,2023-05-26,2023-05-26,a380ebc4cbf15494e3a72726c36998b8fca6029d
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1273,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1273,closed,2023-05-18,2023-05-18,2023-05-18,27e33a955e872d47306db9480f74f6da2e9a028a
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1270,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1270,closed,2023-05-16,2023-05-23,2023-05-23,d7091990d193e892e2f782ac8d91fc0326aff4bc
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1269,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1269,closed,2023-05-16,2023-05-16,2023-05-16,1715cdcdeb826a50057e249bf4133391337ee41e
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1267,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1267,closed,2023-05-16,2023-05-16,2023-05-16,cc00406b1d0c115e5c66dd4bdfb40db32496f55f
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1266,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1266,closed,2023-05-15,2023-05-15,2023-05-15,fe896de5ed8b79425bb33800a26fa4ac328057fe
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1265,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1265,closed,2023-05-15,2023-05-16,2023-05-15,d7247cb303c25d0011f85f9b2d3687924de3d83d
Sub6Resources,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1264,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1264,closed,2023-05-15,2023-05-15,2023-05-15,2ffa1ddabb3f2a660ab85c551255b89fe8a24ab5
arjanmels,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1260,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1260,closed,2023-05-12,2023-05-12,,232abd97870581ea7cf71e58455e8374218127fb
arjanmels,https://api.github.com/repos/Sub6Resources/flutter_html/pulls/1259,https://api.github.com/repos/Sub6Resources/flutter_html/issues/1259,closed,2023-05-12,2023-05-16,2023-05-16,6a83e459a8c7a811e1a6a1c641582826bf1ecbe5
