user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
andrewharvey,https://api.github.com/repos/Turfjs/turf/pulls/2583,https://api.github.com/repos/Turfjs/turf/issues/2583,open,2024-02-28,2024-02-28,,7a2127893e7d90f654e43d198b233ad4fc076dc4
twelch,https://api.github.com/repos/Turfjs/turf/pulls/2576,https://api.github.com/repos/Turfjs/turf/issues/2576,closed,2024-02-02,2024-02-03,2024-02-03,876702a454d5d085d6e1e54ae286c2b5bc08f584
andrewharvey,https://api.github.com/repos/Turfjs/turf/pulls/2574,https://api.github.com/repos/Turfjs/turf/issues/2574,open,2024-01-31,2024-02-14,,1a4850f1eab4847ada0702beefa773734f4362b8
Leffe108,https://api.github.com/repos/Turfjs/turf/pulls/2573,https://api.github.com/repos/Turfjs/turf/issues/2573,open,2024-01-20,2024-02-29,,1147359c021d4df43858c306b63affe6631a9987
dependabot[bot],https://api.github.com/repos/Turfjs/turf/pulls/2572,https://api.github.com/repos/Turfjs/turf/issues/2572,closed,2024-01-17,2024-01-17,2024-01-17,251b645e42e926eb2791e38a6d3b2746e8505563
mfedderly,https://api.github.com/repos/Turfjs/turf/pulls/2571,https://api.github.com/repos/Turfjs/turf/issues/2571,closed,2024-01-17,2024-01-17,2024-01-17,08576cb50376e0199aea02dbd887e3af83672246
dependabot[bot],https://api.github.com/repos/Turfjs/turf/pulls/2566,https://api.github.com/repos/Turfjs/turf/issues/2566,closed,2024-01-11,2024-01-17,,ebc4a2cc9ed708a75b78e137936942d056d2739e
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2565,https://api.github.com/repos/Turfjs/turf/issues/2565,open,2024-01-10,2024-02-21,,28fc11c4df3b77354a7e5bc7d94df082448898e0
superDoss,https://api.github.com/repos/Turfjs/turf/pulls/2563,https://api.github.com/repos/Turfjs/turf/issues/2563,open,2024-01-01,2024-01-01,,bfbb0941c66c38b9d47e455adc3026cca471fc77
mfedderly,https://api.github.com/repos/Turfjs/turf/pulls/2562,https://api.github.com/repos/Turfjs/turf/issues/2562,closed,2023-12-30,2023-12-30,2023-12-30,1411d63a74c275c9216fe48e9d3cb2d48a359068
mfedderly,https://api.github.com/repos/Turfjs/turf/pulls/2561,https://api.github.com/repos/Turfjs/turf/issues/2561,closed,2023-12-26,2023-12-26,2023-12-26,e455f4ff617d0bedbf75001081b3c009c0ffa29e
mfedderly,https://api.github.com/repos/Turfjs/turf/pulls/2560,https://api.github.com/repos/Turfjs/turf/issues/2560,closed,2023-12-24,2023-12-30,2023-12-30,135b89890bc7beea22d39fbeb9100ef2a8c85fea
mfedderly,https://api.github.com/repos/Turfjs/turf/pulls/2557,https://api.github.com/repos/Turfjs/turf/issues/2557,closed,2023-12-19,2023-12-20,2023-12-19,0baf26e18772a4f27c1359e72a564bc2a0621549
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2555,https://api.github.com/repos/Turfjs/turf/issues/2555,closed,2023-12-17,2023-12-18,2023-12-18,4ea81e6b962145f6680f4e7cfac853cd355c5308
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2551,https://api.github.com/repos/Turfjs/turf/issues/2551,closed,2023-12-07,2023-12-17,,d36d2d896db8446b5587c34288e3811dd313b0ca
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2550,https://api.github.com/repos/Turfjs/turf/issues/2550,closed,2023-12-01,2023-12-09,2023-12-05,d83e5801ac9d8bba237501668fa1a86a15a377bd
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2543,https://api.github.com/repos/Turfjs/turf/issues/2543,closed,2023-11-25,2023-12-12,2023-11-28,66f9b2d26d304e4dc9cc2d59e720bcb6236a428c
dependabot[bot],https://api.github.com/repos/Turfjs/turf/pulls/2536,https://api.github.com/repos/Turfjs/turf/issues/2536,closed,2023-11-10,2023-11-10,2023-11-10,a5f149529c179048f7568266a02bd9610483e6c4
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2532,https://api.github.com/repos/Turfjs/turf/issues/2532,closed,2023-11-09,2023-11-11,2023-11-10,948f57e8c6407ea3591b3e09481e073a916a872d
solarissmoke,https://api.github.com/repos/Turfjs/turf/pulls/2531,https://api.github.com/repos/Turfjs/turf/issues/2531,closed,2023-11-09,2023-12-22,2023-12-22,d0f5cd76ccf91e8bcc004172a5ced71d0f2bb879
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2528,https://api.github.com/repos/Turfjs/turf/issues/2528,closed,2023-11-02,2023-11-03,2023-11-03,6cb60c951d6424de378af57455816331ef9c89de
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2527,https://api.github.com/repos/Turfjs/turf/issues/2527,closed,2023-11-01,2023-11-09,2023-11-09,ef8b90435a183904861de4cc75ce836924c3e205
smallsaucepan,https://api.github.com/repos/Turfjs/turf/pulls/2525,https://api.github.com/repos/Turfjs/turf/issues/2525,closed,2023-10-27,2023-11-02,2023-11-02,a8de40ddb435405ec0d9cb003e487f71f1cb94af
