user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ximinez,https://api.github.com/repos/XRPLF/rippled/pulls/4942,https://api.github.com/repos/XRPLF/rippled/issues/4942,open,2024-03-06,2024-03-06,,903cd93572e8a61d621453db86bd1f1f26bdf3df
legleux,https://api.github.com/repos/XRPLF/rippled/pulls/4940,https://api.github.com/repos/XRPLF/rippled/issues/4940,open,2024-03-06,2024-03-06,,09a3a97f5e78e647abfec22ff88e52c507804f90
gregtatcam,https://api.github.com/repos/XRPLF/rippled/pulls/4939,https://api.github.com/repos/XRPLF/rippled/issues/4939,closed,2024-03-06,2024-03-06,2024-03-06,c28e005087bb43040d769f5ff72c44552e90d618
thejohnfreeman,https://api.github.com/repos/XRPLF/rippled/pulls/4938,https://api.github.com/repos/XRPLF/rippled/issues/4938,open,2024-03-01,2024-03-01,,0eda05b0325dde83dd0e966794e6f0286bb73005
seelabs,https://api.github.com/repos/XRPLF/rippled/pulls/4935,https://api.github.com/repos/XRPLF/rippled/issues/4935,closed,2024-02-29,2024-02-29,2024-02-29,97863e0b626aa34d6cba09a7074b7f6c08832f48
ckeshava,https://api.github.com/repos/XRPLF/rippled/pulls/4934,https://api.github.com/repos/XRPLF/rippled/issues/4934,open,2024-02-28,2024-02-29,,48b7e003616a858aee38598f8d6fcad3440133bf
seelabs,https://api.github.com/repos/XRPLF/rippled/pulls/4933,https://api.github.com/repos/XRPLF/rippled/issues/4933,open,2024-02-27,2024-02-28,,19a3845cb4809528964fccc79628e039fc115ec5
gregtatcam,https://api.github.com/repos/XRPLF/rippled/pulls/4932,https://api.github.com/repos/XRPLF/rippled/issues/4932,closed,2024-02-27,2024-02-28,2024-02-28,8a2f6bec33c6a250a6f5793a45c87e320e446214
intelliot,https://api.github.com/repos/XRPLF/rippled/pulls/4931,https://api.github.com/repos/XRPLF/rippled/issues/4931,open,2024-02-26,2024-03-01,,55fb7d171be60a0237e35c521d49928b167e5cc8
ximinez,https://api.github.com/repos/XRPLF/rippled/pulls/4927,https://api.github.com/repos/XRPLF/rippled/issues/4927,open,2024-02-23,2024-03-06,,95a2a73255c137a84e6192ab4fe644c515347073
