user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/209,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/209,closed,2023-05-15,2023-05-15,2023-05-15,3d590f67dab6256cc56450e1f2cfdf82f3521660
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/208,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/208,closed,2023-05-14,2023-05-14,2023-05-14,e3b48f0080c6b5bac73d1bb0c0f6735ec769f994
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/207,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/207,closed,2023-05-14,2023-05-14,2023-05-14,c1a253610c81cf4aa1d9b29190e8c39bd70967d6
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/206,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/206,closed,2023-05-14,2023-05-18,2023-05-14,566a6b129db689ab75be017d7ddd50b679f56944
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/203,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/203,open,2023-01-04,2023-01-04,,5657094ba54e1c5e19182c28c48ba9169903c2f2
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/202,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/202,open,2022-12-10,2022-12-10,,a20d14f69928b01166d03285316b4d484110e82c
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/201,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/201,open,2022-12-09,2022-12-09,,e8dfbaa242fa06da1dffc43ade554628d44072a3
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/200,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/200,open,2022-12-03,2022-12-03,,95436f757264a82a698de7953f7a38804036c9be
tkriplean,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/198,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/198,closed,2022-09-16,2022-09-19,2022-09-19,5744025bb9f9d657b1999c32ef9871703c5d6ab7
rschristian,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/195,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/195,closed,2022-09-03,2022-09-04,2022-09-04,ad1b4ce82d74cc4211ac68a96f697bb16629c9c5
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/191,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/191,open,2022-06-01,2022-06-01,,b150d6e28ae09db40280afc319b3eaec2789d76a
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/190,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/190,closed,2022-05-13,2022-05-13,2022-05-13,abba64f1f01639587c8a17aa8a8b900ebbbf1b7f
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/189,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/189,open,2022-05-13,2022-05-13,,29300965f4374539c57010470ce45e7601107bc4
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/188,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/188,closed,2022-05-13,2022-05-13,2022-05-13,3b3c0bd78bdae97f240dadcd17fa3fbeb87a767f
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/186,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/186,closed,2022-04-28,2022-05-13,2022-05-13,62a7b0d114a3e84aec6ada4d4412ffae05f400aa
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/185,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/185,closed,2022-04-10,2022-05-13,2022-05-13,e4b276202b4621037b78e63433577ec22568c71f
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/183,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/183,closed,2022-02-26,2022-05-13,2022-05-13,621eeb8a82a58970ade2e7c6f4e5cd3bc598c7f8
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/181,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/181,closed,2022-02-18,2022-02-26,,c3ce79e9b886064f7108ee90156b1fb2a0258a44
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/180,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/180,closed,2022-02-12,2022-05-13,2022-05-13,d0247f84120b910fc3e6c287977e86eda6ebc372
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/179,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/179,closed,2022-02-11,2022-05-13,2022-05-13,fd7fd366bb119627f4de57c3c3dbe94a6312f5ee
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/178,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/178,closed,2022-01-13,2022-02-12,,dc1b1d85e9522446b36bd68afcbabc594f111358
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/177,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/177,closed,2021-11-21,2021-11-21,2021-11-21,b918aaf0d35550a81088f8a736459ba36abaf108
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/176,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/176,closed,2021-11-21,2021-11-21,2021-11-21,d8b87804d8884ad045a0e0927eec4d6efca3fe38
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/173,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/173,closed,2021-10-22,2021-11-21,2021-11-21,16904487ade26cbe3da3351b6ae96d58c952f087
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/172,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/172,closed,2021-10-22,2021-11-21,2021-11-21,514491367f1b434ec40dcf94ee5ce836d1304ca3
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/171,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/171,closed,2021-10-22,2021-11-21,2021-11-21,287170c0ed194d0fdf1745543f37348eb75eae83
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/170,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/170,closed,2021-10-05,2021-10-22,2021-10-22,c1fe67355a17d5b6dc91a30c469b9b22f14b5fae
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/168,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/168,closed,2021-09-21,2021-10-22,2021-10-22,b82ad8ce8997a845786d4b82395baec54bf7f2b6
neolivz,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/167,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/167,closed,2021-09-09,2021-11-21,,
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/166,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/166,closed,2021-08-31,2021-10-22,2021-10-22,db101c90686ea1ca674d42a94223cdb3bbed126e
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/164,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/164,closed,2021-08-11,2021-11-21,2021-11-21,07edbc89584b3e3f5993e5b8d86ee3eb261a1829
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/163,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/163,closed,2021-08-03,2021-08-31,,c28d6081bfe20b7e0d557ae7ce2631322fd786ad
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/158,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/158,closed,2021-06-08,2021-11-21,2021-11-21,062af8679fa3b9efc6aef8e1dc633ae36a5b6725
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/157,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/157,closed,2021-05-27,2021-11-21,2021-11-21,c4e4badf066f0832d9c3dbbd474ebd81f3bb908e
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/153,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/153,closed,2021-05-10,2021-11-21,2021-11-21,9b2ef9638e2584ded70fca14643454c363d2274e
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/152,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/152,closed,2021-05-07,2021-10-05,,72e9e0189a50359b9789cd7abcdad16ab468f98d
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/150,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/150,closed,2021-04-19,2021-11-21,2021-11-21,dcc8d90dad4bda842fc0bea6e39d110ec503bd1a
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/148,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/148,closed,2021-03-30,2021-03-31,2021-03-31,1b55fea0da6caccb48974c1e11277ac593657994
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/147,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/147,closed,2021-03-12,2021-11-21,2021-11-21,2f561d976c642eca3757e094630f320dca086b9d
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/146,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/146,closed,2021-03-09,2021-11-21,2021-11-21,3213f7c1914e60e0bfbe61a6043e937902629da4
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/143,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/143,closed,2020-12-22,2021-01-02,2021-01-02,40897da0807f26ededab2991ff5639a693fa9952
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/142,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/142,closed,2020-12-11,2021-01-02,2021-01-02,83c69c2dbbfa79274a40d3afc7c6f619b8c15ff2
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/139,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/139,closed,2020-10-16,2020-10-17,2020-10-17,7fa9000d11c522a8d3efed0afccc5850787878d4
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/136,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/136,closed,2020-09-12,2020-09-13,2020-09-13,e20b7e16ecda974174f14f7455985c56c45f93b8
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/135,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/135,closed,2020-09-06,2020-09-06,2020-09-06,4942fd1825f8ad43367cb0316cdac83d37d3e9e4
morgs32,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/134,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/134,closed,2020-08-11,2020-11-05,,203ecbb25c03f9e165a08e859893cd9b202ea4de
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/133,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/133,closed,2020-07-30,2020-09-06,2020-09-06,588e611d2121c57f8c8fdcd62ba642b6efd8e5d6
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/132,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/132,closed,2020-07-08,2020-07-08,2020-07-08,eb8081e36c6517092b9bb84f6061c0952052d03d
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/131,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/131,closed,2020-07-07,2020-07-11,2020-07-11,da6bc95e4217ab3b3b6ea7962ee16310e18f3018
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/123,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/123,closed,2020-06-06,2020-06-11,,062db7de3eb75b00f2cb5ee59bab8622a49eccbc
aholachek,https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/122,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/122,closed,2020-05-30,2020-05-30,2020-05-30,301bbe0898bc16903899716c522f19fd3db3a133
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/116,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/116,closed,2020-04-16,2020-05-04,2020-05-04,a22badc9bc05f0383e0ede66c32af2fbb3d3ee2d
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/115,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/115,closed,2020-04-04,2020-04-16,2020-04-16,7a52ac06a0830644ac1e9f22c359e81403781f09
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/113,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/113,closed,2020-02-17,2020-02-17,2020-02-17,81b30e3a8a1f2e5994a34ad7fb625ed285a9661f
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/112,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/112,closed,2020-02-17,2020-02-17,2020-02-17,3540fd00a0d8c8c3bc65eb2572506f4335156277
dependabot[bot],https://api.github.com/repos/aholachek/react-flip-toolkit/pulls/111,https://api.github.com/repos/aholachek/react-flip-toolkit/issues/111,closed,2020-02-17,2020-02-17,,32c13488999a7067edb703ce28f1511c2d785fc4
