user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
willyborn,https://api.github.com/repos/arrayfire/arrayfire/pulls/3538,https://api.github.com/repos/arrayfire/arrayfire/issues/3538,open,2024-02-28,2024-02-28,,2f09964deb973be3f617fd93d5ff1f1936b5f3df
frasercrmck,https://api.github.com/repos/arrayfire/arrayfire/pulls/3535,https://api.github.com/repos/arrayfire/arrayfire/issues/3535,open,2024-02-21,2024-02-21,,b127f68945741f8a5ab47ec65d47120bf6deb11f
edwinsolisf,https://api.github.com/repos/arrayfire/arrayfire/pulls/3530,https://api.github.com/repos/arrayfire/arrayfire/issues/3530,open,2024-01-10,2024-02-05,,fefc8daa2a3f886774ff770206518be4a659599a
errata-c,https://api.github.com/repos/arrayfire/arrayfire/pulls/3521,https://api.github.com/repos/arrayfire/arrayfire/issues/3521,open,2023-11-05,2023-11-05,,485a9427b5f6cbafc7b19b816fc01320e21e8328
errata-c,https://api.github.com/repos/arrayfire/arrayfire/pulls/3520,https://api.github.com/repos/arrayfire/arrayfire/issues/3520,open,2023-11-04,2023-11-04,,e87502f4b10d45607aa052ce3271cd715a8ca472
errata-c,https://api.github.com/repos/arrayfire/arrayfire/pulls/3519,https://api.github.com/repos/arrayfire/arrayfire/issues/3519,open,2023-10-31,2023-10-31,,e75e37375a757470bf3a831e3bfb6c43e49cbb82
errata-c,https://api.github.com/repos/arrayfire/arrayfire/pulls/3517,https://api.github.com/repos/arrayfire/arrayfire/issues/3517,open,2023-10-26,2023-10-31,,862f9750eec27a61ea6d9b0daba610feef59b043
umar456,https://api.github.com/repos/arrayfire/arrayfire/pulls/3514,https://api.github.com/repos/arrayfire/arrayfire/issues/3514,open,2023-10-17,2023-10-18,,8c7826dc09ceff8fbd49213bb45e7ed4c99a99a1
willyborn,https://api.github.com/repos/arrayfire/arrayfire/pulls/3513,https://api.github.com/repos/arrayfire/arrayfire/issues/3513,open,2023-10-15,2024-02-20,,8ec2ef8348516c99930db4db51562fe1d0daa57d
willyborn,https://api.github.com/repos/arrayfire/arrayfire/pulls/3512,https://api.github.com/repos/arrayfire/arrayfire/issues/3512,open,2023-10-15,2023-10-26,,d507053e6ae4c40824267b7181e01731a34735b1
umar456,https://api.github.com/repos/arrayfire/arrayfire/pulls/3510,https://api.github.com/repos/arrayfire/arrayfire/issues/3510,open,2023-10-05,2023-10-05,,5e785fb8fd28a4cbe40955a1368207c34afa7d64
melonakos,https://api.github.com/repos/arrayfire/arrayfire/pulls/3509,https://api.github.com/repos/arrayfire/arrayfire/issues/3509,closed,2023-10-04,2023-10-05,2023-10-05,4061db86e66306995175a14cf906c55c35373918
verstatx,https://api.github.com/repos/arrayfire/arrayfire/pulls/3508,https://api.github.com/repos/arrayfire/arrayfire/issues/3508,open,2023-10-04,2023-10-26,,5efa2f1a960002585afc03c7c2616fde870db309
verstatx,https://api.github.com/repos/arrayfire/arrayfire/pulls/3507,https://api.github.com/repos/arrayfire/arrayfire/issues/3507,open,2023-10-04,2023-11-05,,65014997925c09658d1c0c035d612af9583c469b
verstatx,https://api.github.com/repos/arrayfire/arrayfire/pulls/3503,https://api.github.com/repos/arrayfire/arrayfire/issues/3503,open,2023-09-22,2023-09-22,,93c6af9a90b8b030a50861c2a721d57ba3df1f27
umar456,https://api.github.com/repos/arrayfire/arrayfire/pulls/3498,https://api.github.com/repos/arrayfire/arrayfire/issues/3498,open,2023-08-30,2023-09-04,,84571ae039efe1249d1cd5a9af41946c7aeb4f72
