user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
lenville,https://api.github.com/repos/aui/art-template/pulls/632,https://api.github.com/repos/aui/art-template/issues/632,open,2021-01-09,2021-01-09,,bb19b3b5a04192fbc0f14cd52e6e9e97cc2b9592
yanhaijing,https://api.github.com/repos/aui/art-template/pulls/622,https://api.github.com/repos/aui/art-template/issues/622,closed,2020-07-24,2020-08-05,2020-08-05,71333a3a6df78f231cb5d795d13872bf4fcd52c2
yanhaijing,https://api.github.com/repos/aui/art-template/pulls/605,https://api.github.com/repos/aui/art-template/issues/605,closed,2019-10-18,2019-10-20,2019-10-20,8d685a64967f4b2f990f424e8edfb2dc81585e4c
ratson,https://api.github.com/repos/aui/art-template/pulls/584,https://api.github.com/repos/aui/art-template/issues/584,open,2019-05-08,2019-05-08,,f6f74868ddbc7904622ff824de7201537d7602f2
ratson,https://api.github.com/repos/aui/art-template/pulls/582,https://api.github.com/repos/aui/art-template/issues/582,open,2019-05-03,2019-05-03,,fabe9d9a72b507b294fa51095a319caff649877d
rpdg,https://api.github.com/repos/aui/art-template/pulls/569,https://api.github.com/repos/aui/art-template/issues/569,closed,2018-12-21,2019-01-01,2019-01-01,729447561d0fca865d2bb59424f2afbb0be005b0
aladdin-add,https://api.github.com/repos/aui/art-template/pulls/557,https://api.github.com/repos/aui/art-template/issues/557,closed,2018-10-22,2018-10-28,2018-10-25,70c588be51737b1dc98614f5bf12ab1627e907c5
foolishchow,https://api.github.com/repos/aui/art-template/pulls/523,https://api.github.com/repos/aui/art-template/issues/523,closed,2018-03-01,2018-03-01,2018-03-01,c74685ecb3bfabe70d7378ed30749d5255484fcb
yinheli,https://api.github.com/repos/aui/art-template/pulls/487,https://api.github.com/repos/aui/art-template/issues/487,closed,2017-10-19,2017-10-20,2017-10-19,0ba004aaff5e08c7a107fdaf1e4c3204d848f69e
achun,https://api.github.com/repos/aui/art-template/pulls/485,https://api.github.com/repos/aui/art-template/issues/485,closed,2017-10-17,2017-12-20,,a32f36316fd4dcf3ec7071031b7518117b14657c
aui,https://api.github.com/repos/aui/art-template/pulls/437,https://api.github.com/repos/aui/art-template/issues/437,closed,2017-06-29,2017-06-29,2017-06-29,de0f67da3705cc5619ee471f089f717036fe17d6
lvchenyang,https://api.github.com/repos/aui/art-template/pulls/416,https://api.github.com/repos/aui/art-template/issues/416,closed,2017-06-12,2017-06-12,2017-06-12,6f0ad7969d6becaa7d72b6956439d5a45b864028
Justinidlerz,https://api.github.com/repos/aui/art-template/pulls/383,https://api.github.com/repos/aui/art-template/issues/383,closed,2017-04-25,2017-04-25,,284c752d69c8f65266ab76291d42eaab335a6bb5
as3long,https://api.github.com/repos/aui/art-template/pulls/377,https://api.github.com/repos/aui/art-template/issues/377,closed,2017-04-22,2017-04-22,2017-04-22,aeda91d2791004ed81e67ef2180f658dc5d840b1
wendycan,https://api.github.com/repos/aui/art-template/pulls/364,https://api.github.com/repos/aui/art-template/issues/364,closed,2017-04-12,2017-04-12,,e958cde836d3fbf41d617aa1f905c5a59d36fa4b
