user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kdnakt,https://api.github.com/repos/aws/aws-lambda-go/pulls/551,https://api.github.com/repos/aws/aws-lambda-go/issues/551,closed,2024-01-30,2024-02-04,2024-02-04,de51f6811a68226f2238b77fd74b84df29c446f4
lyoung-confluent,https://api.github.com/repos/aws/aws-lambda-go/pulls/550,https://api.github.com/repos/aws/aws-lambda-go/issues/550,closed,2024-01-25,2024-01-29,2024-01-29,eae55b8c04c5836edbfc5135e17a758495183ff1
kdnakt,https://api.github.com/repos/aws/aws-lambda-go/pulls/548,https://api.github.com/repos/aws/aws-lambda-go/issues/548,open,2024-01-20,2024-02-10,,cf6990968b3e71928404f909c527ba279eecfd3b
lyoung-confluent,https://api.github.com/repos/aws/aws-lambda-go/pulls/546,https://api.github.com/repos/aws/aws-lambda-go/issues/546,closed,2024-01-11,2024-01-11,2024-01-11,3a93ed1e265b5e368f0d20c3a2b8395d2c9f787d
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/545,https://api.github.com/repos/aws/aws-lambda-go/issues/545,closed,2024-01-05,2024-01-06,2024-01-06,cce08455c22b1075be4476b32b4e9ee785c38abc
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/544,https://api.github.com/repos/aws/aws-lambda-go/issues/544,closed,2024-01-04,2024-01-25,2024-01-25,58da2cc62b9c3e4596d4fdbd7ba3cbbdcc77be5c
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/543,https://api.github.com/repos/aws/aws-lambda-go/issues/543,closed,2024-01-04,2024-01-06,2024-01-06,c5ef6f102099d5609798e2e40fa38dd2c787e32a
wafuwafu13,https://api.github.com/repos/aws/aws-lambda-go/pulls/541,https://api.github.com/repos/aws/aws-lambda-go/issues/541,closed,2023-12-21,2023-12-22,2023-12-22,f0792716d3cb62d45772c5523d7abcd2117ce8aa
AMZ-brandon,https://api.github.com/repos/aws/aws-lambda-go/pulls/540,https://api.github.com/repos/aws/aws-lambda-go/issues/540,closed,2023-12-20,2023-12-20,2023-12-20,c42f056212f972e36a1266130278ce5c4ce02b28
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/539,https://api.github.com/repos/aws/aws-lambda-go/issues/539,closed,2023-12-19,2023-12-19,2023-12-19,30d7c7eaf4349770050b8b4f524070bafcc091b0
AMZ-brandon,https://api.github.com/repos/aws/aws-lambda-go/pulls/538,https://api.github.com/repos/aws/aws-lambda-go/issues/538,closed,2023-12-19,2023-12-20,2023-12-20,326401a86d34ca38d254a3188248fbbad5e7fc08
mateusmarquezini,https://api.github.com/repos/aws/aws-lambda-go/pulls/537,https://api.github.com/repos/aws/aws-lambda-go/issues/537,closed,2023-12-17,2024-01-04,2024-01-04,50dbfb12d5bfc88c681a4b8d4fbea871f0b449e6
kdnakt,https://api.github.com/repos/aws/aws-lambda-go/pulls/536,https://api.github.com/repos/aws/aws-lambda-go/issues/536,closed,2023-12-17,2024-01-23,2024-01-06,501c2f378153015a4a72f0b1a8e89dcb0bd3762a
praveenk007,https://api.github.com/repos/aws/aws-lambda-go/pulls/531,https://api.github.com/repos/aws/aws-lambda-go/issues/531,closed,2023-11-08,2023-11-30,2023-11-30,0ad0619ae4891c6eb78c369aad2ee28c6004da24
gnusey,https://api.github.com/repos/aws/aws-lambda-go/pulls/530,https://api.github.com/repos/aws/aws-lambda-go/issues/530,closed,2023-11-03,2023-11-30,2023-11-30,2ff7818e086222b5ba93c4b2a1e325baa10b87be
dcu,https://api.github.com/repos/aws/aws-lambda-go/pulls/527,https://api.github.com/repos/aws/aws-lambda-go/issues/527,closed,2023-10-28,2023-10-30,,c697414683565bfb187182d1c9befe4e8dd434aa
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/526,https://api.github.com/repos/aws/aws-lambda-go/issues/526,closed,2023-10-26,2023-10-26,2023-10-26,c4e28da1c91b434c6486c1af10240a5d14551d99
RomainMuller,https://api.github.com/repos/aws/aws-lambda-go/pulls/524,https://api.github.com/repos/aws/aws-lambda-go/issues/524,open,2023-10-16,2023-11-30,,f33d5be972bd7c7d630ca68e5c54e7e25b5cc5c3
nmoutschen,https://api.github.com/repos/aws/aws-lambda-go/pulls/521,https://api.github.com/repos/aws/aws-lambda-go/issues/521,open,2023-09-27,2023-12-02,,2721e5e7d156e3357d480b24255812c5ad257037
luizarnoldch,https://api.github.com/repos/aws/aws-lambda-go/pulls/519,https://api.github.com/repos/aws/aws-lambda-go/issues/519,closed,2023-09-22,2023-11-02,,5cd6d628deacdda2ff9f9d2bdc26df65cb5557ff
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/516,https://api.github.com/repos/aws/aws-lambda-go/issues/516,closed,2023-08-21,2023-12-01,2023-12-01,752114b59f86409c6aa12fe64e340ab78e09084b
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/515,https://api.github.com/repos/aws/aws-lambda-go/issues/515,closed,2023-08-21,2023-11-30,2023-11-30,1dca0846776bc07dfc75c3cbbfd87f57ade77d1b
MatthewDolan,https://api.github.com/repos/aws/aws-lambda-go/pulls/513,https://api.github.com/repos/aws/aws-lambda-go/issues/513,closed,2023-07-19,2023-08-15,,f85ddcff79a9f61481f3a7b54c0ab3d30e5ace0e
cponfick,https://api.github.com/repos/aws/aws-lambda-go/pulls/511,https://api.github.com/repos/aws/aws-lambda-go/issues/511,closed,2023-06-30,2023-08-08,,fa78371ecaa7751aad1e90066a396775c0897921
milovacb,https://api.github.com/repos/aws/aws-lambda-go/pulls/506,https://api.github.com/repos/aws/aws-lambda-go/issues/506,closed,2023-04-24,2023-04-28,2023-04-28,771b391678d3f54bfa38531774d656f5e0f2ab58
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/503,https://api.github.com/repos/aws/aws-lambda-go/issues/503,closed,2023-04-18,2023-04-23,2023-04-23,5c6579ebe56132376bd42389abec5a6f2ab6f4a0
wafuwafu13,https://api.github.com/repos/aws/aws-lambda-go/pulls/502,https://api.github.com/repos/aws/aws-lambda-go/issues/502,closed,2023-04-16,2023-04-24,2023-04-24,14212e8e13229a26f000832d64fde260b906091f
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/501,https://api.github.com/repos/aws/aws-lambda-go/issues/501,closed,2023-04-12,2023-04-12,2023-04-12,81d63bd21219911099b1dd9a2b1e4d46d4a87288
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/499,https://api.github.com/repos/aws/aws-lambda-go/issues/499,closed,2023-04-08,2023-11-30,2023-11-30,110afe91c5cf9da81321510a2933828f08da1c9f
wafuwafu13,https://api.github.com/repos/aws/aws-lambda-go/pulls/497,https://api.github.com/repos/aws/aws-lambda-go/issues/497,closed,2023-04-08,2023-04-23,2023-04-23,dc78417f438ce979881ce017e90140bbc8c70022
wafuwafu13,https://api.github.com/repos/aws/aws-lambda-go/pulls/496,https://api.github.com/repos/aws/aws-lambda-go/issues/496,closed,2023-04-08,2023-11-30,,c151dc54bc9acf84cbe7dd4695f8fcc107c9ceeb
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/495,https://api.github.com/repos/aws/aws-lambda-go/issues/495,closed,2023-04-08,2023-04-11,2023-04-11,47e703d2e847ac749c61d0d44071fbe8323875e2
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/494,https://api.github.com/repos/aws/aws-lambda-go/issues/494,closed,2023-04-07,2023-04-11,2023-04-11,a660c212e15f13aebf6b33a94dd4951cd2cd3336
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/490,https://api.github.com/repos/aws/aws-lambda-go/issues/490,open,2023-03-22,2023-04-08,,8f79ab155c89a3bc021bdd820f53eb206656b9bb
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/489,https://api.github.com/repos/aws/aws-lambda-go/issues/489,closed,2023-03-22,2023-03-25,2023-03-22,caace586bdec3652223cc7761cc8c1c155a85601
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/488,https://api.github.com/repos/aws/aws-lambda-go/issues/488,closed,2023-03-22,2023-03-22,2023-03-22,d00ce2ee07793d040d4ce110028bc8cb8accbb79
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/487,https://api.github.com/repos/aws/aws-lambda-go/issues/487,closed,2023-03-22,2023-03-25,2023-03-22,57ad85c102a39e382a143d6e0cdaafacaa6d8ddb
guiminyao,https://api.github.com/repos/aws/aws-lambda-go/pulls/486,https://api.github.com/repos/aws/aws-lambda-go/issues/486,closed,2023-03-22,2023-03-22,2023-03-22,96851ae1e5fc0ff98cd4d809b301310ce79c40f8
karl-dau,https://api.github.com/repos/aws/aws-lambda-go/pulls/483,https://api.github.com/repos/aws/aws-lambda-go/issues/483,closed,2023-02-27,2023-03-02,2023-03-02,3dedc3285b5533729a20927fbf0fea1f1a167747
nickryand,https://api.github.com/repos/aws/aws-lambda-go/pulls/481,https://api.github.com/repos/aws/aws-lambda-go/issues/481,closed,2023-02-13,2023-03-30,2023-03-30,6645426102a7bf0994100decdc1de6811d04a4fa
FlowingSPDG,https://api.github.com/repos/aws/aws-lambda-go/pulls/477,https://api.github.com/repos/aws/aws-lambda-go/issues/477,closed,2022-12-26,2023-01-17,,58c3f11bfc4e8191dd7d65649651db51d4440089
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/476,https://api.github.com/repos/aws/aws-lambda-go/issues/476,closed,2022-12-22,2022-12-23,2022-12-23,99a9a4bd72b603da8d75d74d77937c146fed0b7c
shogo82148,https://api.github.com/repos/aws/aws-lambda-go/pulls/475,https://api.github.com/repos/aws/aws-lambda-go/issues/475,closed,2022-12-21,2022-12-22,2022-12-22,ad74310fc14bbaeecde5c9a4acbdea7b8122c730
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/473,https://api.github.com/repos/aws/aws-lambda-go/issues/473,closed,2022-12-04,2022-12-04,2022-12-04,65f8ccdbcd79184b0b71c622a31328b87e07e2e4
bmoffatt,https://api.github.com/repos/aws/aws-lambda-go/pulls/472,https://api.github.com/repos/aws/aws-lambda-go/issues/472,closed,2022-11-17,2023-03-25,2022-12-23,c80f8acaf83eacfe864bb8dfa361bcd4d8c6f2fd
lohithpc1,https://api.github.com/repos/aws/aws-lambda-go/pulls/470,https://api.github.com/repos/aws/aws-lambda-go/issues/470,closed,2022-11-08,2022-11-16,2022-11-16,666b0d8a6beef69780e0bb63c2ef019857a36f93
logandavies181,https://api.github.com/repos/aws/aws-lambda-go/pulls/468,https://api.github.com/repos/aws/aws-lambda-go/issues/468,closed,2022-11-03,2022-12-04,2022-12-04,858a4cf08d6557c707bb18a37c23e3075bfb2fb0
ThomasP1988,https://api.github.com/repos/aws/aws-lambda-go/pulls/467,https://api.github.com/repos/aws/aws-lambda-go/issues/467,closed,2022-10-30,2023-01-05,,97296627e4b74fe1f8f26242658d2259a1e23bb0
0xfourzerofour,https://api.github.com/repos/aws/aws-lambda-go/pulls/465,https://api.github.com/repos/aws/aws-lambda-go/issues/465,closed,2022-08-26,2022-11-17,,109f0d0ffa17614f17fca73e289a9f260902b1d7
