user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3328,https://api.github.com/repos/azkaban/azkaban/issues/3328,open,2023-09-08,2023-09-12,,b5d60a6be06835f96ca348976166866e05aa0576
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3327,https://api.github.com/repos/azkaban/azkaban/issues/3327,open,2023-08-31,2023-09-08,,45615fa7ef158e2883e12f10effb6be5490841cb
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3326,https://api.github.com/repos/azkaban/azkaban/issues/3326,closed,2023-08-29,2023-08-29,2023-08-29,6db750049f6fdf7842e18b8d533a3b736429bdf4
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3325,https://api.github.com/repos/azkaban/azkaban/issues/3325,closed,2023-08-28,2023-08-28,2023-08-28,bfeead7369fedc95b5ec80194b7f4510c1417632
tsangz2013,https://api.github.com/repos/azkaban/azkaban/pulls/3324,https://api.github.com/repos/azkaban/azkaban/issues/3324,closed,2023-08-10,2023-08-11,2023-08-11,f53e875ec02b260f549e479c2b10e6f7a7b7ccb6
tsangz2013,https://api.github.com/repos/azkaban/azkaban/pulls/3323,https://api.github.com/repos/azkaban/azkaban/issues/3323,closed,2023-08-09,2023-08-11,2023-08-11,121bacb9ebcbe43cddcbf9fd6e51f340f0d158b0
tsangz2013,https://api.github.com/repos/azkaban/azkaban/pulls/3322,https://api.github.com/repos/azkaban/azkaban/issues/3322,closed,2023-08-08,2023-08-08,,258091a4230ba2478bff93c93298fd5eb094ef9c
byjiang1996,https://api.github.com/repos/azkaban/azkaban/pulls/3321,https://api.github.com/repos/azkaban/azkaban/issues/3321,closed,2023-08-07,2023-08-08,2023-08-08,8d90339dc6490fb5fb7899165e3c93ab072d652a
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3320,https://api.github.com/repos/azkaban/azkaban/issues/3320,closed,2023-08-03,2023-08-08,2023-08-08,284e8bf518239bf391a3f298fd3c881b070e2035
ShellyWEI,https://api.github.com/repos/azkaban/azkaban/pulls/3319,https://api.github.com/repos/azkaban/azkaban/issues/3319,closed,2023-07-19,2023-07-24,2023-07-24,7b1f9a6a21e792190f57e27b66b5e5ef1073cdab
tsangz2013,https://api.github.com/repos/azkaban/azkaban/pulls/3318,https://api.github.com/repos/azkaban/azkaban/issues/3318,closed,2023-07-19,2023-07-31,2023-07-31,839965af353368824435254f1b23b00e9937c24a
SilhDing,https://api.github.com/repos/azkaban/azkaban/pulls/3317,https://api.github.com/repos/azkaban/azkaban/issues/3317,closed,2023-07-18,2023-07-20,2023-07-20,2a320e7de5da23eb2fed1ad5354299a889e2f7b4
SilhDing,https://api.github.com/repos/azkaban/azkaban/pulls/3316,https://api.github.com/repos/azkaban/azkaban/issues/3316,closed,2023-07-18,2023-07-18,,7e1ec479377c8faf7a22c81f2d962db8c53f15ed
SilhDing,https://api.github.com/repos/azkaban/azkaban/pulls/3315,https://api.github.com/repos/azkaban/azkaban/issues/3315,closed,2023-07-18,2023-07-18,,8d129077f34480d9ba50607ef47cb5c91c79be5e
tsangz2013,https://api.github.com/repos/azkaban/azkaban/pulls/3311,https://api.github.com/repos/azkaban/azkaban/issues/3311,closed,2023-07-12,2023-07-14,2023-07-14,5b2206b4d421515ce31df969dfb749f678c8bc41
