user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1992,https://api.github.com/repos/blevesearch/bleve/issues/1992,closed,2024-02-23,2024-02-23,2024-02-23,d28098a2e995900dbf361d0195f32c909422971c
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1991,https://api.github.com/repos/blevesearch/bleve/issues/1991,closed,2024-02-22,2024-02-22,2024-02-22,dd801ce5a88b8c609d6f4d645b3e8f3647729b31
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1990,https://api.github.com/repos/blevesearch/bleve/issues/1990,closed,2024-02-21,2024-02-21,2024-02-21,07ed59b60bf4fdc29203d4cee957c3661984dc76
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1989,https://api.github.com/repos/blevesearch/bleve/issues/1989,closed,2024-02-20,2024-02-20,2024-02-20,9d2f1beb42d752cf222478490d85ba9a48dd93b1
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1988,https://api.github.com/repos/blevesearch/bleve/issues/1988,closed,2024-02-15,2024-02-15,2024-02-15,2d3c3ebf7a5ba1f75dd3c91442258f11966c5950
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1987,https://api.github.com/repos/blevesearch/bleve/issues/1987,closed,2024-02-15,2024-02-15,2024-02-15,17d63d4bdc6f69fe90aba2c465c60c82019107cb
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1986,https://api.github.com/repos/blevesearch/bleve/issues/1986,closed,2024-02-13,2024-02-13,2024-02-13,f8af28e0a42e42a31d71521352b92017df9f842b
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1985,https://api.github.com/repos/blevesearch/bleve/issues/1985,closed,2024-02-13,2024-02-13,2024-02-13,8b9206aeab25345080a3ef9616e29921c25112f7
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1984,https://api.github.com/repos/blevesearch/bleve/issues/1984,closed,2024-02-12,2024-02-12,2024-02-12,3546ac3ba72ee175d86e7675fdbe1c008965cfd9
mjholub,https://api.github.com/repos/blevesearch/bleve/pulls/1983,https://api.github.com/repos/blevesearch/bleve/issues/1983,open,2024-02-11,2024-02-13,,991757589db2afe8ac0f4791d1af6a8dc622427b
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1982,https://api.github.com/repos/blevesearch/bleve/issues/1982,closed,2024-02-08,2024-02-08,2024-02-08,5f0a6a15410eea969a538ba8fff3bf9ae56866b5
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1981,https://api.github.com/repos/blevesearch/bleve/issues/1981,closed,2024-02-08,2024-02-08,2024-02-08,393b204021bb66d8fb66b9f48b9904cb888bea49
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1980,https://api.github.com/repos/blevesearch/bleve/issues/1980,open,2024-02-07,2024-02-13,,86000ea9666fbd4aedf3950a71c24148b9041a67
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1979,https://api.github.com/repos/blevesearch/bleve/issues/1979,closed,2024-02-06,2024-02-06,2024-02-06,147b497b0f2db496cf61cb34c0788e905ceee154
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1978,https://api.github.com/repos/blevesearch/bleve/issues/1978,closed,2024-02-05,2024-02-05,2024-02-05,d5ac1b95980438ccc6e547c9b2bcf96a7b84bc93
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1977,https://api.github.com/repos/blevesearch/bleve/issues/1977,closed,2024-02-05,2024-02-05,2024-02-05,9e0fd9bc1fc1064f70dd70ad6ccd7f4e11d3d82b
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1976,https://api.github.com/repos/blevesearch/bleve/issues/1976,closed,2024-02-02,2024-02-05,2024-02-05,6418ceb744745570a3dfce07887e0bbedbaf1e79
Likith101,https://api.github.com/repos/blevesearch/bleve/pulls/1975,https://api.github.com/repos/blevesearch/bleve/issues/1975,open,2024-02-02,2024-02-27,,8c38bf077cfbc823c8b3e1e39f5ca0074385c1b4
Thejas-bhat,https://api.github.com/repos/blevesearch/bleve/pulls/1974,https://api.github.com/repos/blevesearch/bleve/issues/1974,closed,2024-02-01,2024-02-02,,fe1974341212bde324467a272bcc1316f98a9ee6
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1973,https://api.github.com/repos/blevesearch/bleve/issues/1973,closed,2024-01-31,2024-01-31,2024-01-31,d78621debf4d533c979ba862f7396279e2c6887f
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1972,https://api.github.com/repos/blevesearch/bleve/issues/1972,closed,2024-01-30,2024-01-30,2024-01-30,381a839b311df73e5a235d2369f2c47c98eceec9
metonymic-smokey,https://api.github.com/repos/blevesearch/bleve/pulls/1971,https://api.github.com/repos/blevesearch/bleve/issues/1971,open,2024-01-25,2024-02-13,,eb3f13f43af2c2bd99496e2f8464a38068d7db8e
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1970,https://api.github.com/repos/blevesearch/bleve/issues/1970,closed,2024-01-23,2024-01-30,2024-01-30,d78f43e940e427d42a3a468cec43632f45b31de3
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1968,https://api.github.com/repos/blevesearch/bleve/issues/1968,closed,2024-01-18,2024-01-18,2024-01-18,9ffb0ea9bebf2d983b127f54e9e36dfc374ef4f2
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1967,https://api.github.com/repos/blevesearch/bleve/issues/1967,closed,2024-01-18,2024-01-18,2024-01-18,4d242c485a1206be8a7d8d40e4a2600664abea6f
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1966,https://api.github.com/repos/blevesearch/bleve/issues/1966,closed,2024-01-16,2024-01-16,2024-01-16,a41da631b62daa3149c2991a10cba99745df92fc
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1965,https://api.github.com/repos/blevesearch/bleve/issues/1965,closed,2024-01-16,2024-01-16,2024-01-16,2708ae680da3d4f8980707ee285f181f0abcf242
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1964,https://api.github.com/repos/blevesearch/bleve/issues/1964,closed,2024-01-15,2024-01-15,2024-01-15,256d0d0b58cf8b5ab19a2d031cffc4dc17a4c7f8
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1962,https://api.github.com/repos/blevesearch/bleve/issues/1962,closed,2024-01-12,2024-01-12,2024-01-12,79c327f843a4d9548e30051702476cea19371301
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1961,https://api.github.com/repos/blevesearch/bleve/issues/1961,closed,2024-01-11,2024-01-12,2024-01-12,c2270836a34320313a8b432a6a964ce9c4fb6eb6
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1960,https://api.github.com/repos/blevesearch/bleve/issues/1960,closed,2024-01-10,2024-01-10,2024-01-10,473beac8c5eb902089fdd2cb67a65cbcc19d5df7
metonymic-smokey,https://api.github.com/repos/blevesearch/bleve/pulls/1959,https://api.github.com/repos/blevesearch/bleve/issues/1959,closed,2024-01-09,2024-01-17,2024-01-17,d11e8441fa13a2cd01d71d8cced8cd82744bac1d
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1958,https://api.github.com/repos/blevesearch/bleve/issues/1958,closed,2024-01-09,2024-01-10,2024-01-10,c12120063a25a800d2de9357a25a55b52ec1a3f5
svera,https://api.github.com/repos/blevesearch/bleve/pulls/1957,https://api.github.com/repos/blevesearch/bleve/issues/1957,closed,2024-01-08,2024-01-10,2024-01-10,5f1f45a5c32a140546e247ba91e7250de247adf9
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1955,https://api.github.com/repos/blevesearch/bleve/issues/1955,closed,2024-01-05,2024-01-05,2024-01-05,9587426ab7ec2ce478c35eb50dcc8e0ed55cffc5
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1954,https://api.github.com/repos/blevesearch/bleve/issues/1954,closed,2024-01-05,2024-01-05,2024-01-05,b37cb2bf9a326409521f59247f756385060776d7
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1953,https://api.github.com/repos/blevesearch/bleve/issues/1953,closed,2024-01-05,2024-01-05,2024-01-05,80aa03f0008ddaa20bbe094fd47ee7fe46a7d6ca
abhinavdangeti,https://api.github.com/repos/blevesearch/bleve/pulls/1952,https://api.github.com/repos/blevesearch/bleve/issues/1952,closed,2024-01-02,2024-01-02,2024-01-02,8b53d5ede1dbadf13e2b46527d38075ae29cd079
Thejas-bhat,https://api.github.com/repos/blevesearch/bleve/pulls/1951,https://api.github.com/repos/blevesearch/bleve/issues/1951,closed,2023-12-22,2023-12-22,2023-12-22,cf9591e8ac3bd6fa22989bbe02cc663b4db89952
moshaad7,https://api.github.com/repos/blevesearch/bleve/pulls/1950,https://api.github.com/repos/blevesearch/bleve/issues/1950,closed,2023-12-21,2024-02-13,2023-12-21,33acfd6bfe6fa70e4985a718342a450d0ee4e570
moshaad7,https://api.github.com/repos/blevesearch/bleve/pulls/1949,https://api.github.com/repos/blevesearch/bleve/issues/1949,closed,2023-12-21,2024-02-13,,7376c889857b8d99790caf1681f568ffb393d421
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1948,https://api.github.com/repos/blevesearch/bleve/issues/1948,closed,2023-12-21,2023-12-22,2023-12-22,91990603ab63e5c4ac7d9204254431b25d69dba5
moshaad7,https://api.github.com/repos/blevesearch/bleve/pulls/1946,https://api.github.com/repos/blevesearch/bleve/issues/1946,closed,2023-12-20,2023-12-21,2023-12-21,e26eacec92d4fda5d953a8581b4b71b55b0578d6
CascadingRadium,https://api.github.com/repos/blevesearch/bleve/pulls/1944,https://api.github.com/repos/blevesearch/bleve/issues/1944,closed,2023-12-19,2024-01-05,2024-01-05,58e76ce249c2a5d315564607f92b48f59e2b861f
