user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
gilwong00,https://api.github.com/repos/bufbuild/buf/pulls/2804,https://api.github.com/repos/bufbuild/buf/issues/2804,open,2024-03-06,2024-03-06,,e5d1140f3d7d1bab8ee1ebde1444123b94e520d3
jhump,https://api.github.com/repos/bufbuild/buf/pulls/2803,https://api.github.com/repos/bufbuild/buf/issues/2803,closed,2024-03-06,2024-03-06,2024-03-06,49066c4da79384ae5551134f3dd4135cfb043594
doriable,https://api.github.com/repos/bufbuild/buf/pulls/2802,https://api.github.com/repos/bufbuild/buf/issues/2802,closed,2024-03-06,2024-03-06,2024-03-06,d81d977564683d6df98f020daf382177e67bc5fa
stefanvanburen,https://api.github.com/repos/bufbuild/buf/pulls/2801,https://api.github.com/repos/bufbuild/buf/issues/2801,closed,2024-03-05,2024-03-05,2024-03-05,eb3622e06e8fcb63839c6aaf2c09e1cd7a5565c7
stefanvanburen,https://api.github.com/repos/bufbuild/buf/pulls/2800,https://api.github.com/repos/bufbuild/buf/issues/2800,closed,2024-03-05,2024-03-05,2024-03-05,e836c730714a7d268cd0ef2340246fa2ed11feb4
doriable,https://api.github.com/repos/bufbuild/buf/pulls/2799,https://api.github.com/repos/bufbuild/buf/issues/2799,closed,2024-03-05,2024-03-06,2024-03-06,a39aac78f3ed7212417aaca9c8e1655a07632844
saquibmian,https://api.github.com/repos/bufbuild/buf/pulls/2798,https://api.github.com/repos/bufbuild/buf/issues/2798,closed,2024-03-05,2024-03-05,2024-03-05,3b78a09a3ba9c35d930d66188cb763c05eac5633
cyinma,https://api.github.com/repos/bufbuild/buf/pulls/2797,https://api.github.com/repos/bufbuild/buf/issues/2797,closed,2024-03-05,2024-03-06,2024-03-06,421ed0a12f7947fd50c2d2cb8f0b7c08b63b673d
saquibmian,https://api.github.com/repos/bufbuild/buf/pulls/2796,https://api.github.com/repos/bufbuild/buf/issues/2796,closed,2024-03-05,2024-03-05,2024-03-05,7287dad338a0f96ef154beb7cfd2a86e5eab7c88
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2795,https://api.github.com/repos/bufbuild/buf/issues/2795,closed,2024-03-04,2024-03-05,2024-03-05,bcff39f8b8eaf0e4791e5b25268817a79c9c1906
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2794,https://api.github.com/repos/bufbuild/buf/issues/2794,closed,2024-03-04,2024-03-05,2024-03-05,c7a56ca544c526c562cc93c38bca0370989f2e03
unmultimedio,https://api.github.com/repos/bufbuild/buf/pulls/2793,https://api.github.com/repos/bufbuild/buf/issues/2793,open,2024-02-29,2024-03-05,,12c07249440a790c2bce3e9a294f7e489d7530f5
jhump,https://api.github.com/repos/bufbuild/buf/pulls/2792,https://api.github.com/repos/bufbuild/buf/issues/2792,open,2024-02-28,2024-03-06,,683bfd30ae01955cf13d03e77cad57db982d4575
saquibmian,https://api.github.com/repos/bufbuild/buf/pulls/2790,https://api.github.com/repos/bufbuild/buf/issues/2790,closed,2024-02-26,2024-02-26,2024-02-26,0b0bf8760d091a95a5d5bb356ab432138bf1946c
pkwarren,https://api.github.com/repos/bufbuild/buf/pulls/2789,https://api.github.com/repos/bufbuild/buf/issues/2789,closed,2024-02-26,2024-02-27,2024-02-27,ff69892cd7f844553f1b7ede916505c3085d5cb5
unmultimedio,https://api.github.com/repos/bufbuild/buf/pulls/2788,https://api.github.com/repos/bufbuild/buf/issues/2788,closed,2024-02-26,2024-02-26,2024-02-26,e94d14e40f597104842ddfebffeedb0984fdf4ff
pkwarren,https://api.github.com/repos/bufbuild/buf/pulls/2787,https://api.github.com/repos/bufbuild/buf/issues/2787,closed,2024-02-26,2024-02-26,2024-02-26,0ed165320749eceed9fa574978a7fed783c37368
bufdev,https://api.github.com/repos/bufbuild/buf/pulls/2786,https://api.github.com/repos/bufbuild/buf/issues/2786,closed,2024-02-25,2024-02-25,2024-02-25,60bc031413c688d3d6518883e089eb76d9a27736
jhump,https://api.github.com/repos/bufbuild/buf/pulls/2785,https://api.github.com/repos/bufbuild/buf/issues/2785,closed,2024-02-23,2024-02-23,2024-02-23,c06bad13e295fa7c552038f01c930197b3d7d363
unmultimedio,https://api.github.com/repos/bufbuild/buf/pulls/2783,https://api.github.com/repos/bufbuild/buf/issues/2783,closed,2024-02-22,2024-02-22,2024-02-22,f9a012258f83c50d4a7cfa275f7a5528a428e7f4
unmultimedio,https://api.github.com/repos/bufbuild/buf/pulls/2782,https://api.github.com/repos/bufbuild/buf/issues/2782,closed,2024-02-22,2024-02-22,,50b650e5f17c90a4d92bb9b101a888106e7f5f5f
pkwarren,https://api.github.com/repos/bufbuild/buf/pulls/2781,https://api.github.com/repos/bufbuild/buf/issues/2781,closed,2024-02-21,2024-02-23,2024-02-23,7e57b46e92d0bf63aa953d82111627c1ac2e0b8b
saquibmian,https://api.github.com/repos/bufbuild/buf/pulls/2780,https://api.github.com/repos/bufbuild/buf/issues/2780,closed,2024-02-21,2024-02-21,2024-02-21,c1fa381529094b5704206b2f7aa7222691d1c544
saquibmian,https://api.github.com/repos/bufbuild/buf/pulls/2779,https://api.github.com/repos/bufbuild/buf/issues/2779,closed,2024-02-20,2024-02-20,2024-02-20,391aa166861837d222f13b6e3912d1964dde26e3
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2776,https://api.github.com/repos/bufbuild/buf/issues/2776,closed,2024-02-19,2024-02-23,,dc0138e5a18fe9c5f8db34ecec596bb9240f601a
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2775,https://api.github.com/repos/bufbuild/buf/issues/2775,closed,2024-02-19,2024-02-23,,040608fceb19b4d1775020eaba0cf840fa92befd
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2774,https://api.github.com/repos/bufbuild/buf/issues/2774,closed,2024-02-19,2024-02-23,,48a500a842be53de0c595589b4d3bbfe90bff9e9
dependabot[bot],https://api.github.com/repos/bufbuild/buf/pulls/2773,https://api.github.com/repos/bufbuild/buf/issues/2773,closed,2024-02-19,2024-02-23,,2cdbe389f61ba97d5b0c26a41a0ea46370d6a2ec
