user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
vedantmgoyal9,https://api.github.com/repos/chocolatey/choco/pulls/3402,https://api.github.com/repos/chocolatey/choco/issues/3402,open,2024-02-24,2024-02-24,,6a27764f0afa272373ffb502d7e187528a53673f
flcdrg,https://api.github.com/repos/chocolatey/choco/pulls/3395,https://api.github.com/repos/chocolatey/choco/issues/3395,open,2024-02-12,2024-02-12,,d5438da7d06f790e3915e2aa5fa5c9d71fa86e6e
choco-sync,https://api.github.com/repos/chocolatey/choco/pulls/3392,https://api.github.com/repos/chocolatey/choco/issues/3392,open,2024-02-01,2024-02-19,,c26b21bd58b6c5246e0655de093826f50084eb1f
mklement0,https://api.github.com/repos/chocolatey/choco/pulls/3387,https://api.github.com/repos/chocolatey/choco/issues/3387,open,2024-01-19,2024-01-20,,4f574048f0f481e1da0584fb5ae0cad85d182c2c
AdmiringWorm,https://api.github.com/repos/chocolatey/choco/pulls/3382,https://api.github.com/repos/chocolatey/choco/issues/3382,open,2024-01-15,2024-01-26,,8de15dee9683afc5429a4a2e00d0f9e80ac4ffc8
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3379,https://api.github.com/repos/chocolatey/choco/issues/3379,closed,2024-01-10,2024-02-07,,a34c5e406747264ae1328674b5f797dbd2984d9c
SimonCropp,https://api.github.com/repos/chocolatey/choco/pulls/3376,https://api.github.com/repos/chocolatey/choco/issues/3376,closed,2024-01-01,2024-01-02,,df51213c423774c4868fdebcadde83761703f6ec
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3374,https://api.github.com/repos/chocolatey/choco/issues/3374,closed,2023-12-19,2023-12-20,2023-12-20,05a0deb5199128a2538aa75ef9dac57d33d0a8b6
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3373,https://api.github.com/repos/chocolatey/choco/issues/3373,closed,2023-12-19,2023-12-21,2023-12-20,3641b0453b55554347142af7bdcb57d04fab4c5b
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3372,https://api.github.com/repos/chocolatey/choco/issues/3372,closed,2023-12-19,2023-12-20,2023-12-20,a425c6740350f4b2ebe76aac3ae81609f4509fe0
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3354,https://api.github.com/repos/chocolatey/choco/issues/3354,closed,2023-11-03,2023-12-08,2023-12-08,809e847f5ed2b9350b7bbf7e8547f3623d7e008f
corbob,https://api.github.com/repos/chocolatey/choco/pulls/3345,https://api.github.com/repos/chocolatey/choco/issues/3345,closed,2023-10-16,2023-12-08,2023-12-08,ff37b5591ffb10d994247ea838c2a95de8a21812
Windos,https://api.github.com/repos/chocolatey/choco/pulls/3343,https://api.github.com/repos/chocolatey/choco/issues/3343,open,2023-10-12,2024-01-30,,efdc1b6896ed2b0309a9a9d76a6b31fef8731fa7
