user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
fengmk2,https://api.github.com/repos/cnodejs/nodeclub/pulls/1164,https://api.github.com/repos/cnodejs/nodeclub/issues/1164,open,2024-02-12,2024-02-12,,4670d67fb241f196cc645d848f406294a59194fc
thonatos,https://api.github.com/repos/cnodejs/nodeclub/pulls/1163,https://api.github.com/repos/cnodejs/nodeclub/issues/1163,open,2024-02-03,2024-02-03,,1cbe68a739fa0e14ccb0afcd74f0d5d76c7a7b69
fengmk2,https://api.github.com/repos/cnodejs/nodeclub/pulls/1161,https://api.github.com/repos/cnodejs/nodeclub/issues/1161,open,2023-12-01,2023-12-01,,8be4b62c3b6c6f1d05333c052d08cf39622f361c
thonatos,https://api.github.com/repos/cnodejs/nodeclub/pulls/1160,https://api.github.com/repos/cnodejs/nodeclub/issues/1160,closed,2023-11-17,2024-01-02,2024-01-02,91a3286f2c759653524765775b44bff2ab232b32
atian25,https://api.github.com/repos/cnodejs/nodeclub/pulls/1159,https://api.github.com/repos/cnodejs/nodeclub/issues/1159,open,2023-07-22,2023-07-22,,24e10c1b9e3e7ff975edbdafddfc123a94bd1158
thonatos,https://api.github.com/repos/cnodejs/nodeclub/pulls/1157,https://api.github.com/repos/cnodejs/nodeclub/issues/1157,open,2023-06-23,2023-06-23,,88da02ec1793d18267d57f38d91651d4e1c1211a
fengmk2,https://api.github.com/repos/cnodejs/nodeclub/pulls/1155,https://api.github.com/repos/cnodejs/nodeclub/issues/1155,closed,2022-12-05,2023-01-06,,54307b605f0b1308414cace29633e8ef7d908eb3
tsflow,https://api.github.com/repos/cnodejs/nodeclub/pulls/1153,https://api.github.com/repos/cnodejs/nodeclub/issues/1153,open,2022-08-09,2022-08-09,,39098ecd1c16d4e7b0de2e056510fea42c48abcd
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1152,https://api.github.com/repos/cnodejs/nodeclub/issues/1152,open,2022-07-30,2022-07-30,,034db0537ba308119ecc31bf4abb77a481ed975a
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1151,https://api.github.com/repos/cnodejs/nodeclub/issues/1151,open,2022-07-02,2022-07-02,,93ed3485e9eee9501f97a3765e1ffcc76fac31c5
GiorgosDiamadis,https://api.github.com/repos/cnodejs/nodeclub/pulls/1150,https://api.github.com/repos/cnodejs/nodeclub/issues/1150,closed,2022-06-01,2022-06-01,,4b04154fc6c464334bf65c51788a0a15dc708b11
fengmk2,https://api.github.com/repos/cnodejs/nodeclub/pulls/1149,https://api.github.com/repos/cnodejs/nodeclub/issues/1149,closed,2022-05-09,2023-01-06,,b36fe3fce07c537428ff7c15231c2398300f25a8
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1147,https://api.github.com/repos/cnodejs/nodeclub/issues/1147,open,2022-04-08,2022-04-08,,104db51e536041ec346e9bb191ae5d260a4b47d9
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1146,https://api.github.com/repos/cnodejs/nodeclub/issues/1146,open,2022-04-01,2022-04-01,,aeb02d4987c9f386e2185fb81011e0e95656f328
npmmirror,https://api.github.com/repos/cnodejs/nodeclub/pulls/1142,https://api.github.com/repos/cnodejs/nodeclub/issues/1142,open,2022-02-12,2022-02-12,,c38c13dac56e2ba8240fee881ef5a188a4bf4bf5
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1141,https://api.github.com/repos/cnodejs/nodeclub/issues/1141,open,2022-01-21,2022-01-21,,21b2afdbadce663b02c867a76dee0e4ab74c99b9
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1140,https://api.github.com/repos/cnodejs/nodeclub/issues/1140,open,2022-01-14,2022-01-14,,99d99a671eaff096f009b37d6df9f903bd0cfdc1
snyk-bot,https://api.github.com/repos/cnodejs/nodeclub/pulls/1139,https://api.github.com/repos/cnodejs/nodeclub/issues/1139,open,2021-10-23,2021-10-23,,3611fff8aae0f36cd9977c4885714831f211a8aa
