user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1440,https://api.github.com/repos/compodoc/compodoc/issues/1440,open,2024-02-27,2024-02-27,,90869fb8891de794c4d71a7107b0f88b2b0c7428
astrutz,https://api.github.com/repos/compodoc/compodoc/pulls/1439,https://api.github.com/repos/compodoc/compodoc/issues/1439,open,2024-02-23,2024-03-04,,f8394cad780e199936910104bcff9650039930b5
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1438,https://api.github.com/repos/compodoc/compodoc/issues/1438,open,2024-02-21,2024-02-21,,cda80754dfa75e1eb96d5f129435ff31a570cf1d
astrutz,https://api.github.com/repos/compodoc/compodoc/pulls/1437,https://api.github.com/repos/compodoc/compodoc/issues/1437,closed,2024-02-19,2024-02-19,2024-02-19,00bac51b0e07306a62a889c5371de1772db6036f
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1431,https://api.github.com/repos/compodoc/compodoc/issues/1431,open,2024-01-11,2024-01-11,,b26fb3183a76bfaf112dab5157365ec4d0e05f6a
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1413,https://api.github.com/repos/compodoc/compodoc/issues/1413,open,2023-11-22,2024-03-06,,b8210d89bb786fa27d2a61f4162c1b1e6553a79f
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1410,https://api.github.com/repos/compodoc/compodoc/issues/1410,closed,2023-11-11,2023-11-22,,1bfb08056becdd8f2c5855302ecc06d5d6bdab63
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1408,https://api.github.com/repos/compodoc/compodoc/issues/1408,closed,2023-11-09,2023-11-22,,a3c48937b16039d5a765e59b3b5691c02b50e88f
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1407,https://api.github.com/repos/compodoc/compodoc/issues/1407,closed,2023-11-09,2023-11-22,,6a7665c147e097f9ac35f050f2e94d8d21828189
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1402,https://api.github.com/repos/compodoc/compodoc/issues/1402,closed,2023-11-02,2023-11-22,,469da6d21b27aa7c35fc1fb38a1d29ddc3ae71e6
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1401,https://api.github.com/repos/compodoc/compodoc/issues/1401,closed,2023-11-02,2023-11-22,,6373455951ecf686091b11d1dc972514ba457fc8
dependabot[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1400,https://api.github.com/repos/compodoc/compodoc/issues/1400,closed,2023-11-02,2023-11-22,,0dbf3c4000cb69c2c94dac07908ca33ad572692c
Eugeno,https://api.github.com/repos/compodoc/compodoc/pulls/1396,https://api.github.com/repos/compodoc/compodoc/issues/1396,closed,2023-10-25,2023-10-25,2023-10-25,89d7ab6e130f6ff2dd973733b9ed65690724b3b2
KostaD02,https://api.github.com/repos/compodoc/compodoc/pulls/1392,https://api.github.com/repos/compodoc/compodoc/issues/1392,closed,2023-10-18,2023-10-19,2023-10-19,d27ba3c0a881f44b027f8fed19cc0bccb9a03c57
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1389,https://api.github.com/repos/compodoc/compodoc/issues/1389,closed,2023-09-25,2023-11-22,,894ccf28d2bd1d84b7d71ae7b7bca3310353a0dd
RusFjord,https://api.github.com/repos/compodoc/compodoc/pulls/1386,https://api.github.com/repos/compodoc/compodoc/issues/1386,closed,2023-09-19,2023-09-20,2023-09-20,725e1d8de42b01b1b34caef4e7381dc8d3ccc188
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1382,https://api.github.com/repos/compodoc/compodoc/issues/1382,closed,2023-09-04,2023-09-25,,25fe72f75032d76d50d0ffbe8747dffd24f643b4
aanchal88,https://api.github.com/repos/compodoc/compodoc/pulls/1380,https://api.github.com/repos/compodoc/compodoc/issues/1380,closed,2023-09-02,2023-09-06,,ecefde3c4757ba322a2ac801f4a53da775a759a1
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1375,https://api.github.com/repos/compodoc/compodoc/issues/1375,closed,2023-08-16,2023-09-04,,b124b125909974c16ad44ba003db0be9a9fc10e1
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1374,https://api.github.com/repos/compodoc/compodoc/issues/1374,closed,2023-08-16,2023-08-16,,290f71f8ba7c114ce08a1c13ef26bea02259ca23
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1373,https://api.github.com/repos/compodoc/compodoc/issues/1373,closed,2023-08-16,2023-08-16,2023-08-16,61b1dfb20140eab2a1ee575c2622a4920c43a77b
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1372,https://api.github.com/repos/compodoc/compodoc/issues/1372,closed,2023-08-11,2023-08-16,2023-08-16,bee9a678a9a2426697d6956b776335339a07859c
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1371,https://api.github.com/repos/compodoc/compodoc/issues/1371,closed,2023-08-10,2023-08-10,,d0460933c20ff1f260925886f8f6d9048fc76888
alkavats1,https://api.github.com/repos/compodoc/compodoc/pulls/1365,https://api.github.com/repos/compodoc/compodoc/issues/1365,closed,2023-07-18,2023-08-10,2023-08-10,33bdb016d18dc04f5974eead3c2aba948edb9b9a
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1358,https://api.github.com/repos/compodoc/compodoc/issues/1358,closed,2023-06-04,2023-08-10,,0e960d12f1b455b162f46c9232d155d5ebc0460e
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1357,https://api.github.com/repos/compodoc/compodoc/issues/1357,closed,2023-06-02,2023-06-04,,e9cd5e9327bb36bf352a477f19f672cc0501608b
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1356,https://api.github.com/repos/compodoc/compodoc/issues/1356,closed,2023-05-31,2023-05-31,,ad0a54c8e41824c997c8873e7cbfe75ed3640b8f
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1353,https://api.github.com/repos/compodoc/compodoc/issues/1353,closed,2023-05-26,2023-05-31,,04f4356acdb7853d69bd6e967e0a9f6413c30640
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1352,https://api.github.com/repos/compodoc/compodoc/issues/1352,closed,2023-05-25,2023-05-26,2023-05-26,ffe5d2a8b4dca280d6b3b0662af527e28b823303
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1350,https://api.github.com/repos/compodoc/compodoc/issues/1350,closed,2023-05-24,2023-05-24,,8aaa39b7a6fe8759fda1684396b81e78c92b3daa
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1348,https://api.github.com/repos/compodoc/compodoc/issues/1348,closed,2023-05-22,2023-05-23,2023-05-23,a8d8ebe4b7f5a1ae1926b75834299c4470a9ea33
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1347,https://api.github.com/repos/compodoc/compodoc/issues/1347,closed,2023-05-22,2023-05-22,2023-05-22,1a354c8f7e30136665b116cdd8d644d52434c4ce
renovate[bot],https://api.github.com/repos/compodoc/compodoc/pulls/1345,https://api.github.com/repos/compodoc/compodoc/issues/1345,closed,2023-05-21,2023-05-21,2023-05-21,452e901e129f45eb587ab15c5e1205498bc0192a
