user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2874,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2874,closed,2024-03-06,2024-03-06,2024-03-06,e611d01c90f3e57d591f3875c2e6c629cba9c68a
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2873,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2873,closed,2024-03-06,2024-03-06,2024-03-06,5356ccc6cd138faa0f41fabaa5733bb94d9fb017
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2871,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2871,open,2024-03-05,2024-03-06,,4e95ea491d3efb2760d3677afd83ee67d469e4fd
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2870,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2870,closed,2024-03-05,2024-03-05,2024-03-05,d8877a71fc1faac18539cd29fa736deccaf4ea92
kampka,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2868,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2868,open,2024-03-04,2024-03-05,,1a73bfb28c249e2ed3950cec7952941f00a7e0d7
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2867,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2867,closed,2024-03-04,2024-03-04,2024-03-04,e7ecea764e99f873e1644b409d8eebec8e1c2630
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2865,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2865,closed,2024-03-01,2024-03-01,2024-03-01,41b43733b03d9fa3609c2ff333461bfa49ae587f
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2863,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2863,open,2024-02-27,2024-02-27,,f869c1455e4d304a5fb8c9a69b6a3a4cd1a4084c
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2862,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2862,open,2024-02-26,2024-02-28,,04a7905876dc78980d63a1baba9636bf23ec7b87
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2861,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2861,closed,2024-02-26,2024-02-26,2024-02-26,8e9e091656f2a72a37e21c173ed0c2015e97e726
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2858,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2858,open,2024-02-23,2024-02-27,,18eed24fbca821aae4f406e90042fdc43a4e022d
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2857,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2857,open,2024-02-23,2024-02-27,,ca0c201b19b5731c1f34e6ad6d1a4f38804fa8cf
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2856,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2856,closed,2024-02-22,2024-02-23,2024-02-23,4bf640c6e86185b506fde7332a338ccf2eb711ca
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2854,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2854,closed,2024-02-22,2024-02-23,2024-02-23,e34af358d7b96df49634f28696e9c1b1f01e097c
Zaulao,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2852,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2852,closed,2024-02-20,2024-02-20,,ac47b41fb9e182cd6b0463e8b4ad0f398ec3b2f0
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2848,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2848,closed,2024-02-15,2024-02-15,2024-02-15,e976614645aba906a096f4bdf46e09709f71d096
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2846,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2846,closed,2024-02-14,2024-02-22,2024-02-22,8da490f5930406180bef6f4b0b99e0b0dc86dff8
buixor,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2845,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2845,closed,2024-02-14,2024-02-14,2024-02-14,717fc97ca039a2fdf2afbdd73b2a8b417b48c69e
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2844,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2844,closed,2024-02-14,2024-02-14,2024-02-14,2bbf0b4762ad58f5e50858132085ac4586502008
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2842,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2842,closed,2024-02-13,2024-02-23,,7f77cdd9535b78d0176f122484d1069865e66004
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2841,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2841,closed,2024-02-13,2024-02-23,,986a72f5337c8929584598706ac242e12ebaf2dc
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2838,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2838,closed,2024-02-12,2024-02-12,2024-02-12,4561eb787be6e27693195807ba61181018aa6755
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2837,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2837,closed,2024-02-12,2024-02-23,2024-02-23,a23fe06d6878c2770c524e905bcf7fd611abb3cc
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2836,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2836,closed,2024-02-12,2024-02-13,2024-02-13,d34fb7e8a85deaa31697290cf583824911fa6913
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2835,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2835,closed,2024-02-11,2024-02-12,2024-02-12,5c83695177cd4044a8cc953978103377b63607f0
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2834,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2834,closed,2024-02-11,2024-02-12,2024-02-12,a6a4d460d7069a67369906fbe4447eed601b4942
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2833,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2833,closed,2024-02-11,2024-02-12,2024-02-12,eada3739e6849cf6da085dfa4862dcbfad4deb10
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2832,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2832,closed,2024-02-11,2024-02-22,2024-02-22,3e3df5e4c6e6deb1ef36bb406e86a7ebc8c30f06
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2830,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2830,closed,2024-02-09,2024-02-14,2024-02-14,45571cea08591962b515ed903b0b00488a4f7c13
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2827,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2827,closed,2024-02-09,2024-02-09,2024-02-09,2853410576456471b3f0efef223c4f7bb04600ab
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2826,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2826,open,2024-02-09,2024-03-06,,28de0db4b04161037fdb1bacd424058cab5dc258
mmetc,https://api.github.com/repos/crowdsecurity/crowdsec/pulls/2825,https://api.github.com/repos/crowdsecurity/crowdsec/issues/2825,closed,2024-02-09,2024-02-09,2024-02-09,58a1d7164f99bacbbe27c0d32b14bf63e27b4274
