user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hugojosefson,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1135,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1135,closed,2023-10-15,2023-10-24,2023-10-23,3e459ff0725d24dd127c39a6e108f22c3a8ad539
daanh432,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1134,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1134,closed,2023-09-09,2023-10-24,,2495f17ccc9fac809955446a018f11d42cca15b7
reneleonhardt,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1126,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1126,closed,2022-12-11,2023-02-04,,8c6f50d1e1fa1b9251fb5516d7055560a8ddb68b
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1098,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1098,closed,2021-03-07,2021-03-09,2021-03-09,9359ee59a9f77a1e814394935cb44c9c394a8403
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1096,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1096,closed,2021-01-31,2021-02-22,2021-02-17,995242c945f5165717568df7c2d9581c072b6eaf
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1090,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1090,closed,2020-10-29,2020-10-29,2020-10-29,4f9b0c5b49a5f682232738b766104235a44ebb9b
redlock,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1086,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1086,closed,2020-10-13,2020-10-17,2020-10-17,e3810b0e346b6fb425f4814187b640450fe143eb
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1085,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1085,closed,2020-10-13,2021-02-24,,5f316c5fdd8e2c42cd6bfe9d59d697da9a88d8f9
slachtar,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1083,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1083,closed,2020-09-17,2020-09-18,2020-09-18,c1cd1d07c4079da39463dc745745b6f0b054f345
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1080,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1080,closed,2020-08-09,2020-08-09,2020-08-09,39b3a255bf040eee63f9d09cb06e7d551e2d1d33
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1071,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1071,closed,2020-05-07,2020-05-08,2020-05-08,7a3255b379a0c740369c4d73d4a2aaf5a47f54f5
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1066,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1066,closed,2020-05-02,2020-05-03,2020-05-03,03516c25a280f9cf3275fad6a1b815373db687bf
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1065,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1065,closed,2020-04-28,2020-04-29,2020-04-29,d47fa6054db6dd112e385fd8cdfff23665c61c49
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1064,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1064,closed,2020-04-28,2020-04-29,2020-04-28,8ee3f6f78b175ff45dfadfb0e0829bff82b0e7c8
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1063,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1063,closed,2020-04-23,2020-04-24,2020-04-24,1b2a7d2d261d7cc812e0073bdd3267f16a9aa437
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1042,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1042,closed,2020-02-08,2020-02-08,2020-02-08,0099f36ab9d61eb84a91ed00b8076437fa07ce38
V0lk3n,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1016,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1016,closed,2019-10-10,2019-10-10,,c533dd921af05048fc14a63a829a6cd72e1d3b9d
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1013,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1013,closed,2019-10-07,2019-10-07,2019-10-07,0ade829130311a825db83c65fb5eb3ac6d0c7d4b
V0lk3n,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1012,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1012,closed,2019-10-07,2019-10-10,,71dbbe5192ad257b84eb27f1bd0db57945a8b3f7
V0lk3n,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1011,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1011,closed,2019-10-07,2019-10-07,2019-10-07,f99b62ff0079b3a2667180e6b9515a34dc978842
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1010,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1010,closed,2019-10-06,2019-10-07,2019-10-07,46ed20885951a27eb87f79080da098320c6fcfe0
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1009,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1009,closed,2019-10-06,2019-10-06,2019-10-06,361a135e305f8e4a40cf64a4522f89e25515e216
apkostka,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/1004,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/1004,closed,2019-09-27,2019-09-28,2019-09-28,586b5c47f59bd43caa1e424676c772dc5121071d
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/997,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/997,closed,2019-09-17,2019-09-17,2019-09-17,840e540a523f8a6d915958311ae3c62dc49051b0
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/992,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/992,closed,2019-09-09,2019-09-09,2019-09-09,638184fb0cc65fa34cdebb28a53dadd0efbda519
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/991,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/991,closed,2019-09-08,2019-09-09,2019-09-09,02009490c0156ba6502d3c2c0bd7d8775982daf8
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/985,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/985,closed,2019-09-02,2019-09-08,,a43f6c1ac6fc6b1b47de41fed7faaf6d1c11207a
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/982,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/982,closed,2019-08-26,2019-08-30,2019-08-30,556fb6df4f3ac023ad3bb63bd231b0120ff0c66d
Vortex375,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/979,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/979,closed,2019-08-18,2019-08-19,2019-08-19,282ccff34c7aac9706cec6252d72d45519b20f32
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/969,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/969,closed,2019-07-15,2019-07-15,2019-07-15,1f0bf41ec15dac99b6b50237bc1fe38620a98ecd
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/967,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/967,closed,2019-07-12,2019-07-12,2019-07-12,69ab932007e58b39075773f1e1cedfeadf2976e4
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/966,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/966,closed,2019-07-05,2019-07-05,2019-07-05,71223b9770f7bb752051955a4036e56d908c503f
lyollix,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/964,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/964,closed,2019-06-30,2019-07-15,,644ff6870b9fa46d32a98906e1c03578a14cb3d6
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/962,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/962,closed,2019-06-20,2019-06-20,2019-06-20,5287278fb37f1de07c3fc878d1f8f8046b45bfa0
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/961,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/961,closed,2019-06-20,2019-06-20,2019-06-20,6c1fb369329b511cfdba1809d27c7f9ac3037b4e
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/957,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/957,closed,2019-06-17,2019-06-20,,28b9701a9f9d83cc722efa640e16156ecf39a13d
jaime-ez,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/950,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/950,closed,2019-05-11,2021-01-29,2019-05-12,910923779175895e96a83d57af520ba55b782e66
remaininlight,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/949,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/949,closed,2019-04-28,2019-04-29,,23d7f6b322c197e7bfa17745d3d45d901d760286
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/948,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/948,closed,2019-04-07,2019-04-07,2019-04-07,b1f488f3cfd4250816c1b2d3a3a9f5de257c943b
greenkeeper[bot],https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/947,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/947,closed,2019-04-07,2019-04-07,,550f48a6e5d733ab04919f644a70cacbc6a9634e
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/945,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/945,closed,2019-04-06,2019-04-06,2019-04-06,f3e4b6d6abc9f025a2c8369fe379676acb176c48
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/944,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/944,closed,2019-04-06,2019-04-06,,
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/940,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/940,closed,2019-03-31,2019-04-06,2019-04-06,3d8f63502f63a47d5cd5165e16af8d4d0e1c5129
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/934,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/934,closed,2019-03-04,2019-03-04,2019-03-04,640b057a22d561cd20258aa5728f5150a1f008ea
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/931,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/931,closed,2019-02-09,2019-02-09,2019-02-09,58ca0774323e0777310eaa40d8c3a26cc73c75a3
rzhade3,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/927,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/927,closed,2018-12-27,2019-02-09,2019-02-09,3ffb95f1c62048b02e764609f4911a8943cc998a
StephanSchuster,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/915,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/915,closed,2018-10-15,2018-10-22,2018-10-22,5adfb2f85ab5eea0d71f8dc2bec06c4b793e4227
CatEars,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/913,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/913,closed,2018-10-05,2018-11-05,2018-11-05,f71dfc6e6173d78a23bbd660c2cdc2baa0f8d286
CatEars,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/912,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/912,closed,2018-09-26,2018-11-05,2018-11-05,102533ac4f0e95b545a2edd57adac60d2248d7a0
mhaagens,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/906,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/906,closed,2018-08-16,2018-08-18,2018-08-18,e63452b0be4aa897c816eca1f22909ba099bef81
mhaagens,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/905,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/905,closed,2018-08-16,2018-08-16,,7a16151c5fc733bf45bb29b48c59d9b9431775b5
sbruton,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/883,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/883,closed,2018-02-15,2019-02-09,,389145c8ce4c41371d06975b8e31236e2e1b4a73
Thomas-P,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/875,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/875,closed,2018-01-31,2019-03-08,,a8af72f1cd3da6da3abc63fd3c15055f1ed750ca
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/866,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/866,closed,2017-12-19,2017-12-20,,8c971461d78f6cd450e0cb46f4dff113267b9880
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/855,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/855,closed,2017-11-28,2017-11-28,2017-11-28,7d08a0e1746e215e93f78df741a147e4ec4517c5
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/854,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/854,closed,2017-11-27,2017-12-08,2017-12-08,6a5146c0a07911d8eb5a65017251b36f62dd31e0
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/852,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/852,closed,2017-11-21,2017-11-28,2017-11-28,37ca9a1bccba29c88535267e076930ebdf3d1960
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/851,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/851,closed,2017-11-21,2017-11-21,,421aa2a7b64391ec8489079fef81aa916021306a
clintwood,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/850,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/850,closed,2017-11-21,2017-11-21,2017-11-21,fd6ad1c1344ea97bfeaeed4ff1504ef88de4daeb
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/849,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/849,closed,2017-11-20,2017-11-20,2017-11-20,60e9c7280b547c1e6f67900dadc1b9c31a6e8bb6
clintwood,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/847,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/847,closed,2017-11-15,2018-11-05,,fadb809341c6132170ef6b0cd17b5b9ceaf92847
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/841,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/841,closed,2017-11-06,2017-11-08,2017-11-08,fcbd158240fa18d4a2d829b0c321f701b8871bf5
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/838,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/838,closed,2017-10-30,2018-05-12,2017-11-20,734e4124dee7acaa9d7e3f60b95734a953453716
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/837,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/837,closed,2017-10-30,2018-05-12,2017-11-17,7cf5470acabbf6970abcd96aebc37504e1deee4d
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/832,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/832,closed,2017-10-26,2018-05-12,,a18a9b3ab185d35724accff3d534979b04bf9946
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/831,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/831,closed,2017-10-26,2017-10-26,2017-10-26,4beeeb036ed4bc7f47451a253fa46fed224d1c8d
MuriloFrade,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/829,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/829,closed,2017-10-24,2017-10-30,2017-10-26,cfc9185365da2dc3c5b327581577f17e458cd2ea
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/827,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/827,closed,2017-10-23,2017-10-23,2017-10-23,4c59d4e04732f3d8ece95d37c1fdf91c092361cf
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/822,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/822,closed,2017-10-20,2017-10-20,2017-10-20,8de7106e7e272f2944b1a302a15cb8546a7cdaf0
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/821,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/821,closed,2017-10-20,2017-10-20,2017-10-20,e2ffd26cd1f1a0c8c66eef9b80ad5927d1d255bb
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/819,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/819,closed,2017-10-18,2017-10-18,2017-10-18,c554e957ec7eccd4c0771748a95e526731def294
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/817,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/817,closed,2017-10-16,2017-10-18,2017-10-18,49124e2f0998b61bcebdf66ff68c065453c83895
RashadSaleh,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/815,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/815,closed,2017-10-14,2017-11-21,,1acc86085c55a518d4f31c9fd044b8fbb485ba6c
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/811,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/811,closed,2017-10-09,2017-10-12,2017-10-12,285ba4fcd98aeeb3521b48d3eff7f3d4ec1fc326
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/809,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/809,closed,2017-10-06,2017-10-06,2017-10-06,753b535e92baa4baa2c8385ab4957f63f1aa35dd
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/808,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/808,closed,2017-10-04,2017-10-04,2017-10-04,094531a38bf19ee027078b91888e9f45a6f69e14
ronag,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/802,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/802,closed,2017-09-30,2017-09-30,,
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/801,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/801,closed,2017-09-25,2017-09-30,2017-09-25,e88927fbd24edb1b90ffc11f48e3fb02acb6e704
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/800,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/800,closed,2017-09-20,2017-09-20,2017-09-20,e8b65696601f755adfa58206855bddb9dac02f0e
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/798,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/798,closed,2017-09-14,2017-09-20,2017-09-20,f0daf329b704803567f38ccb7eb9e5f5428fd96e
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/794,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/794,closed,2017-09-11,2017-11-21,,9e644b963eaaa53225b627873b5b0453489fd44b
yasserf,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/790,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/790,closed,2017-08-30,2017-08-31,2017-08-30,711ba0c8161bb49c5808d38419151822a8acc707
YanDevDe,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/789,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/789,closed,2017-08-28,2017-09-07,,e1e845c70cf53249ea7791cb05a1e498bd98ab90
rbarroetavena,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/788,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/788,closed,2017-08-26,2017-09-01,2017-09-01,dab0fd740b8efe2c4ddaa9d1dc6531c2e97ec338
daviderenger,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/786,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/786,closed,2017-08-15,2017-08-17,2017-08-17,76040dd79163b96f3de04338f21c27cf2ae88a19
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/782,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/782,closed,2017-08-09,2017-09-30,2017-08-12,521c875ed82031acc970970fdd8e868f06f296ef
ronag,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/781,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/781,closed,2017-08-07,2017-11-14,,66a7b0e631704ea8da0486da5b731bc05f9f5c50
ronag,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/780,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/780,closed,2017-08-06,2017-09-20,2017-09-20,839248109176f58875a9f5dc8db1a0c09e7d72d1
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/762,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/762,closed,2017-07-26,2017-07-26,2017-07-26,79aa4931fec246eff2b01d8a57bea999f3ca7698
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/761,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/761,closed,2017-07-25,2017-07-25,2017-07-25,1eb03601ee2580cde126906ade5554d112dffb11
AlexBHarley,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/760,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/760,closed,2017-07-25,2017-07-25,2017-07-25,24edc11113e21083baf8b924cdac756cec05933c
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/759,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/759,closed,2017-07-24,2017-07-25,2017-07-25,efbd38a83e0b0f6a7e6c5dd8696f3ec3b112b173
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/758,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/758,closed,2017-07-24,2017-09-30,,dd6059db0e5db74ec6b98b0f48fc8170ac16f815
jdmnd,https://api.github.com/repos/deepstreamIO/deepstream.io/pulls/752,https://api.github.com/repos/deepstreamIO/deepstream.io/issues/752,closed,2017-07-18,2017-07-19,2017-07-19,814ea6ab00808c50fc581212f932fd37d450d8bd
