user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
r-hiejima,https://api.github.com/repos/devxoul/Then/pulls/98,https://api.github.com/repos/devxoul/Then/issues/98,closed,2024-02-27,2024-02-27,,6f9968c16fc188fba87d29d028d18098d1db6950
jo030225,https://api.github.com/repos/devxoul/Then/pulls/97,https://api.github.com/repos/devxoul/Then/issues/97,open,2023-01-18,2023-01-18,,acb9c31f8ba9e277e3a24370c712e1ddebf3d7f1
doulos76,https://api.github.com/repos/devxoul/Then/pulls/95,https://api.github.com/repos/devxoul/Then/issues/95,open,2022-09-09,2022-09-09,,d018da47de2794f3dd27f4da702f8d1aa3377631
JK0369,https://api.github.com/repos/devxoul/Then/pulls/93,https://api.github.com/repos/devxoul/Then/issues/93,closed,2022-04-16,2022-04-26,2022-04-26,d41ef523faef0f911369f79c0b96815d9dbb6d7a
inekipelov,https://api.github.com/repos/devxoul/Then/pulls/91,https://api.github.com/repos/devxoul/Then/issues/91,closed,2022-01-25,2022-02-21,,0b658dd1efe3b1ca4ea549eb6f87bee2c58f7f13
shang1219178163,https://api.github.com/repos/devxoul/Then/pulls/90,https://api.github.com/repos/devxoul/Then/issues/90,open,2021-06-21,2021-06-21,,5cd7bd898ecbca38e9237433fce2285f30fc89e7
shang1219178163,https://api.github.com/repos/devxoul/Then/pulls/89,https://api.github.com/repos/devxoul/Then/issues/89,closed,2021-06-16,2021-06-21,,9093a4491bda1c5f5d3fad3e3974fba97ce38571
AndrewSB,https://api.github.com/repos/devxoul/Then/pulls/87,https://api.github.com/repos/devxoul/Then/issues/87,closed,2021-03-30,2021-09-06,,390fd3863881628c20cf6e5b6aa6f387ace47498
RomanPodymov,https://api.github.com/repos/devxoul/Then/pulls/86,https://api.github.com/repos/devxoul/Then/issues/86,closed,2021-03-01,2022-12-29,,0c8f663099eec15a1c96c3dadde69e4809fe7a4d
jacobh0,https://api.github.com/repos/devxoul/Then/pulls/85,https://api.github.com/repos/devxoul/Then/issues/85,closed,2020-11-19,2022-04-26,2022-04-26,ae05350db2e794ee89b872fe055a6d016df69cee
