user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/1041,https://api.github.com/repos/dnfield/flutter_svg/issues/1041,closed,2024-02-20,2024-02-20,2024-02-20,2f7c8ca1a1c1aaedc37e77cf1560cbb0e00baa9a
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/1038,https://api.github.com/repos/dnfield/flutter_svg/issues/1038,closed,2024-02-19,2024-02-20,2024-02-20,09fd110bdbf746df770d17dc9e592bd1e806b126
srawlins,https://api.github.com/repos/dnfield/flutter_svg/pulls/1017,https://api.github.com/repos/dnfield/flutter_svg/issues/1017,closed,2023-12-05,2023-12-05,2023-12-05,a3911bb074c49b821bb9beaa349ee04ac9f4e2f7
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/1008,https://api.github.com/repos/dnfield/flutter_svg/issues/1008,closed,2023-10-31,2023-10-31,2023-10-31,20932e20cb779373f7030a029baa177e228336cb
bramp,https://api.github.com/repos/dnfield/flutter_svg/pulls/1001,https://api.github.com/repos/dnfield/flutter_svg/issues/1001,closed,2023-10-17,2023-10-17,2023-10-17,6164f367ecc82caf09392380a24c19286e48abb2
bramp,https://api.github.com/repos/dnfield/flutter_svg/pulls/1000,https://api.github.com/repos/dnfield/flutter_svg/issues/1000,closed,2023-10-17,2023-10-17,2023-10-17,16c062beaef478da415a062fb459cc366e8f7863
bramp,https://api.github.com/repos/dnfield/flutter_svg/pulls/999,https://api.github.com/repos/dnfield/flutter_svg/issues/999,closed,2023-10-13,2023-10-16,2023-10-16,b6b399e69f74206f9b8373cc00b1f5790bd9d535
bramp,https://api.github.com/repos/dnfield/flutter_svg/pulls/995,https://api.github.com/repos/dnfield/flutter_svg/issues/995,closed,2023-10-09,2023-10-10,2023-10-10,6a246870efc45bc1768299aa4353ba484754145c
androidseb,https://api.github.com/repos/dnfield/flutter_svg/pulls/991,https://api.github.com/repos/dnfield/flutter_svg/issues/991,open,2023-10-02,2023-10-02,,016b436a3bafc40e654f205dfc060f6b6062a88b
GP4cK,https://api.github.com/repos/dnfield/flutter_svg/pulls/964,https://api.github.com/repos/dnfield/flutter_svg/issues/964,closed,2023-07-12,2023-07-14,2023-07-13,3148f722de7a616999cab3cc5d1469bdbedbdde0
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/940,https://api.github.com/repos/dnfield/flutter_svg/issues/940,closed,2023-06-12,2023-06-12,2023-06-12,d7b5c23a79dcb5425548879bdb79a5e7f5097ce5
dxvid-pts,https://api.github.com/repos/dnfield/flutter_svg/pulls/935,https://api.github.com/repos/dnfield/flutter_svg/issues/935,closed,2023-06-07,2023-06-07,2023-06-07,1ed5a99958d664914b6c1ec6f16ac20cbb2465ac
tattuu,https://api.github.com/repos/dnfield/flutter_svg/pulls/929,https://api.github.com/repos/dnfield/flutter_svg/issues/929,closed,2023-05-27,2023-05-28,2023-05-27,33fb64be1d93f4e88c715a4cc6a4ab829e6e5e97
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/924,https://api.github.com/repos/dnfield/flutter_svg/issues/924,closed,2023-05-18,2023-05-18,2023-05-18,3a13376f3b663e2bd59096ca3fa5041ab65def54
MrJohnDev,https://api.github.com/repos/dnfield/flutter_svg/pulls/923,https://api.github.com/repos/dnfield/flutter_svg/issues/923,closed,2023-05-18,2023-05-18,2023-05-18,d4c98e25da72eeec13e4192adfa90563b01fa17c
jason-simmons,https://api.github.com/repos/dnfield/flutter_svg/pulls/912,https://api.github.com/repos/dnfield/flutter_svg/issues/912,closed,2023-04-25,2023-04-25,2023-04-25,99e6eee17daba51666dab6b3343c891111c9f665
jason-simmons,https://api.github.com/repos/dnfield/flutter_svg/pulls/911,https://api.github.com/repos/dnfield/flutter_svg/issues/911,closed,2023-04-25,2023-04-25,2023-04-25,72d9f462e6043c41604ad9f4410d0f02bb069c85
jason-simmons,https://api.github.com/repos/dnfield/flutter_svg/pulls/908,https://api.github.com/repos/dnfield/flutter_svg/issues/908,closed,2023-04-20,2023-04-20,2023-04-20,f12e664aa68156a2a23a9d8c889422975a3e4237
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/902,https://api.github.com/repos/dnfield/flutter_svg/issues/902,closed,2023-04-08,2023-04-08,2023-04-08,b60fc1523324e86102702948b9420f078e4a124e
Marco4763,https://api.github.com/repos/dnfield/flutter_svg/pulls/896,https://api.github.com/repos/dnfield/flutter_svg/issues/896,closed,2023-03-28,2023-04-11,,ddbf79d7c5a97d98211c72d727dbbfafc340000a
Marco4763,https://api.github.com/repos/dnfield/flutter_svg/pulls/894,https://api.github.com/repos/dnfield/flutter_svg/issues/894,closed,2023-03-21,2023-03-28,,9af7d59eccd72bda829bc1bbd9067cc98ef6f05b
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/890,https://api.github.com/repos/dnfield/flutter_svg/issues/890,closed,2023-03-16,2023-03-16,2023-03-16,957b8a37165c79734ec31744bde1128414cc78ac
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/889,https://api.github.com/repos/dnfield/flutter_svg/issues/889,closed,2023-03-16,2023-03-16,2023-03-16,3df85436d4f11a0c8ece200ce2b0ac33d31e8c30
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/885,https://api.github.com/repos/dnfield/flutter_svg/issues/885,closed,2023-03-14,2023-03-14,2023-03-14,bd80505e60b11c1f0757d4dd27857b38ad22aecd
SimonWeidemann,https://api.github.com/repos/dnfield/flutter_svg/pulls/880,https://api.github.com/repos/dnfield/flutter_svg/issues/880,closed,2023-03-12,2023-04-11,2023-04-11,fd85e3ce4bb05d7f914a58fd40b17a007a0b83d3
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/879,https://api.github.com/repos/dnfield/flutter_svg/issues/879,closed,2023-03-09,2023-03-09,2023-03-09,d731f27012114603f135eae7ca5f69ff885988c4
dkbast,https://api.github.com/repos/dnfield/flutter_svg/pulls/861,https://api.github.com/repos/dnfield/flutter_svg/issues/861,open,2023-02-13,2023-02-15,,437e30cef83a91e2985f8fa91320717ff60cba89
sabifa,https://api.github.com/repos/dnfield/flutter_svg/pulls/860,https://api.github.com/repos/dnfield/flutter_svg/issues/860,closed,2023-02-13,2023-03-13,2023-03-13,f96f5f0bddbf5f15bae061628abd716f155e6d7a
jonahwilliams,https://api.github.com/repos/dnfield/flutter_svg/pulls/854,https://api.github.com/repos/dnfield/flutter_svg/issues/854,closed,2023-02-11,2023-02-13,2023-02-13,b977d27d5ab39ffe737e1ce8eb7ddb23ae87eb3c
jonahwilliams,https://api.github.com/repos/dnfield/flutter_svg/pulls/853,https://api.github.com/repos/dnfield/flutter_svg/issues/853,closed,2023-02-11,2023-02-13,2023-02-13,e7a09433aadab66f4f2fd97fc77c142a85477ee2
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/838,https://api.github.com/repos/dnfield/flutter_svg/issues/838,closed,2023-02-02,2023-02-03,2023-02-03,127197b16442752a0e6b6797cf6d996b9ef53519
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/835,https://api.github.com/repos/dnfield/flutter_svg/issues/835,closed,2023-02-02,2023-02-02,2023-02-02,c599bfe769f9249e1f17a389d320c53fee9a6f41
pento,https://api.github.com/repos/dnfield/flutter_svg/pulls/833,https://api.github.com/repos/dnfield/flutter_svg/issues/833,closed,2023-01-26,2023-01-27,2023-01-27,c951f211866ae65e28d59db2d6c8a2b222c53fca
stepushchik-denis-gismart,https://api.github.com/repos/dnfield/flutter_svg/pulls/822,https://api.github.com/repos/dnfield/flutter_svg/issues/822,open,2022-12-23,2022-12-23,,
srawlins,https://api.github.com/repos/dnfield/flutter_svg/pulls/818,https://api.github.com/repos/dnfield/flutter_svg/issues/818,closed,2022-12-16,2022-12-16,2022-12-16,525507aa2fe3f2352b43a8474d4a3945114528a3
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/817,https://api.github.com/repos/dnfield/flutter_svg/issues/817,closed,2022-12-11,2022-12-11,2022-12-11,3d48ca27226f41202421939fe4e997d55cd789cb
jonahwilliams,https://api.github.com/repos/dnfield/flutter_svg/pulls/816,https://api.github.com/repos/dnfield/flutter_svg/issues/816,closed,2022-12-09,2023-02-03,2022-12-10,dc2041074f4c0e11136d933a0b3ab85c9ad0d31d
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/808,https://api.github.com/repos/dnfield/flutter_svg/issues/808,closed,2022-11-21,2022-11-21,2022-11-21,dd6876fced27cb7ceb4e89a90698fe54d32cc012
mattias-lonn,https://api.github.com/repos/dnfield/flutter_svg/pulls/807,https://api.github.com/repos/dnfield/flutter_svg/issues/807,open,2022-11-20,2022-11-20,,fe015a5cfec3ba91b0ed709c24be1b6ad51f379b
TortillaZHawaii,https://api.github.com/repos/dnfield/flutter_svg/pulls/799,https://api.github.com/repos/dnfield/flutter_svg/issues/799,closed,2022-10-25,2022-10-25,2022-10-25,b285441709edea5bf106303c4b3b0a83f84dc432
FeodorFitsner,https://api.github.com/repos/dnfield/flutter_svg/pulls/798,https://api.github.com/repos/dnfield/flutter_svg/issues/798,closed,2022-10-22,2022-10-22,2022-10-22,215e0f4f4ca04a58fc507c57d01ed7fa88a4244d
FeodorFitsner,https://api.github.com/repos/dnfield/flutter_svg/pulls/794,https://api.github.com/repos/dnfield/flutter_svg/issues/794,closed,2022-10-20,2022-10-25,2022-10-24,791e624b1267926816b8b21ea24da3d21edf0da5
kirill09,https://api.github.com/repos/dnfield/flutter_svg/pulls/793,https://api.github.com/repos/dnfield/flutter_svg/issues/793,closed,2022-10-20,2022-11-18,,34c68de06db832ef3d4c9acfcac143d7e2d1f134
FeodorFitsner,https://api.github.com/repos/dnfield/flutter_svg/pulls/790,https://api.github.com/repos/dnfield/flutter_svg/issues/790,closed,2022-10-19,2022-10-25,2022-10-25,d43b6b8a638454318dbee1a41a683ad604419f61
tak8997,https://api.github.com/repos/dnfield/flutter_svg/pulls/785,https://api.github.com/repos/dnfield/flutter_svg/issues/785,closed,2022-10-10,2022-11-18,,cd672e15ffd6368124954f471c0391c5ae135132
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/782,https://api.github.com/repos/dnfield/flutter_svg/issues/782,closed,2022-10-03,2023-02-23,2022-11-18,2c9223dcbf0e5f29c99ad94ca6e58d719804dc18
seths10,https://api.github.com/repos/dnfield/flutter_svg/pulls/775,https://api.github.com/repos/dnfield/flutter_svg/issues/775,closed,2022-09-13,2022-09-13,,09b195cbe16ff567ef1f884af6fe01271c381d8c
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/773,https://api.github.com/repos/dnfield/flutter_svg/issues/773,closed,2022-09-09,2022-09-09,2022-09-09,f1fff6b22fc0edb710ec79faef30ec8bc31449fd
nohli,https://api.github.com/repos/dnfield/flutter_svg/pulls/767,https://api.github.com/repos/dnfield/flutter_svg/issues/767,closed,2022-09-06,2022-09-06,2022-09-06,fc382c857994a98ab40ef70db0e0578001a27882
MrCsabaToth,https://api.github.com/repos/dnfield/flutter_svg/pulls/761,https://api.github.com/repos/dnfield/flutter_svg/issues/761,closed,2022-09-01,2022-11-19,,5ede5562b605acacade31428b61c47035604c42b
ikbendewilliam,https://api.github.com/repos/dnfield/flutter_svg/pulls/756,https://api.github.com/repos/dnfield/flutter_svg/issues/756,closed,2022-08-27,2022-11-18,,6ec890843483e83d4a0857c923621bdc12f9951b
ikbendewilliam,https://api.github.com/repos/dnfield/flutter_svg/pulls/754,https://api.github.com/repos/dnfield/flutter_svg/issues/754,closed,2022-08-25,2022-11-18,,6ffc436006e2769ec6a6c51b480ae9f06d665657
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/750,https://api.github.com/repos/dnfield/flutter_svg/issues/750,closed,2022-08-17,2022-08-17,2022-08-17,43f7ac70dffcc772302b50400d94e3a3fe66f132
ikbendewilliam,https://api.github.com/repos/dnfield/flutter_svg/pulls/748,https://api.github.com/repos/dnfield/flutter_svg/issues/748,closed,2022-08-16,2022-11-18,,b9de010bb689bd8651dc635e5509756da43d6939
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/747,https://api.github.com/repos/dnfield/flutter_svg/issues/747,closed,2022-08-05,2022-08-05,2022-08-05,2623d1129ba7d2895702244ee431c38dd0f98ee9
khanhnt748,https://api.github.com/repos/dnfield/flutter_svg/pulls/744,https://api.github.com/repos/dnfield/flutter_svg/issues/744,closed,2022-08-04,2022-08-05,,a828e86c0251d124c1e9100e21b90af423728ba5
vimaxwell,https://api.github.com/repos/dnfield/flutter_svg/pulls/737,https://api.github.com/repos/dnfield/flutter_svg/issues/737,closed,2022-07-21,2022-11-18,,5368ca7fe4b3f1f385f5ad47be675a3ee736599e
Tprasanth,https://api.github.com/repos/dnfield/flutter_svg/pulls/731,https://api.github.com/repos/dnfield/flutter_svg/issues/731,closed,2022-07-02,2022-07-02,,50cae71748582496730bd3b374c3cabbf02a4ef6
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/730,https://api.github.com/repos/dnfield/flutter_svg/issues/730,closed,2022-07-02,2022-07-02,2022-07-02,5c3c99ab46da39ec40d756b10b69f495a698a59c
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/724,https://api.github.com/repos/dnfield/flutter_svg/issues/724,closed,2022-06-21,2022-07-01,2022-06-21,28073a23965a86d4bbe4d96cc549dd40665a4aef
Lufan,https://api.github.com/repos/dnfield/flutter_svg/pulls/723,https://api.github.com/repos/dnfield/flutter_svg/issues/723,closed,2022-06-18,2022-06-21,2022-06-21,1e3777c2bcd2eff8af5addfa2ba4bd547951f90d
Lufan,https://api.github.com/repos/dnfield/flutter_svg/pulls/722,https://api.github.com/repos/dnfield/flutter_svg/issues/722,closed,2022-06-18,2022-06-21,,79baddd8de8bd8659a298621e1a617bfb5b90f55
jonahwilliams,https://api.github.com/repos/dnfield/flutter_svg/pulls/721,https://api.github.com/repos/dnfield/flutter_svg/issues/721,closed,2022-06-17,2022-06-17,2022-06-17,e25f0da6f8b65a5977871acfab68e7ec805591a6
erdemyerebasmaz,https://api.github.com/repos/dnfield/flutter_svg/pulls/713,https://api.github.com/repos/dnfield/flutter_svg/issues/713,closed,2022-05-19,2022-05-22,2022-05-19,f0a1b4f8cb73524ddf67468be189d481b5ff2046
FaFre,https://api.github.com/repos/dnfield/flutter_svg/pulls/701,https://api.github.com/repos/dnfield/flutter_svg/issues/701,closed,2022-04-30,2022-05-01,2022-05-01,f350eaf0bd5729a21aace93901ffde6a03accb9d
espresso3389,https://api.github.com/repos/dnfield/flutter_svg/pulls/689,https://api.github.com/repos/dnfield/flutter_svg/issues/689,closed,2022-04-01,2022-07-04,,81c1b27f370b3d685f5dc5c5a030fe5d24fae8fd
qiongshusheng,https://api.github.com/repos/dnfield/flutter_svg/pulls/678,https://api.github.com/repos/dnfield/flutter_svg/issues/678,closed,2022-03-10,2022-07-04,,dcba5cdbed5b2ab509e3b09c7c011da28a06cba4
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/674,https://api.github.com/repos/dnfield/flutter_svg/issues/674,closed,2022-03-05,2022-03-05,2022-03-05,1e923a3a04be1c5ea71bcdcfcf10b4e02d96751e
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/671,https://api.github.com/repos/dnfield/flutter_svg/issues/671,closed,2022-03-01,2022-03-01,2022-03-01,943924c555e3d4154bd191a9ea9cbbb7074ee82e
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/664,https://api.github.com/repos/dnfield/flutter_svg/issues/664,closed,2022-02-15,2022-02-15,2022-02-15,8c5ec0b3b355329136fd818d04e0aa7ab247e52d
jason-simmons,https://api.github.com/repos/dnfield/flutter_svg/pulls/658,https://api.github.com/repos/dnfield/flutter_svg/issues/658,closed,2022-01-25,2022-01-25,2022-01-25,2dbbd373205fb7b336a2d3e8fef727037a20730d
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/656,https://api.github.com/repos/dnfield/flutter_svg/issues/656,closed,2022-01-21,2022-01-21,2022-01-21,ce9dc0eb4206163c10ba2122e64485c4984ec5ce
cristian1980,https://api.github.com/repos/dnfield/flutter_svg/pulls/655,https://api.github.com/repos/dnfield/flutter_svg/issues/655,closed,2022-01-21,2022-01-21,,ee51e5b65711ec53900cc1b0f1268b81d72dc58b
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/652,https://api.github.com/repos/dnfield/flutter_svg/issues/652,closed,2022-01-18,2022-01-18,2022-01-18,cf2d541941395c189297a803bef57e25002383ca
0xba1,https://api.github.com/repos/dnfield/flutter_svg/pulls/647,https://api.github.com/repos/dnfield/flutter_svg/issues/647,closed,2022-01-13,2022-01-13,2022-01-13,49bcd4b5c613ec0c748a222e570873feb2a340b8
0xba1,https://api.github.com/repos/dnfield/flutter_svg/pulls/646,https://api.github.com/repos/dnfield/flutter_svg/issues/646,closed,2022-01-13,2022-01-13,,6bb088ab03da20346c79f305a383967b7706d76a
0xba1,https://api.github.com/repos/dnfield/flutter_svg/pulls/645,https://api.github.com/repos/dnfield/flutter_svg/issues/645,closed,2022-01-13,2022-01-13,,4e2ff1d7efee3e98be2b0bede51ec2445463f0ac
xal,https://api.github.com/repos/dnfield/flutter_svg/pulls/625,https://api.github.com/repos/dnfield/flutter_svg/issues/625,closed,2021-12-05,2022-06-01,,05357fc8a73c3a6c8a5bf4a8aa26a705178f58ab
jnschulze,https://api.github.com/repos/dnfield/flutter_svg/pulls/621,https://api.github.com/repos/dnfield/flutter_svg/issues/621,closed,2021-11-28,2022-01-18,2022-01-18,6c5443b86f82029c9e0f42338e770c0b14cacfac
ashish12s3,https://api.github.com/repos/dnfield/flutter_svg/pulls/619,https://api.github.com/repos/dnfield/flutter_svg/issues/619,closed,2021-11-22,2022-07-04,,5a37d7f1e29926c268cf8aaca4db6ad711bb9f72
bselwe,https://api.github.com/repos/dnfield/flutter_svg/pulls/618,https://api.github.com/repos/dnfield/flutter_svg/issues/618,closed,2021-11-19,2021-12-08,2021-12-08,dc9e644a3652c4200a7d6dd523ee88e8823080ba
sarbagyastha,https://api.github.com/repos/dnfield/flutter_svg/pulls/613,https://api.github.com/repos/dnfield/flutter_svg/issues/613,closed,2021-10-28,2021-10-28,2021-10-28,fbe927893187af4afadb5bd38bc847bae9b5dea6
SergeShkurko,https://api.github.com/repos/dnfield/flutter_svg/pulls/612,https://api.github.com/repos/dnfield/flutter_svg/issues/612,closed,2021-10-23,2021-10-24,,b5f662814e2424451da133f259c1771e77b466da
daohoangson,https://api.github.com/repos/dnfield/flutter_svg/pulls/611,https://api.github.com/repos/dnfield/flutter_svg/issues/611,closed,2021-10-19,2021-12-03,2021-12-03,fa5f0c3f4b4a669d6344a6836259a3c063a1650b
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/608,https://api.github.com/repos/dnfield/flutter_svg/issues/608,closed,2021-10-13,2021-10-13,2021-10-13,87221450d73ec6b4f9cb23f5bdec712a151a36f0
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/606,https://api.github.com/repos/dnfield/flutter_svg/issues/606,closed,2021-10-11,2021-10-11,2021-10-11,d4a001f30f0a050d3766a983511b1f2500815870
bselwe,https://api.github.com/repos/dnfield/flutter_svg/pulls/605,https://api.github.com/repos/dnfield/flutter_svg/issues/605,closed,2021-10-07,2022-01-13,2021-11-18,666b171cbe22046e27775aeac440f89e5744688a
bselwe,https://api.github.com/repos/dnfield/flutter_svg/pulls/602,https://api.github.com/repos/dnfield/flutter_svg/issues/602,closed,2021-09-22,2021-10-01,2021-10-01,d2ca8bdc35ec4aac33a878852715b4a27e36851c
vimaxwell,https://api.github.com/repos/dnfield/flutter_svg/pulls/594,https://api.github.com/repos/dnfield/flutter_svg/issues/594,closed,2021-08-31,2021-08-31,,ba69bcd749f67b152e092d7571ae312f35aa0b2e
lukasmarsoner,https://api.github.com/repos/dnfield/flutter_svg/pulls/593,https://api.github.com/repos/dnfield/flutter_svg/issues/593,closed,2021-08-28,2021-08-28,,dcb3c3de659798dedd5719ca341c12c9a3e85450
dnfield,https://api.github.com/repos/dnfield/flutter_svg/pulls/592,https://api.github.com/repos/dnfield/flutter_svg/issues/592,closed,2021-08-27,2021-10-13,2021-10-13,12e2be462d7a689fbd96f4f5a59be5b2e52c7a56
lstanden,https://api.github.com/repos/dnfield/flutter_svg/pulls/588,https://api.github.com/repos/dnfield/flutter_svg/issues/588,closed,2021-08-21,2021-09-15,2021-09-15,3ffb3bc511e1fea42723b042a7d6a190df23dade
mishkov,https://api.github.com/repos/dnfield/flutter_svg/pulls/584,https://api.github.com/repos/dnfield/flutter_svg/issues/584,closed,2021-08-11,2021-08-16,2021-08-16,5de1f00cf362e29e2b305aac5bfd21a2e3714d35
flar,https://api.github.com/repos/dnfield/flutter_svg/pulls/583,https://api.github.com/repos/dnfield/flutter_svg/issues/583,closed,2021-08-06,2021-08-16,2021-08-16,50d2d69bc1bf2215b755f268adfdc3b83e74886b
KDet,https://api.github.com/repos/dnfield/flutter_svg/pulls/581,https://api.github.com/repos/dnfield/flutter_svg/issues/581,closed,2021-08-05,2022-01-21,,9c3479159d097c504a8e845656b9b0f4c67f1d36
flar,https://api.github.com/repos/dnfield/flutter_svg/pulls/575,https://api.github.com/repos/dnfield/flutter_svg/issues/575,closed,2021-07-14,2021-07-15,2021-07-15,f75eaeabaef1ffd5b52c679043b714787ee1d914
khantanveer7,https://api.github.com/repos/dnfield/flutter_svg/pulls/573,https://api.github.com/repos/dnfield/flutter_svg/issues/573,closed,2021-07-07,2022-07-04,,29d4bac1dd3fef5e56d1d93f567831aad7a4093e
domesticmouse,https://api.github.com/repos/dnfield/flutter_svg/pulls/572,https://api.github.com/repos/dnfield/flutter_svg/issues/572,closed,2021-07-02,2021-08-08,,41cae9af4f43803ee6b3ac69cb55738e9ab85b45
jnschulze,https://api.github.com/repos/dnfield/flutter_svg/pulls/563,https://api.github.com/repos/dnfield/flutter_svg/issues/563,closed,2021-05-27,2021-06-01,2021-06-01,38ca86ea768b09d684beff1e19b944ce699212fd
jnschulze,https://api.github.com/repos/dnfield/flutter_svg/pulls/562,https://api.github.com/repos/dnfield/flutter_svg/issues/562,closed,2021-05-27,2021-05-27,2021-05-27,c1e76895c2f2ce82ac6fac653cfbe7cc939932e0
beroso,https://api.github.com/repos/dnfield/flutter_svg/pulls/556,https://api.github.com/repos/dnfield/flutter_svg/issues/556,closed,2021-05-22,2024-01-18,2021-05-23,a7388ebfc7a22a125325a51ec073edcacf4b6641
jason-simmons,https://api.github.com/repos/dnfield/flutter_svg/pulls/555,https://api.github.com/repos/dnfield/flutter_svg/issues/555,closed,2021-05-18,2021-05-18,2021-05-18,9e19fd3491591a1130aecab0c471260d77a2f5d1
