user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
mdelapenya,https://api.github.com/repos/elastic/go-elasticsearch/pulls/824,https://api.github.com/repos/elastic/go-elasticsearch/issues/824,open,2024-03-06,2024-03-06,,1f3927618e2c00177157a94fe072dabfa0e2ddbc
czy0538,https://api.github.com/repos/elastic/go-elasticsearch/pulls/821,https://api.github.com/repos/elastic/go-elasticsearch/issues/821,open,2024-02-26,2024-03-05,,ff5a5988f3236fd8bbde13a69fc87a80881f076e
czy0538,https://api.github.com/repos/elastic/go-elasticsearch/pulls/820,https://api.github.com/repos/elastic/go-elasticsearch/issues/820,closed,2024-02-26,2024-02-26,,1d1a83b9454258e790da76084f72b2e6fb98056d
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/819,https://api.github.com/repos/elastic/go-elasticsearch/issues/819,closed,2024-02-22,2024-02-22,2024-02-22,16dcd2272cdd6639662474dab8eef17dce7dbb4c
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/818,https://api.github.com/repos/elastic/go-elasticsearch/issues/818,closed,2024-02-22,2024-02-22,2024-02-22,aa243a4aad737a744160c658fe0e1ba3179a64a6
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/817,https://api.github.com/repos/elastic/go-elasticsearch/issues/817,closed,2024-02-22,2024-02-22,2024-02-22,b9d2ac4fc0e6feac5d608b0cf5c5c63bb8888fca
szabosteve,https://api.github.com/repos/elastic/go-elasticsearch/pulls/816,https://api.github.com/repos/elastic/go-elasticsearch/issues/816,closed,2024-02-22,2024-02-22,2024-02-22,ab9e8b523888d41d85d475e5440c8634ccf84be7
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/815,https://api.github.com/repos/elastic/go-elasticsearch/issues/815,closed,2024-02-22,2024-02-22,2024-02-22,8e14dd83d92a9261f5c86b7b4616c77075961731
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/814,https://api.github.com/repos/elastic/go-elasticsearch/issues/814,closed,2024-02-22,2024-02-22,2024-02-22,995292609e3bb7f1e6fabd003799eb630e0f1615
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/813,https://api.github.com/repos/elastic/go-elasticsearch/issues/813,closed,2024-02-22,2024-02-22,2024-02-22,f24e7ba1ccbe9c5ab21000f08fecd2aa20147a9b
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/812,https://api.github.com/repos/elastic/go-elasticsearch/issues/812,closed,2024-02-21,2024-02-21,2024-02-21,215a321795fff34e09ac2da8f6d3f46babeb33e2
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/811,https://api.github.com/repos/elastic/go-elasticsearch/issues/811,closed,2024-02-21,2024-02-21,2024-02-21,2a7de3855b1e7a86bbf9f924e493634aa949055f
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/810,https://api.github.com/repos/elastic/go-elasticsearch/issues/810,closed,2024-02-21,2024-02-21,2024-02-21,107dec6608696a669ce2164993f949bfe850cd45
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/809,https://api.github.com/repos/elastic/go-elasticsearch/issues/809,closed,2024-02-21,2024-02-21,2024-02-21,d6567b87a99abc3d3d1146bb9a8c9b7c59f0e08e
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/808,https://api.github.com/repos/elastic/go-elasticsearch/issues/808,closed,2024-02-21,2024-02-21,2024-02-21,3bb8aa8f824146d61170fe414f61779fa4360f1c
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/807,https://api.github.com/repos/elastic/go-elasticsearch/issues/807,closed,2024-02-21,2024-02-21,2024-02-21,3af9c1ed04252cef4566da3847e40a959511dc6b
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/806,https://api.github.com/repos/elastic/go-elasticsearch/issues/806,closed,2024-02-21,2024-02-21,2024-02-21,a8624acebfde65ab517c04b12bded7af3c360139
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/805,https://api.github.com/repos/elastic/go-elasticsearch/issues/805,closed,2024-02-21,2024-02-21,2024-02-21,b2dc8fca513e32c1543642f1310c19753646f46e
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/804,https://api.github.com/repos/elastic/go-elasticsearch/issues/804,closed,2024-02-21,2024-02-21,2024-02-21,bd7b060d8144a304ca7a0fce689c474540f6d63b
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/803,https://api.github.com/repos/elastic/go-elasticsearch/issues/803,closed,2024-02-21,2024-02-21,2024-02-21,80b0dbef2d17856db29ef836e150270016417e4e
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/802,https://api.github.com/repos/elastic/go-elasticsearch/issues/802,closed,2024-02-15,2024-02-15,2024-02-15,98e908d602748078f9191fefe15480d4c41c20f8
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/799,https://api.github.com/repos/elastic/go-elasticsearch/issues/799,closed,2024-02-08,2024-02-08,2024-02-08,3d517ce5d2465e11c3c02b81532df245d5d9699a
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/798,https://api.github.com/repos/elastic/go-elasticsearch/issues/798,closed,2024-02-07,2024-02-07,2024-02-07,2b891aa36bbbeb24a5f77a6aa79a96e55c3061f5
tblyler,https://api.github.com/repos/elastic/go-elasticsearch/pulls/797,https://api.github.com/repos/elastic/go-elasticsearch/issues/797,closed,2024-02-05,2024-02-07,2024-02-07,dde3be0c74e4afedb5c02cbe9011a0c7b3f07b6b
HaraldNordgren,https://api.github.com/repos/elastic/go-elasticsearch/pulls/794,https://api.github.com/repos/elastic/go-elasticsearch/issues/794,closed,2024-02-02,2024-02-08,2024-02-08,6f0a04448083eda6115e5f5e331e9f9f87176eb7
HaraldNordgren,https://api.github.com/repos/elastic/go-elasticsearch/pulls/793,https://api.github.com/repos/elastic/go-elasticsearch/issues/793,closed,2024-02-01,2024-02-08,2024-02-08,a38be6ff5c0a75ad839df0eef5d95192708aebca
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/792,https://api.github.com/repos/elastic/go-elasticsearch/issues/792,closed,2024-01-18,2024-01-18,2024-01-18,af58adc905d569ce07db97ccee2657a62e936395
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/791,https://api.github.com/repos/elastic/go-elasticsearch/issues/791,closed,2024-01-18,2024-01-18,2024-01-18,a58e89f1ecc47a94db81a93c13935e8da3b8438b
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/790,https://api.github.com/repos/elastic/go-elasticsearch/issues/790,closed,2024-01-18,2024-01-18,2024-01-18,45241a9a3003f59b4744dccc9f98c347c2ee9b14
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/789,https://api.github.com/repos/elastic/go-elasticsearch/issues/789,closed,2024-01-18,2024-01-18,2024-01-18,469e896e60131f81954dd4a1b1662c463f165fce
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/788,https://api.github.com/repos/elastic/go-elasticsearch/issues/788,closed,2024-01-16,2024-01-16,2024-01-16,cc2cf165e3b370f66f5129ef533919fbb7d53020
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/787,https://api.github.com/repos/elastic/go-elasticsearch/issues/787,closed,2024-01-16,2024-01-16,2024-01-16,72a0a42d649ee3e18a684b3d2f09d2f4350441fb
frkntplglu,https://api.github.com/repos/elastic/go-elasticsearch/pulls/786,https://api.github.com/repos/elastic/go-elasticsearch/issues/786,closed,2024-01-16,2024-01-16,,50075672db8de1ed3c56c657eb5460b8fd16c9a0
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/784,https://api.github.com/repos/elastic/go-elasticsearch/issues/784,closed,2024-01-11,2024-01-11,2024-01-11,3bf6c18ebff22f3d954eec5ea4b0554666ddfbe8
benjyiw,https://api.github.com/repos/elastic/go-elasticsearch/pulls/783,https://api.github.com/repos/elastic/go-elasticsearch/issues/783,closed,2024-01-09,2024-01-11,2024-01-11,45924031df61a6581918b5e7bbe0aba240888b81
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/779,https://api.github.com/repos/elastic/go-elasticsearch/issues/779,closed,2023-12-22,2023-12-22,2023-12-22,3e540dd29dbc381d80519002e224a0b89572cca7
Anaethelion,https://api.github.com/repos/elastic/go-elasticsearch/pulls/778,https://api.github.com/repos/elastic/go-elasticsearch/issues/778,closed,2023-12-22,2023-12-22,2023-12-22,6dd40631135dfe21863bc80c66db27ac8eaa4084
github-actions[bot],https://api.github.com/repos/elastic/go-elasticsearch/pulls/777,https://api.github.com/repos/elastic/go-elasticsearch/issues/777,closed,2023-12-22,2023-12-22,2023-12-22,872d38cf7e11557268ad1eb6a6d42a217a84f848
