user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5937,https://api.github.com/repos/ethereum/aleth/issues/5937,closed,2021-10-06,2021-10-28,2021-10-28,5d1078ac43e0e2eaffb6e58300686d20a0bfb512
plan-do-break-fix,https://api.github.com/repos/ethereum/aleth/pulls/5923,https://api.github.com/repos/ethereum/aleth/issues/5923,closed,2021-04-24,2021-11-18,2021-10-28,aca432961e310758924eb5f4e91c9376b693a454
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5921,https://api.github.com/repos/ethereum/aleth/issues/5921,closed,2021-03-11,2021-03-12,2021-03-12,6e96ce34e3f131e2d42f3cb00741b54e05ab029d
kousiksnai99,https://api.github.com/repos/ethereum/aleth/pulls/5915,https://api.github.com/repos/ethereum/aleth/issues/5915,closed,2020-10-02,2020-10-05,,e4ebc242f4cfabfad1aadec804d589bb3ace33dd
winsvega,https://api.github.com/repos/ethereum/aleth/pulls/5909,https://api.github.com/repos/ethereum/aleth/issues/5909,open,2020-06-21,2020-10-29,,6ba1fe8b8950ca8438f2080f2d8267473a8c4262
winsvega,https://api.github.com/repos/ethereum/aleth/pulls/5900,https://api.github.com/repos/ethereum/aleth/issues/5900,closed,2020-04-05,2020-06-21,,4980baeca473b6a1067fd1d17e34e23112836fed
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5897,https://api.github.com/repos/ethereum/aleth/issues/5897,open,2020-02-26,2020-02-26,,c42b8e24b39e124f9567480c92a11f0d747b7086
winsvega,https://api.github.com/repos/ethereum/aleth/pulls/5893,https://api.github.com/repos/ethereum/aleth/issues/5893,closed,2020-02-22,2020-03-02,2020-03-02,2cc5937382c639958c3a9bf941f9ad5c3f786ff0
winsvega,https://api.github.com/repos/ethereum/aleth/pulls/5891,https://api.github.com/repos/ethereum/aleth/issues/5891,closed,2020-02-20,2020-04-05,,1b5bb027eb7f48deb9e08cc6cf16df82f698b0d8
winsvega,https://api.github.com/repos/ethereum/aleth/pulls/5885,https://api.github.com/repos/ethereum/aleth/issues/5885,closed,2020-02-03,2020-02-04,2020-02-04,a3b93200d2e88cbf2c1a2c15f0e8973f8454c8bc
binaryflesh,https://api.github.com/repos/ethereum/aleth/pulls/5882,https://api.github.com/repos/ethereum/aleth/issues/5882,closed,2020-01-29,2021-08-27,2020-03-26,9ab7d09a59b2202070af1e02bb56a4a76e5ca8cd
chfast,https://api.github.com/repos/ethereum/aleth/pulls/5879,https://api.github.com/repos/ethereum/aleth/issues/5879,open,2020-01-03,2021-01-31,,398b4ff942b6cf277b47df270112abe588aa3bec
qblays,https://api.github.com/repos/ethereum/aleth/pulls/5878,https://api.github.com/repos/ethereum/aleth/issues/5878,open,2019-12-31,2019-12-31,,6d2b6711485876cf6c3cc0ee1899f902585016d5
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5875,https://api.github.com/repos/ethereum/aleth/issues/5875,closed,2019-12-23,2019-12-23,2019-12-23,2fe1bec5022e8160da03cf47994a093a1686646f
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5872,https://api.github.com/repos/ethereum/aleth/issues/5872,closed,2019-12-16,2021-09-14,2019-12-16,029783911fbf577018c0ee36c10c6ecf34626618
gumb0,https://api.github.com/repos/ethereum/aleth/pulls/5871,https://api.github.com/repos/ethereum/aleth/issues/5871,closed,2019-12-12,2019-12-16,2019-12-16,85529f3097da028ea4dac33a5acbcea6aa106041
