user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dcwk,https://api.github.com/repos/evrone/go-clean-template/pulls/202,https://api.github.com/repos/evrone/go-clean-template/issues/202,open,2023-11-16,2023-11-16,,62b91641c1093b10ec76ba61da046878ec63a569
Conight,https://api.github.com/repos/evrone/go-clean-template/pulls/198,https://api.github.com/repos/evrone/go-clean-template/issues/198,open,2023-09-06,2023-09-06,,612de5bef6f786dae4713d89986e3880d4cc62e4
sesigl,https://api.github.com/repos/evrone/go-clean-template/pulls/195,https://api.github.com/repos/evrone/go-clean-template/issues/195,closed,2023-06-13,2023-06-13,,5bc7465fd9817f1785bb8c26c5891bc1d7bb7df5
sesigl,https://api.github.com/repos/evrone/go-clean-template/pulls/194,https://api.github.com/repos/evrone/go-clean-template/issues/194,closed,2023-05-25,2023-05-25,,4ed3a311510a647e17d349facbc2ad99a518c03a
sesigl,https://api.github.com/repos/evrone/go-clean-template/pulls/192,https://api.github.com/repos/evrone/go-clean-template/issues/192,open,2023-05-14,2023-05-15,,a390c1dc05d21d6e0f3774865a1bf50f1607d635
jokius,https://api.github.com/repos/evrone/go-clean-template/pulls/191,https://api.github.com/repos/evrone/go-clean-template/issues/191,open,2023-04-02,2023-04-02,,0aca1078f72c11b058f7a14cebca37e69b3b1017
IAmSurajBobade,https://api.github.com/repos/evrone/go-clean-template/pulls/190,https://api.github.com/repos/evrone/go-clean-template/issues/190,open,2023-03-11,2023-03-11,,199ab330b45ffd49bf867ad4f0d246412c215c0a
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/189,https://api.github.com/repos/evrone/go-clean-template/issues/189,open,2023-03-07,2023-03-07,,5f01f8cbc16005e4236b0767705d0d9a5a255e8f
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/188,https://api.github.com/repos/evrone/go-clean-template/issues/188,open,2023-03-07,2023-03-07,,286c266f3d066552303aae2e580687a4e7f79ac0
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/187,https://api.github.com/repos/evrone/go-clean-template/issues/187,open,2023-02-28,2023-02-28,,0b4d4dbd1e31fba801185e301f8753636dfee12c
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/186,https://api.github.com/repos/evrone/go-clean-template/issues/186,open,2023-02-28,2023-02-28,,4b8ca6f15a28328ce5aa2c86222a391323f9aacd
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/185,https://api.github.com/repos/evrone/go-clean-template/issues/185,open,2023-02-25,2023-02-25,,83221aaad96515d4934ab9a6347881b6a6e525b6
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/184,https://api.github.com/repos/evrone/go-clean-template/issues/184,open,2023-02-23,2023-02-23,,619f26dded95f8217fea16e511e167dfa61f3d1f
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/183,https://api.github.com/repos/evrone/go-clean-template/issues/183,open,2023-02-21,2023-02-21,,aefa073e760364d3503210203e9b8424f8cdb072
dependabot[bot],https://api.github.com/repos/evrone/go-clean-template/pulls/182,https://api.github.com/repos/evrone/go-clean-template/issues/182,closed,2023-02-14,2023-02-28,,bde48b85db77ea5be0e2e21b13477a926fc7b71b
