user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Avinash7770,https://api.github.com/repos/expressjs/morgan/pulls/287,https://api.github.com/repos/expressjs/morgan/issues/287,closed,2024-02-16,2024-02-16,,4db752f1aff781c44ea645ce139a4b9d54a0d5b3
green-veggies,https://api.github.com/repos/expressjs/morgan/pulls/284,https://api.github.com/repos/expressjs/morgan/issues/284,open,2023-10-11,2023-10-11,,c8801a6ad870998142c96298e0a958e38867602d
benzhuo,https://api.github.com/repos/expressjs/morgan/pulls/281,https://api.github.com/repos/expressjs/morgan/issues/281,open,2023-02-23,2023-02-23,,5dc73fcdbcac0595e11971c4443cf2ae1830e9e4
cedricmillet,https://api.github.com/repos/expressjs/morgan/pulls/276,https://api.github.com/repos/expressjs/morgan/issues/276,closed,2023-01-18,2023-01-18,,24c1e54eefd0ceef2777bc776014b886bdf5fadf
gfoust,https://api.github.com/repos/expressjs/morgan/pulls/272,https://api.github.com/repos/expressjs/morgan/issues/272,open,2022-12-17,2023-05-21,,bf5ae651a93d02a0a6549722082b6aacfd2b02ec
JabSYsEmb,https://api.github.com/repos/expressjs/morgan/pulls/269,https://api.github.com/repos/expressjs/morgan/issues/269,closed,2022-08-25,2023-03-02,,55843631b6abcb2f963d70cd33f0fff670d682fa
ebesojoseph,https://api.github.com/repos/expressjs/morgan/pulls/267,https://api.github.com/repos/expressjs/morgan/issues/267,closed,2022-08-04,2022-08-04,,e336aa85be148da17129f4221cf1ac81c52c02a3
firasmlt,https://api.github.com/repos/expressjs/morgan/pulls/266,https://api.github.com/repos/expressjs/morgan/issues/266,closed,2022-08-03,2024-02-04,,aca0487e9a061700377492d56af50d4a0a30cfcd
permalik,https://api.github.com/repos/expressjs/morgan/pulls/263,https://api.github.com/repos/expressjs/morgan/issues/263,closed,2022-06-29,2022-06-29,,218ae1f00a25085d2230979b6da3614785dae49c
rezarazani,https://api.github.com/repos/expressjs/morgan/pulls/257,https://api.github.com/repos/expressjs/morgan/issues/257,closed,2021-11-02,2021-11-02,,18324247e039f67a5035e59bce4b007a605c303a
ziadkhouri,https://api.github.com/repos/expressjs/morgan/pulls/255,https://api.github.com/repos/expressjs/morgan/issues/255,closed,2021-08-16,2021-08-16,,cbb99bd10fef158ec5bde7528362225100a0a4be
Zorono,https://api.github.com/repos/expressjs/morgan/pulls/252,https://api.github.com/repos/expressjs/morgan/issues/252,closed,2020-12-21,2020-12-24,,e3c009177e740e5e6afc9f8c0c233c7d463c8436
FeixuRuins,https://api.github.com/repos/expressjs/morgan/pulls/249,https://api.github.com/repos/expressjs/morgan/issues/249,closed,2020-11-17,2020-11-19,,83553832538f8b4a2956f4d6cc9ad7c0ab3edbc5
mkspcd,https://api.github.com/repos/expressjs/morgan/pulls/248,https://api.github.com/repos/expressjs/morgan/issues/248,closed,2020-10-01,2023-12-11,,664d8b21f27283ccd6fe5895474e983c7dd075b3
mum-never-proud,https://api.github.com/repos/expressjs/morgan/pulls/241,https://api.github.com/repos/expressjs/morgan/issues/241,open,2020-04-18,2020-04-18,,fefd96e4ad1ea88886b6162620f5b79adac0afa1
ryhinchey,https://api.github.com/repos/expressjs/morgan/pulls/239,https://api.github.com/repos/expressjs/morgan/issues/239,closed,2020-04-12,2021-03-19,,801d52f577d5ba082d868e75848df8cce01b05bf
ryhinchey,https://api.github.com/repos/expressjs/morgan/pulls/238,https://api.github.com/repos/expressjs/morgan/issues/238,closed,2020-04-10,2020-04-12,,4a9f76da093e6da46643996e468befabb58ca8c8
ryhinchey,https://api.github.com/repos/expressjs/morgan/pulls/237,https://api.github.com/repos/expressjs/morgan/issues/237,closed,2020-04-10,2020-04-13,2020-04-13,b94f3ffe5c346740b704321da6bd47e7d436a0d6
