user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
moeadham,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1252,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1252,open,2024-02-19,2024-02-19,,dc9da93c8bb6ec7b513ebb1fa9e9c071a86d38c4
srikanth-descript,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1245,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1245,closed,2024-01-24,2024-01-24,,
njoyard,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1235,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1235,open,2023-11-12,2024-02-26,,23a691707274703d5831a7a7ef461a426d2beff0
njoyard,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1234,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1234,closed,2023-11-12,2023-11-12,2023-11-12,843e57fe8d64ac6faded798a6ec19409221e70fb
njoyard,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1232,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1232,closed,2023-11-11,2023-11-11,2023-11-11,7a7a86dfaeac0814962a316f4438124e86645e57
Andrewiski,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1192,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1192,open,2022-10-07,2022-11-07,,5cf9ab952f7d6adeec305b6479efa817c96aad2d
AbdulSamadMalik,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1161,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1161,closed,2021-11-02,2023-04-04,,8d75f1953ec919aa78b0d1dd6b85978bb93b339a
pandominox,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1153,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1153,open,2021-10-08,2023-11-06,,a56b01f7fa5a0cbad1a38efb1b55681128808d8f
mulekick,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1152,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1152,open,2021-10-02,2021-10-02,,265fc258c85f87f311ecfec167212fad29f65575
mandaputtra,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1148,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1148,open,2021-09-11,2021-09-11,,121e47ef57d583fdeb8e422aa19b38041374b40f
haflinger,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1138,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1138,open,2021-07-27,2023-10-20,,a7a11212ebf760394bd05ff4f0e9419e9d9fe9a0
srubin,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1131,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1131,open,2021-05-27,2021-05-27,,9ea4086a29820b12ef6fc5066cb515d021d0774c
n4n0byte,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1128,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1128,open,2021-05-13,2021-05-13,,91d67ae5d035b6f3d4f38f7ee84e104913659ffd
TheoLeCalvar,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1121,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1121,open,2021-04-03,2023-01-23,,f97344aef1fa7c58f076138ca78bd1b8d7122d3f
vectronic,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1114,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1114,closed,2021-03-18,2023-06-16,,8ff183dcfb62cf0d69bc67979a9fcb6b695ebc09
karimmakhloufi,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1111,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1111,closed,2021-03-09,2023-11-11,2023-11-11,4bb66438a2255359312562c01fe2bb38499fece0
vectronic,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1108,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1108,closed,2021-03-06,2021-03-06,,b84a8483e12848977a8b725baa6a0bf7773a80b3
laggingreflex,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1090,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1090,open,2020-12-11,2020-12-13,,09ecd882220d5e7db24ad06d9466d7f710e69ca1
JoshStern,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1081,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1081,closed,2020-11-04,2021-07-08,,81f931982fd6c84be06841cf16fa496d451211a5
umens,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1077,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1077,open,2020-10-29,2021-02-19,,0b5042a8f62f3cc678f872cd125beb27d1c35c2b
tan-tan-kanarek,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1073,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1073,open,2020-10-14,2021-04-09,,e42a5fd496145b1b5f7465cd50d838d82fcd1604
MartinBarker,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1039,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1039,open,2020-07-27,2020-07-27,,033595b4b920d81f993a802a333b2712feb311d9
ikariiin,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1026,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1026,open,2020-06-28,2021-04-10,,9c82104dc621393b78f96da9d624830939d66199
extremecodetv,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/pulls/1017,https://api.github.com/repos/fluent-ffmpeg/node-fluent-ffmpeg/issues/1017,open,2020-06-01,2021-04-22,,3d3f6666357e3d144bd2d0a1acc33e3a5d3a0b4b
