user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ovstetun,https://api.github.com/repos/gajus/slonik/pulls/534,https://api.github.com/repos/gajus/slonik/issues/534,open,2024-02-15,2024-02-15,,97336893ffb4978766a4236736c7fac1fc7a46d6
oguimbal,https://api.github.com/repos/gajus/slonik/pulls/530,https://api.github.com/repos/gajus/slonik/issues/530,open,2024-01-18,2024-01-28,,191360d57030522154709eac37eb1da228a530bc
gajus,https://api.github.com/repos/gajus/slonik/pulls/522,https://api.github.com/repos/gajus/slonik/issues/522,closed,2023-10-25,2023-10-31,2023-10-30,001179cce35e5ae230c8aedfc62384a3ca091a09
webpro,https://api.github.com/repos/gajus/slonik/pulls/518,https://api.github.com/repos/gajus/slonik/issues/518,closed,2023-10-08,2023-10-23,2023-10-09,ddbc64cf3a8570f0849323f91378a61326e14621
mmkal,https://api.github.com/repos/gajus/slonik/pulls/512,https://api.github.com/repos/gajus/slonik/issues/512,closed,2023-10-04,2024-01-27,,95646d4080280b3c2c839eedfe8b4b7a4147d4b1
gajus,https://api.github.com/repos/gajus/slonik/pulls/510,https://api.github.com/repos/gajus/slonik/issues/510,closed,2023-09-28,2023-11-02,2023-09-28,690470579a25d7f840ce2ce816da9ec3be90b8dc
gajus,https://api.github.com/repos/gajus/slonik/pulls/507,https://api.github.com/repos/gajus/slonik/issues/507,closed,2023-09-26,2023-09-27,,271fb67f34a8f68799cf6ad38cd48fa7977ba6ff
dantio,https://api.github.com/repos/gajus/slonik/pulls/501,https://api.github.com/repos/gajus/slonik/issues/501,closed,2023-08-09,2023-08-09,,6a42d6e84ddf08895312377df4996d75390e1d6a
C-l-o-u-d,https://api.github.com/repos/gajus/slonik/pulls/497,https://api.github.com/repos/gajus/slonik/issues/497,closed,2023-07-07,2023-09-27,,9a59f60c21f09505fddb18537b4542bba2fc0ebd
pablosproject,https://api.github.com/repos/gajus/slonik/pulls/496,https://api.github.com/repos/gajus/slonik/issues/496,closed,2023-07-06,2023-09-26,,ddcdf90288b9ee36fe0522422ff824efeeeef4cb
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/495,https://api.github.com/repos/gajus/slonik/issues/495,closed,2023-06-30,2023-10-11,2023-09-26,e963f7fc867f7ac8a15a2b857efbdb0976049d7d
mull,https://api.github.com/repos/gajus/slonik/pulls/492,https://api.github.com/repos/gajus/slonik/issues/492,closed,2023-06-19,2023-09-26,,6b0db7d984933547319013a44e42c3dbf4a7b830
ncurbez,https://api.github.com/repos/gajus/slonik/pulls/486,https://api.github.com/repos/gajus/slonik/issues/486,closed,2023-05-14,2023-08-09,2023-08-09,ed6b9a9fd312916a6d094fdf452aedf81499a07f
lorentzlasson,https://api.github.com/repos/gajus/slonik/pulls/477,https://api.github.com/repos/gajus/slonik/issues/477,closed,2023-03-28,2023-09-26,,04cf5f6ea9f147247966a53304c79497b684117d
wokkaflokka,https://api.github.com/repos/gajus/slonik/pulls/476,https://api.github.com/repos/gajus/slonik/issues/476,closed,2023-03-17,2023-03-20,2023-03-20,df915daf8f9ff735d3513794dda96e25f82158ce
gajus,https://api.github.com/repos/gajus/slonik/pulls/474,https://api.github.com/repos/gajus/slonik/issues/474,closed,2023-03-16,2023-03-20,,829c872399638b76f303d148b4ab5fee4136d3a4
gajus,https://api.github.com/repos/gajus/slonik/pulls/462,https://api.github.com/repos/gajus/slonik/issues/462,closed,2023-02-23,2023-02-23,2023-02-23,97e1034ee6417c126f31bd40c1455fd33dfe9363
gajus,https://api.github.com/repos/gajus/slonik/pulls/461,https://api.github.com/repos/gajus/slonik/issues/461,closed,2023-02-23,2023-02-23,2023-02-23,8a1e725bd46376da0c9f51a85e8579c8f1b045b1
gajus,https://api.github.com/repos/gajus/slonik/pulls/460,https://api.github.com/repos/gajus/slonik/issues/460,closed,2023-02-23,2023-02-23,2023-02-23,577d7cc8f4fe7907d800a1f9fde47ec5d6a48939
gajus,https://api.github.com/repos/gajus/slonik/pulls/459,https://api.github.com/repos/gajus/slonik/issues/459,closed,2023-02-23,2023-02-23,,47b48f97ffb0b8af7a0d7d76f072036246374fa5
BridgeAR,https://api.github.com/repos/gajus/slonik/pulls/453,https://api.github.com/repos/gajus/slonik/issues/453,closed,2023-02-10,2023-02-23,,dc809c04ac6f47704e97b7cb9899addc58532b0a
gajus,https://api.github.com/repos/gajus/slonik/pulls/451,https://api.github.com/repos/gajus/slonik/issues/451,closed,2023-02-08,2023-02-08,2023-02-08,a08249cf6302720cf260403c63cb817db6dfeff8
Youmoo,https://api.github.com/repos/gajus/slonik/pulls/444,https://api.github.com/repos/gajus/slonik/issues/444,closed,2022-12-22,2023-02-10,,77e35fea6e9d90536a612b5eec0f8d2359f79b34
MiK546,https://api.github.com/repos/gajus/slonik/pulls/433,https://api.github.com/repos/gajus/slonik/issues/433,closed,2022-11-16,2022-11-29,2022-11-29,fe9d1b518c61e39b5068f7aa7efdc81908aa046f
gajus,https://api.github.com/repos/gajus/slonik/pulls/429,https://api.github.com/repos/gajus/slonik/issues/429,closed,2022-11-09,2022-11-09,2022-11-09,d2f62c84b05cf1619a7b6b94ef848832cb58f5e4
gajus,https://api.github.com/repos/gajus/slonik/pulls/424,https://api.github.com/repos/gajus/slonik/issues/424,closed,2022-10-20,2022-10-20,2022-10-20,87d5e67da754da3b22db9c593b8f8c850aa3e0a8
brayn003,https://api.github.com/repos/gajus/slonik/pulls/423,https://api.github.com/repos/gajus/slonik/issues/423,closed,2022-10-19,2022-10-21,,1e6a81133a2b4d5ccc41b0e1443de7cc9d57a235
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/421,https://api.github.com/repos/gajus/slonik/issues/421,closed,2022-10-05,2022-10-18,2022-10-11,9ed1422201aef59bd692aef7124571b7e60a5651
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/420,https://api.github.com/repos/gajus/slonik/issues/420,closed,2022-10-05,2022-12-16,,878a0f10853a03a4b853c370b26a4ba945fa2f45
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/419,https://api.github.com/repos/gajus/slonik/issues/419,closed,2022-10-05,2022-12-16,,45bcfc69fd81113502bb01a1036358dd91e5c7d6
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/417,https://api.github.com/repos/gajus/slonik/issues/417,closed,2022-10-05,2022-12-16,,2b458dc0ce56e8fd9dbfe7d9ed771086a057f4b9
Snurppa,https://api.github.com/repos/gajus/slonik/pulls/416,https://api.github.com/repos/gajus/slonik/issues/416,closed,2022-09-26,2022-10-18,2022-10-18,2d552a4ded73d9d3e7b1dddf398ea9fd70e84399
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/414,https://api.github.com/repos/gajus/slonik/issues/414,closed,2022-09-19,2022-09-20,2022-09-20,caadafadb59badc9427828066ddf588b30fd97f8
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/412,https://api.github.com/repos/gajus/slonik/issues/412,closed,2022-09-19,2023-02-21,2023-02-21,405c23f0a6ec012b56ea4f954bd4b32ac9b4fb1c
mgreenw,https://api.github.com/repos/gajus/slonik/pulls/409,https://api.github.com/repos/gajus/slonik/issues/409,closed,2022-09-10,2022-09-10,2022-09-10,d66b76c44638c8b424cea55475d6e1385c2caae8
gajus,https://api.github.com/repos/gajus/slonik/pulls/401,https://api.github.com/repos/gajus/slonik/issues/401,closed,2022-09-07,2022-09-10,2022-09-07,700242de19205585315ae9f2096d86e1577efdf6
dependabot[bot],https://api.github.com/repos/gajus/slonik/pulls/400,https://api.github.com/repos/gajus/slonik/issues/400,closed,2022-09-06,2022-09-07,,5a0cd8d4b559a1a3d087db07e91edda036b9aec3
dependabot[bot],https://api.github.com/repos/gajus/slonik/pulls/399,https://api.github.com/repos/gajus/slonik/issues/399,closed,2022-09-06,2022-09-07,,f9638e5b87d581e864beb2cec975afc96b52ead3
zhulien-ivanov,https://api.github.com/repos/gajus/slonik/pulls/396,https://api.github.com/repos/gajus/slonik/issues/396,closed,2022-09-03,2022-09-06,,8adc7f192d480c46a46c56f5d8f6ec02205a8951
aust1nz,https://api.github.com/repos/gajus/slonik/pulls/392,https://api.github.com/repos/gajus/slonik/issues/392,closed,2022-08-30,2022-09-07,2022-09-06,9615201c61e142f94d3db9c2374f551a8a9048ba
Jaspooky,https://api.github.com/repos/gajus/slonik/pulls/387,https://api.github.com/repos/gajus/slonik/issues/387,closed,2022-08-20,2022-08-22,,9878d9604dc1b91ae2807f400d298cac4a8aabf2
gajus,https://api.github.com/repos/gajus/slonik/pulls/385,https://api.github.com/repos/gajus/slonik/issues/385,closed,2022-08-19,2022-08-19,2022-08-19,7f578fff637ae1784dd48a6600262d0da710e341
gajus,https://api.github.com/repos/gajus/slonik/pulls/383,https://api.github.com/repos/gajus/slonik/issues/383,closed,2022-08-19,2022-08-19,2022-08-19,fece53a088f9363eb55a6181a3d1d5e803579fe6
dependabot[bot],https://api.github.com/repos/gajus/slonik/pulls/382,https://api.github.com/repos/gajus/slonik/issues/382,closed,2022-08-18,2022-09-06,2022-09-06,9aa8880b3a7431347f55728e72386aabd4ae2773
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/379,https://api.github.com/repos/gajus/slonik/issues/379,closed,2022-08-08,2022-09-19,,6fd07d5872ccefc481573f6ad49de5e19123b6c5
alxndrsn,https://api.github.com/repos/gajus/slonik/pulls/377,https://api.github.com/repos/gajus/slonik/issues/377,closed,2022-08-08,2022-09-19,,07850781752625438ab02fe972f6ec1a7daec407
gajus,https://api.github.com/repos/gajus/slonik/pulls/376,https://api.github.com/repos/gajus/slonik/issues/376,closed,2022-08-06,2022-08-06,2022-08-06,c8805031c7a41584dc6f079a70420e1bfe7b1a65
gajus,https://api.github.com/repos/gajus/slonik/pulls/375,https://api.github.com/repos/gajus/slonik/issues/375,closed,2022-08-05,2022-08-05,2022-08-05,2948a7b8c044b22cb447d46b528f3e957c72ae66
dependabot[bot],https://api.github.com/repos/gajus/slonik/pulls/374,https://api.github.com/repos/gajus/slonik/issues/374,closed,2022-08-05,2022-08-20,2022-08-19,b7d6a3f12350ad9e6075e80590784b1d980b0181
