user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/1005,https://api.github.com/repos/gilbarbara/react-joyride/issues/1005,closed,2024-02-20,2024-02-22,2024-02-22,49c513dce239d51d85d00a4637dcacb4fc57607e
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/979,https://api.github.com/repos/gilbarbara/react-joyride/issues/979,closed,2023-12-14,2023-12-23,2023-12-23,75058d30aea25150d5910badcae13102b5a0185e
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/962,https://api.github.com/repos/gilbarbara/react-joyride/issues/962,closed,2023-10-27,2023-11-09,2023-11-09,7c57a9793f96e068cae2ab6df5184690f40980ae
sergei-deriv,https://api.github.com/repos/gilbarbara/react-joyride/pulls/960,https://api.github.com/repos/gilbarbara/react-joyride/issues/960,closed,2023-10-26,2023-12-23,,48f9efeb666f62788d871958d76f5ca23ca39fbb
mike-healy,https://api.github.com/repos/gilbarbara/react-joyride/pulls/958,https://api.github.com/repos/gilbarbara/react-joyride/issues/958,closed,2023-10-25,2023-12-23,,4dd3208d1cfc14a5a4bfd7f685961185519d642a
manishPh,https://api.github.com/repos/gilbarbara/react-joyride/pulls/954,https://api.github.com/repos/gilbarbara/react-joyride/issues/954,closed,2023-10-12,2023-12-22,,b05055b1d389e672bb5fe3d6a4da8b94dee46696
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/951,https://api.github.com/repos/gilbarbara/react-joyride/issues/951,closed,2023-10-10,2023-10-10,2023-10-10,f611fd06983730b10dcf0d9ff128d9a1198ec155
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/943,https://api.github.com/repos/gilbarbara/react-joyride/issues/943,closed,2023-09-24,2023-10-06,2023-10-06,b1a5c1bd66eed581f6992752d7d15ed693f948ac
abhay-111,https://api.github.com/repos/gilbarbara/react-joyride/pulls/941,https://api.github.com/repos/gilbarbara/react-joyride/issues/941,closed,2023-09-15,2023-09-16,,1c950e751bf89e705093f3688f3ed630a92fcf15
rsnzh,https://api.github.com/repos/gilbarbara/react-joyride/pulls/936,https://api.github.com/repos/gilbarbara/react-joyride/issues/936,closed,2023-08-28,2023-09-16,,f877c3da5115f8e88420a84b593006a3dde02e6e
andreash82,https://api.github.com/repos/gilbarbara/react-joyride/pulls/926,https://api.github.com/repos/gilbarbara/react-joyride/issues/926,closed,2023-07-22,2023-12-23,,92bd30be4b2f8d4148b1c61bb1b94c4c344f46dd
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/925,https://api.github.com/repos/gilbarbara/react-joyride/issues/925,closed,2023-07-19,2023-07-19,2023-07-19,946e8a46fc54d516790be13755dac86a1f99d080
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/923,https://api.github.com/repos/gilbarbara/react-joyride/issues/923,closed,2023-07-17,2023-07-18,2023-07-18,4dcda8d992c9eb6c34ee68969b3a48b5f9d2377b
dzinformatica,https://api.github.com/repos/gilbarbara/react-joyride/pulls/917,https://api.github.com/repos/gilbarbara/react-joyride/issues/917,closed,2023-06-15,2023-06-15,,7258563397502a3f5ac7f52f1be81d7a41f1fe4c
rajasekarm,https://api.github.com/repos/gilbarbara/react-joyride/pulls/911,https://api.github.com/repos/gilbarbara/react-joyride/issues/911,closed,2023-05-30,2023-05-30,,57437083a949408c8f8c62b58a4ff9d94b712835
dimassibassem,https://api.github.com/repos/gilbarbara/react-joyride/pulls/902,https://api.github.com/repos/gilbarbara/react-joyride/issues/902,closed,2023-04-17,2023-04-17,,63590c2f312712f50c242727d58d33af52b4cacd
Serjobas,https://api.github.com/repos/gilbarbara/react-joyride/pulls/852,https://api.github.com/repos/gilbarbara/react-joyride/issues/852,closed,2022-10-05,2023-05-01,,fc4a9a02e2f3cd8ee151780bf42d10d4dfd3aac3
SanujBansal,https://api.github.com/repos/gilbarbara/react-joyride/pulls/845,https://api.github.com/repos/gilbarbara/react-joyride/issues/845,closed,2022-09-16,2023-12-23,,01a7815518481dc3a1095b106716ee912366c263
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/842,https://api.github.com/repos/gilbarbara/react-joyride/issues/842,closed,2022-09-01,2022-09-01,2022-09-01,feb4b192198cd942cfc39c3299bb0349f7803c4e
GreenAsJade,https://api.github.com/repos/gilbarbara/react-joyride/pulls/823,https://api.github.com/repos/gilbarbara/react-joyride/issues/823,closed,2022-07-06,2022-07-06,2022-07-06,23dc3addf987e2d34314cb123b8905ecd2baaa7d
MikeShi42,https://api.github.com/repos/gilbarbara/react-joyride/pulls/818,https://api.github.com/repos/gilbarbara/react-joyride/issues/818,closed,2022-06-25,2023-12-23,,8370d32e85c2e8e129b4662fd1da287d24c0dda1
timonsword,https://api.github.com/repos/gilbarbara/react-joyride/pulls/814,https://api.github.com/repos/gilbarbara/react-joyride/issues/814,closed,2022-06-24,2023-05-01,2023-05-01,291da8ed1334a1bb642bdff5922cb7dc09629953
AndreyMartinez,https://api.github.com/repos/gilbarbara/react-joyride/pulls/810,https://api.github.com/repos/gilbarbara/react-joyride/issues/810,closed,2022-06-03,2022-06-03,,5a3e9a82e37c04f7b16331e357ad1b0b96030570
gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/pulls/809,https://api.github.com/repos/gilbarbara/react-joyride/issues/809,closed,2022-06-03,2022-06-17,2022-06-17,777a39085e5c4a57dcb6678848d164bfba687cda
kyh,https://api.github.com/repos/gilbarbara/react-joyride/pulls/802,https://api.github.com/repos/gilbarbara/react-joyride/issues/802,closed,2022-05-13,2022-06-24,,3f8e51d9770b30a592c782bade199cb1bd626ec4
lorof,https://api.github.com/repos/gilbarbara/react-joyride/pulls/799,https://api.github.com/repos/gilbarbara/react-joyride/issues/799,closed,2022-05-03,2022-05-04,,72a8ab573a94d22b071005ed10c4742fcd87dd5f
lorof,https://api.github.com/repos/gilbarbara/react-joyride/pulls/797,https://api.github.com/repos/gilbarbara/react-joyride/issues/797,closed,2022-05-03,2022-05-03,,4dd7b9a7cfad46d7581d9f11984ab5299b9b7a3d
