user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Danie-1,https://api.github.com/repos/glacambre/firenvim/pulls/1595,https://api.github.com/repos/glacambre/firenvim/issues/1595,closed,2024-03-05,2024-03-05,2024-03-05,3363c140dca2ef0b89e2be0317917f077d752cd7
larsks,https://api.github.com/repos/glacambre/firenvim/pulls/1594,https://api.github.com/repos/glacambre/firenvim/issues/1594,closed,2024-03-04,2024-03-04,2024-03-04,57db3f22156ab46febc765f74a2ff9b780c22d7e
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1592,https://api.github.com/repos/glacambre/firenvim/issues/1592,closed,2024-03-02,2024-03-02,2024-03-02,4b13a6014c921c388171f16dec2acf3be3d8774b
ces42,https://api.github.com/repos/glacambre/firenvim/pulls/1589,https://api.github.com/repos/glacambre/firenvim/issues/1589,open,2024-02-19,2024-02-20,,
xudyang1,https://api.github.com/repos/glacambre/firenvim/pulls/1582,https://api.github.com/repos/glacambre/firenvim/issues/1582,closed,2024-01-23,2024-01-23,2024-01-23,f2dd6d3bcf3309a7dd30c79b3b3c03ab55cea6e2
xudyang1,https://api.github.com/repos/glacambre/firenvim/pulls/1581,https://api.github.com/repos/glacambre/firenvim/issues/1581,closed,2024-01-23,2024-01-23,2024-01-23,525485ca6fd6024dc8e251cf10c28940f45570a0
xudyang1,https://api.github.com/repos/glacambre/firenvim/pulls/1580,https://api.github.com/repos/glacambre/firenvim/issues/1580,closed,2024-01-20,2024-01-20,2024-01-20,471354b1721d7082ffc3468dc84578e6ee42f163
xudyang1,https://api.github.com/repos/glacambre/firenvim/pulls/1579,https://api.github.com/repos/glacambre/firenvim/issues/1579,closed,2024-01-20,2024-01-20,2024-01-20,7e2f12bb92bb801c66eea7f1d000a6e1161143d3
xudyang1,https://api.github.com/repos/glacambre/firenvim/pulls/1577,https://api.github.com/repos/glacambre/firenvim/issues/1577,closed,2024-01-20,2024-01-20,2024-01-20,6a034a00bebf61e61082eb5d85cbeb0e233c27f9
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1575,https://api.github.com/repos/glacambre/firenvim/issues/1575,closed,2024-01-13,2024-01-13,2024-01-13,8c6c00aae7e5762cbcb4cd0df5848e959c4a9572
infokiller,https://api.github.com/repos/glacambre/firenvim/pulls/1573,https://api.github.com/repos/glacambre/firenvim/issues/1573,closed,2024-01-01,2024-01-13,2024-01-13,fec9fec8d1e8cd4288b6c3b97382e16b1243a7b3
phanen,https://api.github.com/repos/glacambre/firenvim/pulls/1556,https://api.github.com/repos/glacambre/firenvim/issues/1556,closed,2023-08-18,2023-08-18,2023-08-18,138424db463e6c0e862a05166a4ccc781cd7c19d
alexisquintero,https://api.github.com/repos/glacambre/firenvim/pulls/1554,https://api.github.com/repos/glacambre/firenvim/issues/1554,closed,2023-08-12,2023-08-13,2023-08-12,5d27ebf9cc683e843144f5d4cd6f7e3965b97766
hankertrix,https://api.github.com/repos/glacambre/firenvim/pulls/1553,https://api.github.com/repos/glacambre/firenvim/issues/1553,closed,2023-08-07,2023-08-07,2023-08-07,2a709e2bf9e2ff065e13619d21b5a672e51023f6
benlieb,https://api.github.com/repos/glacambre/firenvim/pulls/1551,https://api.github.com/repos/glacambre/firenvim/issues/1551,closed,2023-08-02,2023-08-03,2023-08-03,28a5516d2b7e23415ac84ed3bcf6ccb2d6dd9b3a
sarashino,https://api.github.com/repos/glacambre/firenvim/pulls/1543,https://api.github.com/repos/glacambre/firenvim/issues/1543,closed,2023-06-21,2023-06-21,2023-06-21,9a39ceb42267cd5f1030c35708e5752b3d448ff5
yvay,https://api.github.com/repos/glacambre/firenvim/pulls/1539,https://api.github.com/repos/glacambre/firenvim/issues/1539,closed,2023-05-25,2023-05-29,2023-05-29,e2d5a0f97d1f41e03c8d2a3c71ee60b1a4a6bb83
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1529,https://api.github.com/repos/glacambre/firenvim/issues/1529,closed,2023-03-28,2023-03-31,2023-03-31,ee4ef314bd990b2b05b7fbd95b857159e444a2fe
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1528,https://api.github.com/repos/glacambre/firenvim/issues/1528,closed,2023-03-28,2023-03-28,2023-03-28,d35d9e61a1ff4bb8b505ae80d3856b72b4ee7d71
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1520,https://api.github.com/repos/glacambre/firenvim/issues/1520,closed,2023-03-08,2023-03-10,2023-03-10,87c9f70d3e6aa2790982aafef3c696dbe962d35b
dundargoc,https://api.github.com/repos/glacambre/firenvim/pulls/1518,https://api.github.com/repos/glacambre/firenvim/issues/1518,closed,2023-03-07,2023-03-08,2023-03-08,a9ac5e1e42fc62819749c9f10f3f18d924a66a35
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1517,https://api.github.com/repos/glacambre/firenvim/issues/1517,closed,2023-03-07,2023-03-07,2023-03-07,49c330bf746e6f06863bac069e579e4072a3c8ac
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1513,https://api.github.com/repos/glacambre/firenvim/issues/1513,open,2023-03-01,2023-03-01,,833bcdbc013fd9b15fb970359cd2921e60ce3555
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1512,https://api.github.com/repos/glacambre/firenvim/issues/1512,open,2023-03-01,2023-03-01,,9bfd8126c80267bf990d8b17df4cd37f363c4e9e
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1511,https://api.github.com/repos/glacambre/firenvim/issues/1511,open,2023-03-01,2023-03-01,,b17c32468d475eae2554d36de933fe2a78ec4164
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1510,https://api.github.com/repos/glacambre/firenvim/issues/1510,open,2023-03-01,2023-03-01,,376a0c243a230231ca0aeb0fe1381cf4ebf150ba
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1509,https://api.github.com/repos/glacambre/firenvim/issues/1509,closed,2023-02-26,2023-03-01,2023-03-01,8a5bde3dc52c58c40ddc9784149ba21489371021
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1504,https://api.github.com/repos/glacambre/firenvim/issues/1504,closed,2023-02-24,2023-02-24,2023-02-24,a71616074c1f626a2955e835c1f092901d166853
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1502,https://api.github.com/repos/glacambre/firenvim/issues/1502,closed,2023-02-24,2023-02-24,2023-02-24,54e0ee04842f220a3bdfd63e0dff20276aab0bfe
hankertrix,https://api.github.com/repos/glacambre/firenvim/pulls/1501,https://api.github.com/repos/glacambre/firenvim/issues/1501,closed,2023-02-18,2023-02-20,2023-02-18,dca3e56021cb5c39f401c9d83531743416c3365f
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1500,https://api.github.com/repos/glacambre/firenvim/issues/1500,closed,2023-02-17,2023-02-17,2023-02-17,07652ec0b659cba53e5dc07eeb660234a7b248ee
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1497,https://api.github.com/repos/glacambre/firenvim/issues/1497,closed,2023-02-01,2023-03-01,,94a8a5b23d111a6386f98a32e06faf4f7dc65798
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1496,https://api.github.com/repos/glacambre/firenvim/issues/1496,open,2023-02-01,2023-02-01,,5045b53a9975bdaef52b3b885e2e41e1fd98fdf2
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1495,https://api.github.com/repos/glacambre/firenvim/issues/1495,closed,2023-02-01,2023-03-01,,d27a369f9296b3944782eb21bbfc375290886a6c
hankertrix,https://api.github.com/repos/glacambre/firenvim/pulls/1494,https://api.github.com/repos/glacambre/firenvim/issues/1494,closed,2023-01-31,2023-01-31,2023-01-31,35b34ba566d9d9f6761cde3574f668d505c5137f
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1489,https://api.github.com/repos/glacambre/firenvim/issues/1489,closed,2023-01-09,2023-01-09,2023-01-09,b6be2e074b8f62815a45e31eb0966b4dd5e57810
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1485,https://api.github.com/repos/glacambre/firenvim/issues/1485,closed,2023-01-05,2023-01-05,2023-01-05,d1909c7abbc1857cc8b67e0234d7932ad7825644
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1484,https://api.github.com/repos/glacambre/firenvim/issues/1484,closed,2023-01-04,2023-01-04,2023-01-04,d9a2a73a1783fcdcd76b6f488578c020111d3fad
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1482,https://api.github.com/repos/glacambre/firenvim/issues/1482,closed,2023-01-02,2023-01-02,2023-01-02,c9cab43d62919c5fd34ebe33270a227a11442e12
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1480,https://api.github.com/repos/glacambre/firenvim/issues/1480,closed,2023-01-01,2023-02-01,,228d97376758db0ace4aa8f6ae1eaf5a27e725c9
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1479,https://api.github.com/repos/glacambre/firenvim/issues/1479,closed,2023-01-01,2023-02-01,,24023fe36f4fb104dd07b63db7caa551bb843f29
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1478,https://api.github.com/repos/glacambre/firenvim/issues/1478,closed,2023-01-01,2023-03-01,,20ce0912381db89e6577ef6ec099bea1a2954863
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1477,https://api.github.com/repos/glacambre/firenvim/issues/1477,closed,2023-01-01,2023-02-01,,7350316c5c62641bc180da566632506d94668609
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1474,https://api.github.com/repos/glacambre/firenvim/issues/1474,closed,2022-12-01,2023-01-01,,376fa2361721dc889ecfd22dca7e5817c8f96732
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1473,https://api.github.com/repos/glacambre/firenvim/issues/1473,closed,2022-12-01,2023-01-01,,6e2ac2265187c9712cbbf28d20dfc0f23f56c625
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1472,https://api.github.com/repos/glacambre/firenvim/issues/1472,closed,2022-12-01,2023-01-01,,637155d17b43a0248c9fabc7594a859027da83d2
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1471,https://api.github.com/repos/glacambre/firenvim/issues/1471,closed,2022-12-01,2023-01-01,,ed7052b5c16b3dca563816d2f8b864a972dee5f7
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1470,https://api.github.com/repos/glacambre/firenvim/issues/1470,open,2022-12-01,2023-03-17,,add0b09e4c8aa80dd2d463aa057d91a7a37bb5dd
lgtm-com[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1468,https://api.github.com/repos/glacambre/firenvim/issues/1468,closed,2022-11-10,2022-11-10,2022-11-10,17a189f0f1e2d4197e00cd56dbeaed8c268bac8c
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1466,https://api.github.com/repos/glacambre/firenvim/issues/1466,closed,2022-11-05,2022-11-05,2022-11-05,f6ef690924e6d7a001b3e44c2b56b7ccf9b7e6c7
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1465,https://api.github.com/repos/glacambre/firenvim/issues/1465,closed,2022-11-05,2023-03-17,2023-03-17,12003d9727bc5074ccb405b3d80e691c72d4859b
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1464,https://api.github.com/repos/glacambre/firenvim/issues/1464,closed,2022-11-05,2022-11-05,2022-11-05,b9a779fa236c5f25c3cc649f1e77ba296aab3aab
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1463,https://api.github.com/repos/glacambre/firenvim/issues/1463,closed,2022-11-05,2022-11-05,2022-11-05,f05775318ab438b4063f1775db0f0ea23002021a
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1462,https://api.github.com/repos/glacambre/firenvim/issues/1462,closed,2022-11-05,2022-11-05,,bc1287854fc7c8cfd22342eb524bef80b59c5f7c
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1461,https://api.github.com/repos/glacambre/firenvim/issues/1461,closed,2022-11-05,2022-11-05,2022-11-05,d7355dc180e8a6556d399938b63db08acd93ce1d
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1457,https://api.github.com/repos/glacambre/firenvim/issues/1457,closed,2022-11-02,2022-11-02,2022-11-02,eeaddd0b503f841fa24f60cebd14fa93d2b33f77
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1456,https://api.github.com/repos/glacambre/firenvim/issues/1456,closed,2022-11-02,2022-11-02,2022-11-02,b59c95ef855aea7359373b66b1e27e439870137e
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1455,https://api.github.com/repos/glacambre/firenvim/issues/1455,closed,2022-11-02,2022-11-02,2022-11-02,ace9cc33b633104e81f7966b04dd6f7d3fa74fbc
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1454,https://api.github.com/repos/glacambre/firenvim/issues/1454,closed,2022-11-02,2022-11-02,2022-11-02,6b2e7ee2224472b8928e8b92fe69b52036024331
glacambre,https://api.github.com/repos/glacambre/firenvim/pulls/1453,https://api.github.com/repos/glacambre/firenvim/issues/1453,closed,2022-11-02,2022-11-02,2022-11-02,a26550efcc4bb9fe7931dfb3aa641c773b55dd39
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1451,https://api.github.com/repos/glacambre/firenvim/issues/1451,closed,2022-11-01,2022-12-01,,eebc6459a4fc1964ee988b8d949d9ac2a67dfca0
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1450,https://api.github.com/repos/glacambre/firenvim/issues/1450,closed,2022-11-01,2023-03-01,,8df4b402419b8bea2d484ebf12ae2dbfcbd5a2a5
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1449,https://api.github.com/repos/glacambre/firenvim/issues/1449,closed,2022-11-01,2022-11-05,,2ecaa05208a9e020bebf5707be31a71b336d168c
dependabot[bot],https://api.github.com/repos/glacambre/firenvim/pulls/1448,https://api.github.com/repos/glacambre/firenvim/issues/1448,open,2022-11-01,2022-11-05,,fe80203456ffe3498df9850c32a50cd131567d51
