user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
SYK-08,https://api.github.com/repos/gorgonia/gorgonia/pulls/557,https://api.github.com/repos/gorgonia/gorgonia/issues/557,closed,2023-10-13,2023-10-13,2023-10-13,d7a3ce27c9a1ffbee531d7850485229584db8d97
wzzhu,https://api.github.com/repos/gorgonia/gorgonia/pulls/555,https://api.github.com/repos/gorgonia/gorgonia/issues/555,closed,2023-09-14,2023-09-15,2023-09-15,b394404d68368c6828369bfe82b9c3c7bbc04f1a
wzzhu,https://api.github.com/repos/gorgonia/gorgonia/pulls/554,https://api.github.com/repos/gorgonia/gorgonia/issues/554,closed,2023-09-14,2023-09-14,,ca6c096985baa272a45eec7f5b890aae4bce0655
wzzhu,https://api.github.com/repos/gorgonia/gorgonia/pulls/553,https://api.github.com/repos/gorgonia/gorgonia/issues/553,closed,2023-09-14,2023-09-14,,40a063bcdcca5919374c977d0aac646f4fd9f132
zhenghaoz,https://api.github.com/repos/gorgonia/gorgonia/pulls/550,https://api.github.com/repos/gorgonia/gorgonia/issues/550,closed,2023-06-15,2023-06-19,,a09fbf15139fce4a4b06dffa397bfb3dc778c554
JoshPattman,https://api.github.com/repos/gorgonia/gorgonia/pulls/544,https://api.github.com/repos/gorgonia/gorgonia/issues/544,closed,2023-03-24,2023-03-27,2023-03-27,d1c17944ed22dfd230519bb2c8079c74157d1f9d
auxten,https://api.github.com/repos/gorgonia/gorgonia/pulls/538,https://api.github.com/repos/gorgonia/gorgonia/issues/538,closed,2022-11-03,2022-11-13,2022-11-13,e0e24d6612908e70bb32e0c091586f137fcb427b
auxten,https://api.github.com/repos/gorgonia/gorgonia/pulls/536,https://api.github.com/repos/gorgonia/gorgonia/issues/536,closed,2022-10-26,2022-10-27,2022-10-27,6d115ddc899c1de8d391a491ad8442364e1ba530
Abirdcfly,https://api.github.com/repos/gorgonia/gorgonia/pulls/533,https://api.github.com/repos/gorgonia/gorgonia/issues/533,open,2022-08-09,2022-08-09,,7e36c33948288c87a99765b38c1d62c82c286348
chewxy,https://api.github.com/repos/gorgonia/gorgonia/pulls/532,https://api.github.com/repos/gorgonia/gorgonia/issues/532,open,2022-07-24,2022-07-25,,438681101355d20b72935609f87d412f6689a3c8
linkerlin,https://api.github.com/repos/gorgonia/gorgonia/pulls/528,https://api.github.com/repos/gorgonia/gorgonia/issues/528,closed,2022-06-27,2022-07-25,2022-07-25,281d8dcfa7290aa8efe7911f2458d2e62ba9d8b9
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/521,https://api.github.com/repos/gorgonia/gorgonia/issues/521,closed,2022-04-05,2022-04-13,2022-04-13,4604879734fb6440a10ad973b52dd164caef5da0
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/520,https://api.github.com/repos/gorgonia/gorgonia/issues/520,closed,2022-04-01,2022-04-04,2022-04-04,3d2235cc67158104e8222e4afbeca0de1b8c3295
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/519,https://api.github.com/repos/gorgonia/gorgonia/issues/519,closed,2022-03-26,2022-07-25,2022-07-25,1b3f13a6db07b0bdf8bf7087af74f02d74e35c26
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/518,https://api.github.com/repos/gorgonia/gorgonia/issues/518,closed,2022-03-26,2022-03-28,2022-03-28,8b40b1cc5eed0ca4f3e3b90ca58a0a476c23c75a
mattn,https://api.github.com/repos/gorgonia/gorgonia/pulls/517,https://api.github.com/repos/gorgonia/gorgonia/issues/517,closed,2022-03-22,2022-03-28,2022-03-28,90e2d5832b5f4744693d5c5be2b544e2129a9f0c
mattn,https://api.github.com/repos/gorgonia/gorgonia/pulls/514,https://api.github.com/repos/gorgonia/gorgonia/issues/514,closed,2022-01-18,2022-03-28,2022-03-28,13dddbc372ea8d21e692c716acac2b6a7372e8eb
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/510,https://api.github.com/repos/gorgonia/gorgonia/issues/510,closed,2021-11-07,2021-11-15,2021-11-15,b9fd5eb6903212acaa6e34fedb561c892c36486c
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/509,https://api.github.com/repos/gorgonia/gorgonia/issues/509,closed,2021-10-24,2021-11-15,2021-11-15,2f0970ec66f5c99a56d1c3de20070d9a7408b101
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/507,https://api.github.com/repos/gorgonia/gorgonia/issues/507,closed,2021-10-20,2021-10-21,2021-10-21,8cab00557dee4f85d05cd10f96d035c2c4a07894
dcu,https://api.github.com/repos/gorgonia/gorgonia/pulls/506,https://api.github.com/repos/gorgonia/gorgonia/issues/506,closed,2021-10-18,2021-10-21,2021-10-21,70448c3f27adc61e84cb448b8bcde8b664042cde
