user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
resulshm,https://api.github.com/repos/gorse-io/gorse/pulls/810,https://api.github.com/repos/gorse-io/gorse/issues/810,open,2024-03-05,2024-03-05,,60556392678cef0a3a4951e29dd8d88651268e0e
martinhoch42,https://api.github.com/repos/gorse-io/gorse/pulls/807,https://api.github.com/repos/gorse-io/gorse/issues/807,closed,2024-02-27,2024-02-29,2024-02-28,1b413125b897d7de867a465dbb0879d54937a8c6
DDefiebre,https://api.github.com/repos/gorse-io/gorse/pulls/804,https://api.github.com/repos/gorse-io/gorse/issues/804,closed,2024-02-23,2024-02-23,2024-02-23,c2eb94ac2fbe861b016f6b12f7e72fc9391a4f3b
dankinder,https://api.github.com/repos/gorse-io/gorse/pulls/803,https://api.github.com/repos/gorse-io/gorse/issues/803,closed,2024-02-22,2024-02-23,2024-02-23,04f87677935027b52c92e17ee3cc3f796fe4147f
TreehouseFalcon,https://api.github.com/repos/gorse-io/gorse/pulls/798,https://api.github.com/repos/gorse-io/gorse/issues/798,open,2024-01-10,2024-01-10,,50ee30c16aacde3a5706ccaa5caf6348aef298bd
ubrmnsh,https://api.github.com/repos/gorse-io/gorse/pulls/796,https://api.github.com/repos/gorse-io/gorse/issues/796,closed,2024-01-09,2024-01-10,2024-01-10,09ad3aa8cdf4c46408f774668ff2fffa458a34ed
mateus4k,https://api.github.com/repos/gorse-io/gorse/pulls/786,https://api.github.com/repos/gorse-io/gorse/issues/786,open,2023-10-28,2023-10-28,,580800f6e5cd9d2f6a7888e1093da2b060276e4a
TreehouseFalcon,https://api.github.com/repos/gorse-io/gorse/pulls/772,https://api.github.com/repos/gorse-io/gorse/issues/772,closed,2023-09-07,2023-10-07,2023-10-07,78c016bc0103fb4912b5f2f4f4a1c7e0edf0a51c
zzggfly,https://api.github.com/repos/gorse-io/gorse/pulls/771,https://api.github.com/repos/gorse-io/gorse/issues/771,open,2023-09-06,2023-09-07,,7b9abce5f38541046d83ed65951feb6d8dd40b4a
imlewc,https://api.github.com/repos/gorse-io/gorse/pulls/770,https://api.github.com/repos/gorse-io/gorse/issues/770,closed,2023-09-05,2023-09-05,2023-09-05,24d69b1426a0dfb0731650bb0edfefc0e1e422f3
imlewc,https://api.github.com/repos/gorse-io/gorse/pulls/768,https://api.github.com/repos/gorse-io/gorse/issues/768,closed,2023-09-05,2023-09-05,2023-09-05,5f12697dfe32484067e201d465195ce467f4dcaa
lubeidi,https://api.github.com/repos/gorse-io/gorse/pulls/767,https://api.github.com/repos/gorse-io/gorse/issues/767,closed,2023-09-04,2023-09-04,,902ac2fea473f509c08e443abe8e71ba4c77236f
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/765,https://api.github.com/repos/gorse-io/gorse/issues/765,closed,2023-08-22,2023-08-22,2023-08-22,7f514951dc9c730a7f29e49b042997be74faea70
testwill,https://api.github.com/repos/gorse-io/gorse/pulls/763,https://api.github.com/repos/gorse-io/gorse/issues/763,closed,2023-08-21,2023-08-21,2023-08-21,94a9fbd52b42d95874564f6539fb8794f7f91d49
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/762,https://api.github.com/repos/gorse-io/gorse/issues/762,closed,2023-08-19,2023-08-19,2023-08-19,80542edbc6e3a107d8093a3d99497e2cb91949b1
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/761,https://api.github.com/repos/gorse-io/gorse/issues/761,closed,2023-08-19,2023-08-19,2023-08-19,634d24d6e8c6acfe006077b634fff0ed08c8b754
mezbaul-h,https://api.github.com/repos/gorse-io/gorse/pulls/757,https://api.github.com/repos/gorse-io/gorse/issues/757,closed,2023-08-16,2023-08-22,2023-08-22,63df83b7ff5712e73b5c5bbb850d5bedde1f000b
mrrsm,https://api.github.com/repos/gorse-io/gorse/pulls/755,https://api.github.com/repos/gorse-io/gorse/issues/755,closed,2023-08-14,2023-08-15,,93e878a9dd2bf9f86f3faa6551077217fdc6441e
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/753,https://api.github.com/repos/gorse-io/gorse/issues/753,closed,2023-08-10,2023-08-10,2023-08-10,14e97e621043bb56a48e789583feeedda01267b7
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/752,https://api.github.com/repos/gorse-io/gorse/issues/752,closed,2023-08-09,2023-08-09,2023-08-09,2b29104433e91a5c8849ea4d03311b1ccefdf964
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/749,https://api.github.com/repos/gorse-io/gorse/issues/749,closed,2023-08-03,2023-08-07,2023-08-07,c70abf7e1a5b1db7789065e80b693912ff3d7fd8
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/743,https://api.github.com/repos/gorse-io/gorse/issues/743,closed,2023-07-29,2023-07-29,2023-07-29,59ab0b4746b74be333cd5cf4dc842ea02fcd7168
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/741,https://api.github.com/repos/gorse-io/gorse/issues/741,closed,2023-07-26,2023-07-29,2023-07-29,e3e44b1ba0b6b3efbe64d3391ae00b61fe5cd408
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/740,https://api.github.com/repos/gorse-io/gorse/issues/740,open,2023-07-26,2023-08-22,,383e974d1db613de906ab4790d6746a788e0a52f
zhenghaoz,https://api.github.com/repos/gorse-io/gorse/pulls/738,https://api.github.com/repos/gorse-io/gorse/issues/738,closed,2023-07-22,2023-07-23,2023-07-23,17f3f7349fda58fcee92b3571d0d47b2e0f58142
